id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r4_off,0,4,2000,6.773200,7.126505,100,1999.90,3.1900,0.0000,0.0000,98,2,0,0
p0_1_r4_off,0,4,2000,6.699000,7.069488,100,2000.00,3.5100,0.0000,0.0000,100,0,0,0
p0_2_r4_off,0,4,2000,6.773300,6.071404,100,2000.00,2.8900,0.0000,0.0000,100,0,0,0
p0_3_r4_off,0,4,2000,6.918200,7.504877,100,1999.20,2.5200,0.0000,0.0000,98,2,0,0
p0_4_r4_off,0,4,2000,6.639200,6.771670,100,1999.90,2.1300,0.0000,0.0000,98,2,0,0
p0_5_r4_off,0,4,2000,6.783900,7.157040,100,2000.00,1.7800,0.0000,0.0000,99,1,0,0
p0_6_r4_off,0,4,2000,6.678100,6.962630,100,2000.00,1.7800,0.0000,0.0000,100,0,0,0
p0_7_r4_off,0,4,2000,7.033500,7.849453,100,2000.00,1.0900,0.0000,0.0000,100,0,0,0
p0_8_r4_off,0,4,2000,6.908100,6.646341,100,1999.80,1.4200,0.0000,0.0000,99,1,0,0
p0_9_r4_off,0,4,2000,6.978200,6.761986,100,2000.00,2.0400,0.0000,0.0000,100,0,0,0
p0_10_r4_off,0,4,2000,6.978300,6.142695,100,2000.00,1.9000,0.0000,0.0000,100,0,0,0
p0_11_r4_off,0,4,2000,7.264100,6.405368,100,2000.00,2.0500,0.0000,0.0000,100,0,0,0
p0_12_r4_off,0,4,2000,6.943700,6.583873,100,2000.00,1.9500,0.0000,0.0000,100,0,0,0
p0_13_r4_off,0,4,2000,7.118800,6.857292,100,2000.00,2.3900,0.0000,0.0000,100,0,0,0
p0_14_r4_off,0,4,2000,7.009800,6.599757,100,2000.00,2.0900,0.0000,0.0000,99,1,0,0
p0_15_r4_off,0,4,2000,7.529400,6.997041,100,1999.60,2.7600,0.0000,0.0000,98,2,0,0
p0_16_r4_off,0,4,2000,7.274800,6.152762,100,2000.00,2.7400,0.0000,0.0000,100,0,0,0
p0_17_r4_off,0,4,2000,7.484400,6.051398,100,2000.00,2.8800,0.0000,0.0000,99,1,0,0
p0_18_r4_off,0,4,2000,7.779800,6.672750,100,1999.80,2.7400,0.0000,0.0000,98,2,0,0
p0_19_r4_off,0,4,2000,8.235700,6.350162,100,2000.00,2.6600,0.0000,0.0000,100,0,0,0
p0_20_r4_off,0,4,2000,8.069500,7.197550,100,1999.00,2.7200,0.0000,0.0000,98,2,0,0
p0_21_r4_off,0,4,2000,7.840100,6.836795,100,1999.60,2.6700,0.0000,0.0000,99,1,0,0
p0_22_r4_off,0,4,2000,7.825200,6.331850,100,1999.60,2.4100,0.0000,0.0000,98,2,0,0
p0_23_r4_off,0,4,2000,7.945000,6.144177,100,2000.00,2.8700,0.0000,0.0000,99,1,0,0
p0_24_r4_off,0,4,2000,8.110800,6.906302,100,1999.10,3.4100,0.0000,0.0000,97,3,0,0
p1_0_r4_off,0,4,2000,6.863800,7.398087,100,1999.90,3.6100,0.0000,0.0000,99,1,0,0
p1_1_r4_off,0,4,2000,7.109400,7.039310,100,1999.30,3.2000,0.0000,0.0000,99,1,0,0
p1_2_r4_off,0,4,2000,6.783700,6.972280,100,2000.00,3.1000,0.0000,0.0000,100,0,0,0
p1_3_r4_off,0,4,2000,7.108800,7.470490,100,2000.00,2.5800,0.0000,0.0000,99,1,0,0
p1_4_r4_off,0,4,2000,6.653600,7.345636,100,1999.20,2.7400,0.0000,0.0000,99,1,0,0
p1_5_r4_off,0,4,2000,7.043600,7.156451,100,2000.00,2.7100,0.0000,0.0000,99,1,0,0
p1_6_r4_off,0,4,2000,6.983300,7.087503,100,1999.60,2.5100,0.0000,0.0000,98,2,0,0
p1_7_r4_off,0,4,2000,6.953200,6.538598,100,2000.00,2.2300,0.0000,0.0000,100,0,0,0
p1_8_r4_off,0,4,2000,7.353900,6.526486,100,2000.00,1.9200,0.0000,0.0000,100,0,0,0
p1_9_r4_off,0,4,2000,7.008900,6.979500,100,2000.00,1.7100,0.0000,0.0000,100,0,0,0
p1_10_r4_off,0,4,2000,7.174000,6.745048,100,2000.00,1.8400,0.0000,0.0000,100,0,0,0
p1_11_r4_off,0,4,2000,7.628900,6.794629,100,2000.00,2.1400,0.0000,0.0000,98,2,0,0
