id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r2_on,1,2,2000,4.164700,6.732004,100,928.88,0.0500,29.0500,11.3700,1,14,85,0
p0_1_r2_on,1,2,2000,4.128800,6.857497,100,1392.82,0.0000,16.8500,6.5800,29,14,57,0
p0_2_r2_on,1,2,2000,4.519100,6.692229,100,1195.76,0.0300,21.4000,9.1900,3,16,81,0
p0_3_r2_on,1,2,2000,3.899200,6.055544,100,1238.48,0.0800,20.6000,8.4200,3,23,74,0
p0_4_r2_on,1,2,2000,4.589800,5.919065,100,1065.61,0.0700,23.9400,10.5900,7,21,72,0
p0_5_r2_on,1,2,2000,5.139700,6.806702,100,1403.55,0.1300,16.9500,7.4800,16,19,65,0
p0_6_r2_on,1,2,2000,7.069100,9.207957,100,1503.11,0.0300,13.2500,5.4800,39,14,47,0
p0_7_r2_on,1,2,2000,7.695800,9.425730,100,1382.49,0.0900,17.4500,8.3000,22,16,62,0
p0_8_r2_on,1,2,2000,9.651500,10.436899,100,1342.68,0.0400,18.3700,9.0500,17,19,64,0
p0_9_r2_on,1,2,2000,10.837900,10.206256,100,1450.98,0.1000,15.8700,7.6300,32,15,53,0
p0_10_r2_on,1,2,2000,12.174900,10.696052,100,1281.53,0.0600,20.8800,10.0000,26,12,62,0
p0_11_r2_on,1,2,2000,13.510500,11.231383,100,1319.00,0.1400,18.8000,9.2200,23,14,63,0
p0_12_r2_on,1,2,2000,17.054700,11.637074,100,1334.82,0.1100,18.4000,9.2600,23,17,60,0
p0_13_r2_on,1,2,2000,19.400200,12.666461,100,1425.98,0.3400,18.0300,9.2100,26,15,59,0
p0_14_r2_on,1,2,2000,20.715000,14.653783,100,1356.93,0.2200,19.7300,8.9900,19,26,55,0
p0_15_r2_on,1,2,2000,20.844700,13.938305,100,1345.10,1.2200,20.3800,10.4100,12,17,71,0
p0_16_r2_on,1,2,2000,22.179800,13.347911,100,1317.11,0.1600,20.9300,9.3300,22,13,65,0
p0_17_r2_on,1,2,2000,23.518900,14.476923,100,1352.15,0.1400,18.7100,8.7100,30,14,56,0
p0_18_r2_on,1,2,2000,23.979000,13.092271,100,1336.23,0.2700,19.7900,9.4700,22,12,66,0
p0_19_r2_on,1,2,2000,23.883800,14.744723,100,1359.54,0.2300,19.2100,9.0300,29,14,57,0
p0_20_r2_on,1,2,2000,25.114400,14.410412,100,1380.26,0.3400,18.6300,9.0600,29,18,53,0
p0_21_r2_on,1,2,2000,25.687700,14.854481,100,1350.63,0.6600,19.9100,9.6400,23,19,58,0
p0_22_r2_on,1,2,2000,25.308300,14.453057,100,1403.61,0.8200,17.8600,8.4000,33,9,58,0
p0_23_r2_on,1,2,2000,24.268900,13.423956,100,1305.26,2.0200,20.9100,10.2600,23,11,66,0
p0_24_r2_on,1,2,2000,24.723800,13.791569,100,1388.37,0.6200,19.0400,8.9800,28,19,53,0
p1_0_r2_on,1,2,2000,4.039100,5.643824,100,862.02,0.0300,30.6600,11.1900,0,11,89,0
p1_1_r2_on,1,2,2000,4.069300,6.231913,100,1054.41,0.0700,25.1800,9.5800,4,18,78,0
p1_2_r2_on,1,2,2000,4.109600,6.260813,100,1079.50,0.0600,24.2800,9.7900,1,17,82,0
p1_3_r2_on,1,2,2000,4.064900,6.073539,100,1075.86,0.0900,24.1000,9.6000,4,18,78,0
p1_4_r2_on,1,2,2000,5.414600,8.155654,100,931.02,0.1500,27.0300,10.6200,5,13,82,0
p1_5_r2_on,1,2,2000,6.224000,9.082084,100,1139.45,0.2400,22.7400,9.3100,0,21,79,0
p1_6_r2_on,1,2,2000,6.729100,8.375514,100,991.32,0.3100,27.3500,10.9200,3,23,74,0
p1_7_r2_on,1,2,2000,7.494600,9.042696,100,1222.46,0.1400,21.0200,9.9000,8,15,77,0
p1_8_r2_on,1,2,2000,8.694400,8.989075,100,1302.31,0.1900,19.8000,9.6700,8,17,75,0
p1_9_r2_on,1,2,2000,10.114900,8.986521,100,1330.88,0.0600,18.5600,8.8100,17,13,70,0
p1_10_r2_on,1,2,2000,12.521800,9.980261,100,1345.73,0.1800,19.1500,9.1300,21,10,69,0
p1_11_r2_on,1,2,2000,13.199300,11.169361,100,1489.82,0.1600,15.4200,8.2100,36,16,48,0
p1_12_r2_on,1,2,2000,15.580600,12.236827,100,1368.87,0.1400,17.9100,8.1900,25,13,62,0
p1_13_r2_on,1,2,2000,17.114900,13.231994,100,1357.51,0.1500,18.9900,9.1700,19,18,63,0
p1_14_r2_on,1,2,2000,18.740200,11.762251,100,1333.88,0.1000,19.5900,9.3500,27,9,64,0
p1_15_r2_on,1,2,2000,21.114800,12.340783,100,1391.09,0.2700,18.3700,8.9900,25,12,63,0
p1_16_r2_on,1,2,2000,22.199700,14.314186,100,1293.72,0.5400,21.5600,10.1900,10,19,71,0
p1_17_r2_on,1,2,2000,22.889000,14.506941,100,1316.47,0.2800,21.1000,10.6200,27,15,58,0
p1_18_r2_on,1,2,2000,22.633800,13.807983,100,1326.55,0.2400,20.0700,10.1600,25,16,59,0
p1_19_r2_on,1,2,2000,23.108900,12.987177,100,1292.73,0.5300,20.8300,9.8800,22,22,56,0
p1_20_r2_on,1,2,2000,25.789500,14.196477,100,1397.53,1.1600,18.7300,9.2100,26,20,54,0
p1_21_r2_on,1,2,2000,25.189100,14.510087,100,1421.23,0.5000,18.1400,8.5500,25,18,57,0
p1_22_r2_on,1,2,2000,26.673600,15.865973,100,1412.68,0.4600,18.7000,9.6700,29,18,53,0
p1_23_r2_on,1,2,2000,24.973700,14.146146,100,1323.31,0.3700,20.6500,9.8600,23,14,63,0
p1_24_r2_on,1,2,2000,25.983600,13.840312,100,1314.58,0.7100,21.6400,10.5500,19,18,63,0
p2_0_r2_on,1,2,2000,3.694200,5.435323,100,833.76,0.0700,30.3100,12.3900,0,12,88,0
p2_1_r2_on,1,2,2000,3.873100,5.828729,100,926.94,0.0600,27.7300,9.9700,8,13,79,0
p2_2_r2_on,1,2,2000,4.332800,6.605870,100,1388.98,0.0700,16.3300,6.4100,31,18,51,0
p2_3_r2_on,1,2,2000,5.449700,8.121597,100,1003.16,0.1000,26.5500,10.6000,1,12,87,0
p2_4_r2_on,1,2,2000,5.668200,7.202194,100,1154.85,0.0800,23.4300,9.5800,7,15,78,0
p2_5_r2_on,1,2,2000,6.369000,8.817900,100,950.83,0.1500,27.8000,11.0300,1,15,84,0
p2_6_r2_on,1,2,2000,7.229500,7.748180,100,1105.53,0.1500,23.5800,10.6400,8,15,77,0
p2_7_r2_on,1,2,2000,7.989300,9.962973,100,1106.25,0.1700,24.5200,10.7600,2,16,82,0
p2_8_r2_on,1,2,2000,8.589600,10.062764,100,1131.64,0.1500,24.4900,11.6800,3,8,89,0
p2_9_r2_on,1,2,2000,9.594700,9.410362,100,1412.31,0.1500,16.4200,7.3700,24,10,66,0
p2_10_r2_on,1,2,2000,12.181100,10.783965,100,1393.08,0.1500,17.4900,8.6900,26,8,66,0
p2_11_r2_on,1,2,2000,12.268300,11.535961,100,1449.04,0.1000,16.4000,8.2700,34,12,54,0
p2_12_r2_on,1,2,2000,14.220000,13.072318,100,1395.30,0.0700,17.5800,8.5100,26,16,58,0
p2_13_r2_on,1,2,2000,17.580100,11.891474,100,1501.74,0.1700,15.0800,7.9300,38,11,51,0
p2_14_r2_on,1,2,2000,17.619600,12.240881,100,1416.11,0.1100,17.1200,7.9100,31,12,57,0
p2_15_r2_on,1,2,2000,18.344700,10.972550,100,1352.83,0.1900,19.6300,9.7500,22,19,59,0
p2_16_r2_on,1,2,2000,20.949600,15.189888,100,1177.30,0.2700,24.0800,11.4300,15,14,71,0
p2_17_r2_on,1,2,2000,22.749400,12.905218,100,1272.66,0.2800,21.6900,11.0000,19,15,66,0
p2_18_r2_on,1,2,2000,23.078300,14.973305,100,1308.45,0.6600,22.2000,10.7700,17,23,60,0
p2_19_r2_on,1,2,2000,21.313400,11.569844,100,1318.63,0.6300,21.2000,10.3800,23,20,57,0
p2_20_r2_on,1,2,2000,24.533500,12.774422,100,1364.73,0.2000,20.0000,10.0100,21,23,56,0
p2_21_r2_on,1,2,2000,25.024000,13.821812,100,1267.45,0.3300,22.3200,11.3200,13,17,70,0
p2_22_r2_on,1,2,2000,24.913200,16.442836,100,1274.94,0.9400,21.8800,9.9900,18,19,63,0
