generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,576.5872093023256,0.11046511627906977,0.0,0.0,2084.9418604651164,-1.125639534883721,0.046511627906976744,0.06395348837209303,7.3604651162790695,2110.0,2150.0,0.0,0.0,1.0,0.2282780410742496,0.5995260663507109,0.16192733017377567,0.010268562401263823,0.5789473684210527
2,585.8188405797101,0.2463768115942029,0.0,0.0,1989.1304347826087,-1.116376811594203,0.09420289855072464,0.15217391304347827,5.159420289855072,1970.0,2073.0,0.0,0.0,1.0,0.27247191011235955,0.5589887640449438,0.13342696629213482,0.0351123595505618,0.6176470588235294
3,636.2965517241379,0.2482758620689655,0.0,0.0,2022.0689655172414,-0.987103448275862,0.12413793103448276,0.12413793103448276,5.227586206896552,2010.0,2056.0,0.0,0.0,1.0,0.31266490765171506,0.4445910290237467,0.20976253298153033,0.032981530343007916,0.5
4,701.8093525179856,0.3129496402877698,0.0,0.0,2070.3237410071943,-1.0213309352517985,0.15467625899280577,0.15827338129496402,7.643884892086331,2090.0,2170.0,0.0,0.0,1.0,0.168,0.5388235294117647,0.18541176470588236,0.10776470588235294,0.5057471264367817
5,680.5945945945946,0.3581081081081081,0.0,0.0,1995.1351351351352,-0.938918918918919,0.20270270270270271,0.1554054054054054,6.087837837837838,1970.0,2063.0,0.0,0.0,1.0,0.1709211986681465,0.6914539400665927,0.097669256381798,0.03995560488346282,0.4339622641509434
6,698.7615894039735,0.6357615894039735,0.0,0.0,2029.6026490066224,-0.9856953642384106,0.31125827814569534,0.32450331125827814,5.251655629139073,2020.0,2100.0,0.0,0.0,1.0,0.2723833543505675,0.45397225725094575,0.2080706179066835,0.06557377049180328,0.5104166666666666
7,729.8093525179856,0.2697841726618705,0.0,0.0,2070.143884892086,-0.9268705035971223,0.11151079136690648,0.15827338129496402,7.388489208633094,2070.0,2163.0,0.0,0.0,1.0,0.16212268743914313,0.48490749756572543,0.23271665043816941,0.12025316455696203,0.5866666666666667
8,722.6162790697674,0.6802325581395349,0.0,0.0,2016.046511627907,-0.9652906976744187,0.2558139534883721,0.42441860465116277,6.4476744186046515,1990.0,2110.0,0.0,0.0,1.0,0.1776375112714157,0.6618575293056808,0.08926961226330027,0.07123534715960325,0.6239316239316239
9,742.7444933920705,0.20704845814977973,0.0,0.0,2029.339207048458,-0.9698678414096916,0.07488986784140969,0.13215859030837004,6.845814977973569,2020.0,2100.0,0.0,0.0,1.0,0.18275418275418276,0.5225225225225225,0.21042471042471042,0.08429858429858429,0.6382978723404256
10,772.060606060606,0.6666666666666666,0.0,0.0,2080.189393939394,-0.8837878787878788,0.32954545454545453,0.3371212121212121,6.712121212121212,2090.0,2170.0,0.0,0.0,1.0,0.17945823927765236,0.41817155756207675,0.25451467268623024,0.14785553047404063,0.5056818181818182
11,740.3641304347826,0.11413043478260869,0.0,0.0,2004.5652173913043,-0.8166847826086957,0.07608695652173914,0.03804347826086957,5.733695652173913,1980.0,2087.0,0.0,0.0,1.0,0.16398104265402844,0.5649289099526066,0.20853080568720378,0.06255924170616113,0.3333333333333333
12,748.2831325301205,0.7168674698795181,0.0,0.0,2039.0963855421687,-0.9513855421686748,0.3614457831325301,0.35542168674698793,5.801204819277109,2020.0,2105.0,0.0,0.0,1.0,0.21495327102803738,0.5046728971962616,0.19106957424714435,0.0893042575285566,0.4957983193277311
13,754.5925925925926,0.48148148148148145,0.0,0.0,2067.962962962963,-0.8681851851851852,0.3074074074074074,0.17407407407407408,6.07037037037037,2090.0,2160.0,0.0,0.0,1.0,0.15802318486882244,0.41732763880414886,0.26601586333129956,0.1586333129957291,0.36153846153846153
14,745.3575418994413,0.43575418994413406,0.0,0.0,2009.3854748603353,-0.8605027932960894,0.21787709497206703,0.21787709497206703,6.268156424581005,1990.0,2090.0,0.0,0.0,1.0,0.13101604278074866,0.7085561497326203,0.06506238859180036,0.09536541889483066,0.5
15,771.8669950738916,0.5517241379310345,0.0,0.0,2033.103448275862,-0.8954187192118227,0.3251231527093596,0.22660098522167488,6.078817733990148,2020.0,2110.0,0.0,0.0,1.0,0.18071312803889789,0.5105348460291734,0.20178282009724474,0.10696920583468396,0.4107142857142857
16,779.9302325581396,0.4584717607973422,0.0,0.0,2069.943521594684,-0.9141528239202659,0.24584717607973422,0.21262458471760798,6.73421926910299,2080.0,2160.0,0.0033222591362126247,0.0,0.9966777408637874,0.16477553034040454,0.3655648741983226,0.2994573260976813,0.1702022693635915,0.463768115942029
17,757.8510638297872,0.8457446808510638,0.0,0.0,2012.0744680851064,-0.8099468085106384,0.4946808510638298,0.35106382978723405,6.1861702127659575,2000.0,2093.0,0.0,0.0,1.0,0.1057609630266552,0.6388650042992261,0.20722269991401548,0.04815133276010318,0.41509433962264153
18,753.4137931034483,0.4425287356321839,0.0,0.0,2035.5172413793102,-0.9470689655172413,0.20689655172413793,0.23563218390804597,6.373563218390805,2020.0,2097.0,0.0,0.0,1.0,0.1992786293958521,0.5734896302975654,0.1388638412984671,0.08836789900811542,0.5324675324675324
19,764.6550868486353,0.18362282878411912,0.0,0.0,2067.27047146402,-0.8858064516129033,0.09925558312655088,0.08436724565756824,7.1786600496277915,2070.0,2170.0,0.0,0.0,1.0,0.12167300380228137,0.4427929484963706,0.27894918769443483,0.15658486000691324,0.4594594594594595
20,753.520618556701,0.4896907216494845,0.0,0.0,2011.701030927835,-0.8391237113402061,0.25257731958762886,0.23711340206185566,5.793814432989691,1990.0,2100.0,0.0,0.0,1.0,0.152135231316726,0.556049822064057,0.18683274021352314,0.10498220640569395,0.4842105263157895
21,749.5445026178011,0.33507853403141363,0.0,0.0,2035.0261780104713,-0.9639790575916231,0.20418848167539266,0.13089005235602094,6.403141361256544,2020.0,2100.0,0.0,0.0,1.0,0.1946034341782502,0.5372035977105478,0.18152085036794766,0.0866721177432543,0.390625
22,738.7027972027972,0.3146853146853147,0.0,0.0,2072.1188811188813,-0.7229020979020979,0.16783216783216784,0.14685314685314685,6.13986013986014,2080.0,2170.0,0.0034965034965034965,0.0,0.9965034965034965,0.15660592255125286,0.41173120728929385,0.2847380410022779,0.1469248291571754,0.4666666666666667
23,713.145,0.27,0.0,0.0,2007.9,-0.7867000000000001,0.135,0.135,5.375,1990.0,2100.0,0.0,0.0,1.0,0.10790697674418605,0.5590697674418604,0.23627906976744187,0.09674418604651162,0.5
24,743.2264150943396,0.27672955974842767,0.0,0.0,2025.1572327044025,-1.0058490566037737,0.14465408805031446,0.1320754716981132,5.9748427672955975,2020.0,2080.0,0.0,0.0,1.0,0.16526315789473683,0.7147368421052631,0.07263157894736842,0.04736842105263158,0.4772727272727273
25,746.8410404624277,0.31213872832369943,0.0,0.0,2070.3468208092486,-0.8372543352601156,0.15028901734104047,0.16184971098265896,6.130057803468208,2070.0,2170.0,0.0,0.0,1.0,0.15605846298915607,0.3866100895803866,0.25742574257425743,0.1999057048561999,0.5185185185185185
26,744.3872180451128,0.575187969924812,0.0,0.0,2026.6917293233082,-0.7123308270676691,0.29699248120300753,0.2781954887218045,6.390977443609023,2010.0,2120.0,0.0,0.0,1.0,0.14823529411764705,0.4611764705882353,0.27176470588235296,0.1188235294117647,0.48366013071895425
27,742.3469387755102,0.3877551020408163,0.0,0.0,2028.6734693877552,-0.9202551020408164,0.17346938775510204,0.21428571428571427,6.198979591836735,2020.0,2090.0,0.0,0.0,1.0,0.17530864197530865,0.6148148148148148,0.15473251028806584,0.0551440329218107,0.5526315789473685
28,769.859649122807,0.5292397660818714,0.0,0.0,2071.9005847953217,-0.7953801169590643,0.29239766081871343,0.23684210526315788,6.918128654970761,2070.0,2170.0,0.0,0.0,1.0,0.147083685545224,0.5008453085376162,0.19568892645815722,0.15638207945900254,0.44751381215469616
29,798.1916666666667,0.16666666666666666,0.0,0.0,2031.5277777777778,-0.7884722222222222,0.10277777777777777,0.06388888888888888,8.055555555555555,2020.0,2110.0,0.0,0.0,1.0,0.12586206896551724,0.5431034482758621,0.2289655172413793,0.10206896551724139,0.38333333333333336
30,824.15953307393,0.5953307392996109,0.0,0.0,2027.9066147859921,1.1601167315175098,0.311284046692607,0.2840466926070039,6.587548638132295,2030.0,2120.0,0.023346303501945526,0.0,0.9766536964980544,0.18606024808033078,0.48434731246308327,0.23154164205552275,0.0980507974010632,0.477124183006536
31,813.6551724137931,0.41594827586206895,0.0,0.0,2064.396551724138,-0.8670689655172413,0.19827586206896552,0.21767241379310345,7.168103448275862,2060.0,2167.0,0.0,0.0,1.0,0.12567648827420325,0.4332531569452796,0.2784125075165364,0.16265784726398075,0.5233160621761658
32,790.2014388489208,0.6438848920863309,0.0,0.0,2024.5323741007194,-0.8741007194244604,0.33093525179856115,0.3129496402877698,7.122302158273381,2000.0,2110.0,0.0,0.0,1.0,0.15151515151515152,0.5373737373737374,0.23030303030303031,0.08080808080808081,0.4860335195530726
33,800.72,0.8,0.0,0.0,2043.2888888888888,-0.9547555555555556,0.43555555555555553,0.36444444444444446,7.1866666666666665,2030.0,2116.0,0.0,0.0,1.0,0.19666048237476808,0.4588744588744589,0.2541743970315399,0.09029066171923315,0.45555555555555555
34,804.463458110517,0.46167557932263814,0.0,0.0,2062.2798573975047,-0.6041532976827094,0.25846702317290554,0.20320855614973263,7.745098039215686,2060.0,2170.0,0.0071301247771836,0.0,0.9928698752228164,0.11668584579976984,0.49205983889528193,0.24902186421173764,0.1422324510932106,0.44015444015444016
35,772.9304029304029,0.8315018315018315,0.0,0.0,2024.047619047619,-0.37857142857142856,0.3882783882783883,0.4432234432234432,7.417582417582418,2000.0,2128.0,0.007326007326007326,0.0,0.9926739926739927,0.1308641975308642,0.5797530864197531,0.2108641975308642,0.07851851851851852,0.5330396475770925
36,757.0,1.2184615384615385,0.0,0.0,2048.833846153846,-0.40926153846153845,0.5076923076923077,0.7107692307692308,6.941538461538461,2040.0,2150.0,0.006153846153846154,0.0,0.9938461538461538,0.1768617021276596,0.399822695035461,0.2845744680851064,0.13874113475177305,0.5833333333333334
37,811.8974943052392,0.744874715261959,0.0,0.0,2067.357630979499,-0.8571753986332574,0.3325740318906606,0.4123006833712984,7.8451025056947605,2060.0,2172.0,0.0,0.0,1.0,0.13646922183507548,0.45005807200929154,0.27293844367015097,0.140534262485482,0.5535168195718655
38,770.3371647509579,0.5402298850574713,0.0,0.0,2021.9540229885058,-0.8030268199233717,0.2950191570881226,0.24521072796934865,7.291187739463601,2000.0,2110.0,0.0,0.0,1.0,0.12664214398318444,0.6368891224382554,0.13767735155018393,0.09879138202837624,0.45390070921985815
39,786.8461538461538,0.20726495726495728,0.0,0.0,2041.948717948718,-0.1272222222222222,0.07692307692307693,0.13034188034188035,7.645299145299146,2030.0,2140.0,0.010683760683760684,0.0,0.9893162393162394,0.12465064281721633,0.47456679709334826,0.2752934600335383,0.12548910005589714,0.6288659793814433
40,807.1298701298701,1.0438311688311688,0.0,0.0,2058.9237012987014,0.617288961038961,0.48538961038961037,0.5584415584415584,7.107142857142857,2060.0,2180.0,0.017857142857142856,0.0,0.9821428571428571,0.13133851073549566,0.36158063042485156,0.33851073549566013,0.16857012334399268,0.5349922239502333
41,816.1096774193549,0.9397849462365592,0.0,0.0,2031.6989247311828,0.3524301075268817,0.4172043010752688,0.5225806451612903,7.372043010752688,2030.0,2130.0,0.017204301075268817,0.0,0.9827956989247312,0.1277712952158693,0.5247957992998833,0.21995332555425903,0.12747957992998832,0.5560640732265446
42,843.9183168316831,0.7648514851485149,0.0,0.0,2044.0816831683169,-0.19650990099009896,0.3910891089108911,0.37376237623762376,7.326732673267327,2040.0,2130.0,0.007425742574257425,0.0,0.9925742574257426,0.13885135135135135,0.4287162162162162,0.2996621621621622,0.13277027027027027,0.4886731391585761
43,839.0710455764075,0.6916890080428955,0.0,0.0,2059.092493297587,-0.5043699731903485,0.3739946380697051,0.31769436997319034,7.6474530831099194,2050.0,2170.0,0.006702412868632708,0.0,0.9932975871313673,0.10061349693251534,0.3551270815074496,0.375284837861525,0.16897458369851007,0.45930232558139533
44,819.237020316027,1.3408577878103838,0.0,0.0,2037.3950338600453,0.7243792325056433,0.5846501128668171,0.7562076749435666,8.099322799097065,2030.0,2140.0,0.01805869074492099,0.0,0.981941309255079,0.12263099219620958,0.5699554069119287,0.205685618729097,0.10172798216276477,0.563973063973064
45,806.1625,0.46041666666666664,0.0,0.0,2037.7,0.7508125,0.2708333333333333,0.18958333333333333,7.483333333333333,2040.0,2130.0,0.020833333333333332,0.0,0.9791666666666666,0.1361358574610245,0.4084075723830735,0.3184855233853007,0.13697104677060135,0.4117647058823529
46,861.2061068702291,0.6921119592875318,0.0,0.0,2064.1590330788804,-0.30218829516539436,0.3384223918575064,0.35368956743002544,7.326972010178117,2060.0,2180.0,0.005089058524173028,0.0,0.9949109414758269,0.09515540892516061,0.35909011981246747,0.35214446952595935,0.19361000173641257,0.5110294117647058
47,828.6651270207852,0.6535796766743649,0.0,0.0,2039.986143187067,-0.6745958429561202,0.30484988452655887,0.34872979214780603,7.697459584295612,2030.0,2120.0,0.006928406466512702,0.0,0.9930715935334873,0.11701170117011701,0.5244524452445245,0.24992499249924993,0.10861086108610861,0.5335689045936396
48,809.2175732217573,0.696652719665272,0.0,0.0,2033.6694560669457,1.4589748953974895,0.3912133891213389,0.3054393305439331,7.705020920502092,2040.0,2140.0,0.027196652719665274,0.0,0.9728033472803347,0.13277219657887593,0.4797719250610915,0.23812109693184905,0.14933478142818354,0.43843843843843844
49,846.7961654894046,0.30272452068617556,0.0,0.0,2059.1392532795157,-0.5894248234106962,0.1987891019172553,0.10393541876892028,7.714429868819375,2050.0,2170.0,0.005045408678102927,0.0,0.9949545913218971,0.07691301504251144,0.3806409417920209,0.3202092871157619,0.2222367560497057,0.3433333333333333
