generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,409.57251908396944,0.22900763358778625,8.770992366412214,15.076335877862595,1502.2366412213742,-2.214961832061069,0.08396946564885496,0.1450381679389313,6.061068702290076,1625.0,2110.0,0.0,0.6183206106870229,0.3816793893129771,0.23173803526448364,0.7329974811083123,0.03526448362720403,0.0,0.6333333333333333
2,349.76576576576576,0.0,11.324324324324325,19.2972972972973,1227.5225225225224,-1.9375675675675674,0.0,0.0,4.2792792792792795,1320.0,1935.0,0.0,0.7207207207207207,0.27927927927927926,0.30105263157894735,0.671578947368421,0.02736842105263158,0.0,
3,379.21,0.0,10.24,17.21,1323.1,-2.1528,0.0,0.0,2.64,1375.5,1909.4,0.0,0.72,0.28,0.4621212121212121,0.5189393939393939,0.01893939393939394,0.0,
4,377.8809523809524,0.0,10.380952380952381,18.26984126984127,1375.579365079365,-2.081666666666667,0.0,0.0,5.523809523809524,1353.5,2061.5,0.0,0.746031746031746,0.25396825396825395,0.24568965517241378,0.7413793103448276,0.01293103448275862,0.0,
5,404.18260869565216,0.0,9.486956521739131,16.121739130434783,1375.4782608695652,-2.0997391304347826,0.0,0.0,4.095652173913043,1406.0,1960.0,0.0,0.6521739130434783,0.34782608695652173,0.3248407643312102,0.6411889596602972,0.03397027600849257,0.0,
6,383.89814814814815,0.18518518518518517,10.472222222222221,17.462962962962962,1329.9074074074074,-2.167037037037037,0.07407407407407407,0.1111111111111111,3.3425925925925926,1429.5,2000.3,0.0,0.7037037037037037,0.2962962962962963,0.40443213296398894,0.5789473684210527,0.01662049861495845,0.0,0.6
7,358.5793103448276,0.05517241379310345,12.124137931034483,20.282758620689656,1283.1793103448276,-2.151241379310345,0.020689655172413793,0.034482758620689655,6.586206896551724,1269.0,2069.2,0.0,0.7586206896551724,0.2413793103448276,0.21675392670157068,0.7518324607329843,0.031413612565445025,0.0,0.625
8,374.42148760330576,0.024793388429752067,10.991735537190083,18.859504132231404,1265.5206611570247,-1.8508264462809916,0.0,0.024793388429752067,5.644628099173554,1345.0,1960.0,0.0,0.7107438016528925,0.2892561983471074,0.22693997071742314,0.7423133235724744,0.03074670571010249,0.0,1.0
9,400.26785714285717,0.008928571428571428,9.991071428571429,16.857142857142858,1361.7857142857142,-1.77,0.0,0.008928571428571428,4.285714285714286,1440.5,2010.0,0.0,0.625,0.375,0.36666666666666664,0.5708333333333333,0.05416666666666667,0.008333333333333333,1.0
10,352.2406015037594,0.0,13.428571428571429,23.285714285714285,1174.157894736842,-2.0282706766917293,0.0,0.0,5.62406015037594,1180.0,1942.8,0.0,0.7969924812030075,0.20300751879699247,0.232620320855615,0.7205882352941176,0.034759358288770054,0.012032085561497326,
11,390.5952380952381,0.047619047619047616,10.904761904761905,18.841269841269842,1279.2063492063492,-2.2807936507936506,0.015873015873015872,0.031746031746031744,5.603174603174603,1354.0,1929.0,0.0,0.753968253968254,0.24603174603174602,0.22946175637393768,0.7308781869688386,0.039660056657223795,0.0,0.6666666666666666
12,401.6896551724138,0.06896551724137931,10.086206896551724,17.189655172413794,1342.3275862068965,-2.162844827586207,0.02586206896551724,0.04310344827586207,4.2155172413793105,1505.5,2010.0,0.0,0.6982758620689655,0.3017241379310345,0.3292433537832311,0.5950920245398773,0.06952965235173825,0.006134969325153374,0.625
13,445.1901408450704,0.176056338028169,10.183098591549296,16.880281690140844,1429.2535211267605,-2.1056338028169015,0.09859154929577464,0.07746478873239436,6.126760563380282,1454.5,2109.9,0.0,0.676056338028169,0.323943661971831,0.22988505747126436,0.6919540229885057,0.0735632183908046,0.004597701149425287,0.44
14,434.1344537815126,0.0,9.378151260504202,15.319327731092438,1426.890756302521,-2.0216806722689076,0.0,0.0,4.53781512605042,1468.0,1950.0,0.0,0.7563025210084033,0.24369747899159663,0.26296296296296295,0.7037037037037037,0.03148148148148148,0.001851851851851852,
15,388.8130841121495,0.056074766355140186,11.25233644859813,18.57943925233645,1282.2242990654206,-2.132803738317757,0.037383177570093455,0.018691588785046728,3.102803738317757,1380.0,2010.0,0.0,0.6915887850467289,0.308411214953271,0.3885542168674699,0.5030120481927711,0.10843373493975904,0.0,0.3333333333333333
16,429.82394366197184,0.20422535211267606,11.133802816901408,18.274647887323944,1365.8661971830986,-1.9695774647887325,0.09859154929577464,0.1056338028169014,5.838028169014085,1415.5,2110.0,0.0,0.6971830985915493,0.3028169014084507,0.2195416164053076,0.6670687575392038,0.09891435464414958,0.014475271411338963,0.5172413793103449
