generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,437.2364864864865,0.08783783783783784,9.317567567567568,15.716216216216216,1480.4391891891892,-2.1697972972972974,0.06756756756756757,0.02027027027027027,7.878378378378378,1577.5,2092.7000000000003,0.0,0.7567567567567568,0.24324324324324326,0.2032590051457976,0.6869639794168096,0.1072041166380789,0.002572898799313894,0.23076923076923078
2,420.57142857142856,0.025210084033613446,8.873949579831933,14.873949579831933,1427.4873949579833,-1.9883193277310927,0.01680672268907563,0.008403361344537815,5.218487394957983,1548.0,1960.0,0.0,0.5966386554621849,0.40336134453781514,0.22383252818035426,0.7471819645732689,0.028985507246376812,0.0,0.3333333333333333
3,428.9019607843137,0.09803921568627451,7.245098039215686,12.57843137254902,1537.5,-2.0116666666666667,0.0392156862745098,0.058823529411764705,3.107843137254902,1674.0,2010.0,0.0,0.5196078431372549,0.4803921568627451,0.41324921135646686,0.5583596214511041,0.025236593059936908,0.0031545741324921135,0.6
4,455.96894409937886,0.0,9.229813664596273,15.211180124223603,1470.7018633540372,-1.8287577639751553,0.0,0.0,7.273291925465839,1600.0,2110.0,0.0,0.5962732919254659,0.40372670807453415,0.17677198975234842,0.7181895815542272,0.08795900939368062,0.017079419299743808,
5,473.3720930232558,0.16279069767441862,8.217054263565892,13.790697674418604,1461.984496124031,-1.8364341085271318,0.023255813953488372,0.13953488372093023,4.573643410852713,1561.0,1960.0,0.0,0.627906976744186,0.37209302325581395,0.2711864406779661,0.6152542372881356,0.1016949152542373,0.011864406779661017,0.8571428571428571
6,497.1272727272727,0.6454545454545455,6.8090909090909095,10.936363636363636,1604.590909090909,-2.0216363636363637,0.3,0.34545454545454546,4.2,1693.5,2010.0,0.0,0.4909090909090909,0.509090909090909,0.35064935064935066,0.5584415584415584,0.08008658008658008,0.010822510822510822,0.5352112676056338
7,504.9597701149425,0.20689655172413793,7.488505747126437,12.074712643678161,1628.6494252873563,-1.8217241379310345,0.10919540229885058,0.09770114942528736,7.775862068965517,1737.0,2110.0,0.0,0.5632183908045977,0.4367816091954023,0.18625277161862527,0.6925351071692535,0.11529933481152993,0.005912786400591279,0.4722222222222222
8,479.14383561643837,0.13013698630136986,8.034246575342467,13.842465753424657,1470.1780821917807,-1.7004109589041094,0.0547945205479452,0.07534246575342465,7.1506849315068495,1661.0,1970.0,0.0,0.5616438356164384,0.4383561643835616,0.16666666666666666,0.6992337164750958,0.12547892720306514,0.008620689655172414,0.5789473684210527
9,496.95522388059703,0.664179104477612,7.880597014925373,13.298507462686567,1518.7014925373135,-1.9682835820895523,0.3283582089552239,0.3358208955223881,5.3059701492537314,1604.0,2010.0,0.0,0.5970149253731343,0.40298507462686567,0.24613220815752462,0.5358649789029536,0.1940928270042194,0.02390998593530239,0.5056179775280899
10,497.85555555555555,0.4388888888888889,8.505555555555556,14.572222222222223,1502.0611111111111,-1.729666666666667,0.11666666666666667,0.32222222222222224,7.061111111111111,1578.0,2110.0,0.0,0.6,0.4,0.16994492525570418,0.6380802517702596,0.15735641227380015,0.03461841070023604,0.7341772151898734
11,493.22222222222223,0.1437908496732026,8.764705882352942,15.320261437908497,1435.359477124183,-1.7739869281045753,0.08496732026143791,0.058823529411764705,6.372549019607843,1523.0,1970.0,0.0,0.5424836601307189,0.45751633986928103,0.16205128205128205,0.717948717948718,0.10461538461538461,0.015384615384615385,0.4090909090909091
12,523.9538461538461,0.36923076923076925,8.223076923076922,13.715384615384615,1493.246153846154,-1.9954615384615386,0.12307692307692308,0.24615384615384617,5.946153846153846,1587.5,2020.0,0.0,0.5846153846153846,0.4153846153846154,0.2703751617076326,0.6144890038809832,0.09314359637774904,0.02199223803363519,0.6666666666666666
13,520.8913043478261,0.5869565217391305,9.108695652173912,16.67391304347826,1419.6032608695652,-1.9388586956521738,0.2826086956521739,0.30434782608695654,6.728260869565218,1511.0,2100.0,0.0,0.6358695652173914,0.3641304347826087,0.18174474959612277,0.5848142164781907,0.18093699515347333,0.05250403877221325,0.5185185185185185
14,573.0384615384615,0.46794871794871795,6.698717948717949,11.628205128205128,1553.679487179487,-1.5458974358974358,0.30128205128205127,0.16666666666666666,5.839743589743589,1780.5,1985.0,0.0,0.4551282051282051,0.5448717948717948,0.14709110867178923,0.725576289791438,0.10647639956092206,0.020856201975850714,0.3561643835616438
15,576.3233082706766,0.42857142857142855,7.0,12.022556390977444,1549.4887218045112,-1.7646616541353382,0.17293233082706766,0.2556390977443609,4.661654135338346,1636.0,2010.0,0.0,0.5714285714285714,0.42857142857142855,0.20967741935483872,0.5645161290322581,0.1532258064516129,0.07258064516129033,0.5964912280701754
16,602.0253164556962,0.2109704641350211,7.864978902953586,12.814345991561181,1578.3291139240507,-1.8212236286919832,0.11392405063291139,0.0970464135021097,6.670886075949367,1705.0,2110.0,0.0,0.540084388185654,0.459915611814346,0.14990512333965844,0.5401644528779254,0.22454142947501582,0.08538899430740038,0.46
17,571.7012195121952,0.774390243902439,8.542682926829269,14.512195121951219,1461.530487804878,-1.5074999999999998,0.3353658536585366,0.43902439024390244,5.817073170731708,1611.5,1977.0000000000002,0.0,0.47560975609756095,0.524390243902439,0.1331236897274633,0.6551362683438156,0.18238993710691823,0.029350104821802937,0.5669291338582677
18,607.7080745341615,0.422360248447205,7.987577639751553,14.167701863354038,1487.0434782608695,-2.051055900621118,0.2608695652173913,0.16149068322981366,6.118012422360248,1581.0,2010.0,0.0,0.6086956521739131,0.391304347826087,0.18071065989847715,0.5685279187817259,0.1847715736040609,0.06598984771573604,0.38235294117647056
19,650.1338582677165,0.30708661417322836,7.409448818897638,12.539370078740157,1587.267716535433,-1.7080708661417323,0.1968503937007874,0.11023622047244094,6.653543307086614,1694.0,2110.0,0.0,0.5866141732283464,0.41338582677165353,0.12721893491124261,0.45207100591715976,0.3106508875739645,0.11005917159763313,0.358974358974359
20,644.1964285714286,0.23214285714285715,6.904761904761905,12.303571428571429,1537.202380952381,-1.5979761904761904,0.07142857142857142,0.16071428571428573,5.321428571428571,1757.5,1973.0,0.0,0.5595238095238095,0.44047619047619047,0.116331096196868,0.6140939597315436,0.21252796420581654,0.05704697986577181,0.6923076923076923
21,621.7878787878788,0.28484848484848485,8.133333333333333,14.193939393939393,1477.7939393939394,-1.7327272727272727,0.14545454545454545,0.1393939393939394,5.703030303030303,1610.0,2020.0,0.0,0.5696969696969697,0.4303030303030303,0.17003188097768332,0.6110520722635494,0.15409139213602552,0.06482465462274177,0.48936170212765956
22,616.2261904761905,0.4444444444444444,7.976190476190476,15.071428571428571,1465.8690476190477,-1.918611111111111,0.24206349206349206,0.20238095238095238,6.003968253968254,1564.5,2090.0,0.0,0.6547619047619048,0.34523809523809523,0.13284864507600794,0.5161929940515532,0.21810971579643093,0.13284864507600794,0.45535714285714285
23,664.3468208092486,0.5780346820809249,5.5606936416184976,9.976878612716764,1631.028901734104,-1.4080346820809249,0.26011560693641617,0.3179190751445087,4.508670520231214,1764.0,1980.0,0.0,0.4797687861271676,0.5202312138728323,0.11666666666666667,0.5782051282051283,0.1576923076923077,0.14743589743589744,0.55
