metric,label,baseline_buffer,buffer,mean_buf25,mean_buf100,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_buffer,paired_seed_diff_mean,seeds_agree_in_sign,final_frac
avg_fitness,Mean average fitness,25,100,7.0809598000000005,7.1073746,0.026414799999999516,0.37303982434696936,0.6904761904761905,0.2,5,5,0.026414799999999516,True,0.2
top20percent_fitness,Top-20% fitness,25,100,20.0766491,19.897844900000003,-0.1788041999999983,-0.8906077857384991,0.30952380952380953,-0.44,5,5,-0.1788041999999983,True,0.2
peak_population,Peak population,25,100,468.558,467.858,-0.6999999999999886,-0.14939452533090644,0.8412698412698413,-0.12,5,5,-0.6999999999999886,True,0.2
avg_lifetime,Mean lifetime (ticks),25,100,2075.8358,2074.7853999999998,-1.0504000000000815,-0.05060130478528608,0.8412698412698413,0.12,5,5,-1.0504000000000815,True,0.2
avg_learned_weight_diff,Learned weight diff (MAD),25,100,0.0012586670000000002,0.0012370279999999998,-2.163900000000038e-05,-1.719199756567891,0.42063492063492064,-0.36,5,5,-2.163900000000038e-05,True,0.2
genome_variance,Genomic variance,25,100,0.059898949,0.063553348,0.0036543989999999957,6.100940101636835,0.8412698412698413,0.12,5,5,0.0036543989999999957,True,0.2
collapse,Collapse rate,25,100,0.0,0.0,0.0,,1.0,0.0,5,5,0.0,False,0.2
respawned,Respawned from buffer / window,25,100,42.492,41.382000000000005,-1.1099999999999923,-2.6122564247387565,0.42063492063492064,-0.36,5,5,-1.1099999999999923,True,0.2
cells_visited,Cells explored / organism,25,100,958.9602214469763,969.2662601583576,10.306038711381234,1.0747097200580895,0.42063492063492064,0.36,5,5,10.306038711381234,True,0.2
cave_entries,Cave entries / organism,25,100,1.8159618891415819,2.258206412553335,0.44224452341175313,24.35318307372658,0.42063492063492064,0.36,5,5,0.44224452341175313,True,0.2
night_share,Night share of cave entries,25,100,0.5117531676015655,0.5151209738490377,0.003367806247472127,0.658091920223187,0.031746031746031744,0.84,5,5,0.003367806247472127,True,0.2
food_total,Food eaten / organism,25,100,7.407961634115435,7.475102923258467,0.06714128914303163,0.9063395905538973,0.2222222222222222,0.52,5,5,0.06714128914303163,True,0.2
