generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1383.8451612903225,-1.9781290322580647,5.890322580645162,0.5935483870967742,0.1032258064516129,1.2193548387096773,396.47741935483873,10.664516129032258,17.858064516129033,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.6645161290322581,0.33548387096774196
2,1481.0942028985507,-1.7889855072463767,3.6884057971014492,0.34782608695652173,0.09420289855072464,1.173913043478261,428.3985507246377,8.282608695652174,13.514492753623188,0.028985507246376812,0.0,0.028985507246376812,0.5217391304347826,0.4782608695652174
3,1550.9166666666667,-1.8213333333333332,3.125,0.43333333333333335,0.016666666666666666,1.6166666666666667,452.05,6.9,11.641666666666667,0.125,0.09166666666666666,0.03333333333333333,0.475,0.525
4,1566.1142857142856,-1.9887857142857144,5.464285714285714,0.5571428571428572,0.07142857142857142,1.4785714285714286,454.25714285714287,8.557142857142857,13.928571428571429,0.21428571428571427,0.09285714285714286,0.12142857142857143,0.5571428571428572,0.44285714285714284
5,1486.3309859154929,-1.8561267605633802,4.464788732394366,0.9225352112676056,0.056338028169014086,1.0070422535211268,471.96478873239437,8.492957746478874,14.091549295774648,0.29577464788732394,0.11971830985915492,0.176056338028169,0.5774647887323944,0.4225352112676056
6,1398.84496124031,-1.9932558139534884,3.643410852713178,0.5891472868217055,0.023255813953488372,1.449612403100775,437.37984496124034,9.736434108527131,16.74418604651163,0.023255813953488372,0.015503875968992248,0.007751937984496124,0.6666666666666666,0.3333333333333333
7,1570.7210884353742,-1.9851700680272109,5.27891156462585,0.7210884353741497,0.05442176870748299,1.4829931972789117,466.2721088435374,8.387755102040817,13.612244897959183,0.12244897959183673,0.013605442176870748,0.10884353741496598,0.5510204081632653,0.4489795918367347
8,1337.9606299212599,-2.0346456692913386,4.2204724409448815,0.33070866141732286,0.06299212598425197,1.2598425196850394,423.7007874015748,9.866141732283465,17.10236220472441,0.03937007874015748,0.015748031496062992,0.023622047244094488,0.6299212598425197,0.3700787401574803
9,1646.0495867768595,-1.637107438016529,3.7355371900826446,0.5206611570247934,0.024793388429752067,1.578512396694215,496.93388429752065,5.619834710743802,9.479338842975206,0.1652892561983471,0.06611570247933884,0.09917355371900827,0.3884297520661157,0.6115702479338843
10,1549.9901477832511,-1.8314285714285712,4.694581280788177,1.2561576354679802,0.3694581280788177,1.3399014778325122,505.5911330049261,7.83743842364532,13.817733990147783,0.30049261083743845,0.1330049261083744,0.16748768472906403,0.5911330049261084,0.4088669950738916
11,1521.7643312101911,-1.8490445859872613,5.910828025477707,0.35668789808917195,0.05732484076433121,1.0828025477707006,496.09554140127386,7.8789808917197455,13.146496815286625,0.2484076433121019,0.21019108280254778,0.03821656050955414,0.6050955414012739,0.39490445859872614
12,1513.8492063492063,-1.6762698412698414,3.5873015873015874,0.6031746031746031,0.05555555555555555,1.4206349206349207,493.41269841269843,8.238095238095237,13.26984126984127,0.12698412698412698,0.07936507936507936,0.047619047619047616,0.5,0.5
13,1504.164705882353,-1.925,4.829411764705882,1.2588235294117647,0.12352941176470589,1.3235294117647058,500.36470588235295,8.676470588235293,14.605882352941176,0.17647058823529413,0.08235294117647059,0.09411764705882353,0.5882352941176471,0.4117647058823529
14,1533.31875,-1.6681875000000002,4.68125,0.625,0.09375,0.99375,534.4,7.9875,12.7,0.1625,0.10625,0.05625,0.5,0.5
15,1482.251497005988,-1.8464071856287427,3.431137724550898,1.4850299401197604,0.18562874251497005,1.2874251497005988,544.9401197604791,8.748502994011975,14.766467065868264,0.49700598802395207,0.32335329341317365,0.17365269461077845,0.6227544910179641,0.3772455089820359
16,1577.7453874538746,-1.7270848708487085,5.040590405904059,2.025830258302583,0.42066420664206644,1.0922509225092252,581.040590405904,7.369003690036901,12.826568265682656,0.25092250922509224,0.15867158671586715,0.09225092250922509,0.5129151291512916,0.4870848708487085
17,1512.44578313253,-1.650843373493976,4.234939759036145,0.8313253012048193,0.3253012048192771,0.8795180722891566,577.8493975903615,7.855421686746988,13.240963855421686,0.6626506024096386,0.29518072289156627,0.3674698795180723,0.5240963855421686,0.4759036144578313
18,1533.0882352941176,-1.7894117647058825,3.3823529411764706,0.7867647058823529,0.19852941176470587,1.2058823529411764,574.3308823529412,7.338235294117647,12.882352941176471,0.10294117647058823,0.08088235294117647,0.022058823529411766,0.5882352941176471,0.4117647058823529
19,1523.671875,-1.817109375,4.5078125,2.171875,0.55859375,1.1015625,568.765625,8.3984375,14.3984375,0.23828125,0.10546875,0.1328125,0.58984375,0.41015625
20,1445.173184357542,-1.66927374301676,3.9608938547486034,1.1731843575418994,0.2011173184357542,0.9497206703910615,558.608938547486,8.558659217877095,14.692737430167599,0.2849162011173184,0.13966480446927373,0.1452513966480447,0.5865921787709497,0.4134078212290503
21,1378.5113636363637,-2.0220454545454545,4.903409090909091,1.2670454545454546,0.1875,0.9204545454545454,555.0397727272727,9.488636363636363,16.698863636363637,0.38636363636363635,0.17613636363636365,0.21022727272727273,0.7386363636363636,0.26136363636363635
22,1441.2018927444794,-1.8550157728706624,3.9810725552050474,2.107255520504732,0.637223974763407,0.9337539432176656,586.4447949526814,9.135646687697161,15.89589905362776,0.17034700315457413,0.10410094637223975,0.06624605678233439,0.637223974763407,0.3627760252365931
23,1523.787356321839,-1.7671264367816093,4.091954022988506,0.9597701149425287,0.27011494252873564,0.8735632183908046,604.5632183908046,7.258620689655173,13.0,0.6379310344827587,0.28735632183908044,0.3505747126436782,0.5402298850574713,0.45977011494252873
24,1462.8486486486486,-2.039945945945946,3.5513513513513515,1.2378378378378379,0.41621621621621624,1.1405405405405404,591.8216216216216,8.356756756756758,14.972972972972974,0.4486486486486487,0.14594594594594595,0.3027027027027027,0.6216216216216216,0.3783783783783784
25,1359.8115384615385,-1.7501923076923078,3.853846153846154,2.4846153846153847,0.38846153846153847,0.75,575.2384615384616,9.776923076923078,18.023076923076925,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.7153846153846154,0.2846153846153846
