generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2090.714285714286,-1.0754545454545454,4.357142857142857,0.7337662337662337,0.2012987012987013,1.87012987012987,577.1103896103896,0.0,0.0,0.18181818181818182,0.08441558441558442,0.09740259740259741,0.0,1.0
2,1991.0389610389611,-1.0222077922077921,3.279220779220779,0.8571428571428571,0.33116883116883117,1.3506493506493507,585.9480519480519,0.0,0.0,0.16883116883116883,0.11688311688311688,0.05194805194805195,0.0,1.0
3,2034.9101796407185,-0.9817365269461077,3.910179640718563,1.1017964071856288,0.19161676646706588,1.526946107784431,632.9461077844311,0.0,0.0,0.19760479041916168,0.08982035928143713,0.10778443113772455,0.0,1.0
4,2082.390243902439,-0.9375121951219512,5.053658536585366,1.2439024390243902,0.2634146341463415,1.3707317073170733,649.7121951219513,0.0,0.0,0.5365853658536586,0.28292682926829266,0.25365853658536586,0.0,1.0
5,1999.9305555555557,-1.0504166666666666,3.9166666666666665,0.5069444444444444,0.1736111111111111,1.2083333333333333,613.5833333333334,0.0,0.0,0.6666666666666666,0.24305555555555555,0.4236111111111111,0.0,1.0
6,2031.6993464052287,-1.0490196078431373,2.189542483660131,1.3790849673202614,0.27450980392156865,1.3071895424836601,669.1176470588235,0.0,0.0,0.49019607843137253,0.2549019607843137,0.23529411764705882,0.0,1.0
7,2075.986394557823,-0.8681972789115646,3.3741496598639458,2.0816326530612246,0.8231292517006803,0.935374149659864,730.6122448979592,0.0,0.0,0.5306122448979592,0.22108843537414966,0.30952380952380953,0.0,1.0
8,2008.5106382978724,-0.8578191489361703,3.606382978723404,1.3670212765957446,0.30319148936170215,0.9202127659574468,716.5531914893617,0.0,0.0,0.2925531914893617,0.1702127659574468,0.12234042553191489,0.0,1.0
9,2038.9776785714287,-0.8564285714285714,2.5357142857142856,1.5848214285714286,0.7366071428571429,0.9642857142857143,722.75,0.0,0.0,0.36160714285714285,0.21875,0.14285714285714285,0.0,0.9955357142857143
10,2077.1774193548385,-0.9659677419354838,2.532258064516129,2.024193548387097,0.5967741935483871,0.9838709677419355,735.6612903225806,0.0,0.0,0.4879032258064516,0.18548387096774194,0.3024193548387097,0.0,1.0
11,2005.357142857143,-0.8016666666666667,3.357142857142857,1.1726190476190477,0.24404761904761904,0.7857142857142857,719.9464285714286,0.0,0.0,0.7976190476190477,0.375,0.4226190476190476,0.0,1.0
