generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2088.7919463087246,-1.1191946308724832,4.154362416107382,0.6778523489932886,0.10738255033557047,1.8389261744966443,563.5302013422819,0.0,0.0,0.040268456375838924,0.026845637583892617,0.013422818791946308,0.0,1.0
2,1978.9516129032259,-1.056048387096774,3.475806451612903,0.29838709677419356,0.04838709677419355,1.25,533.4596774193549,0.0,0.0,0.08870967741935484,0.008064516129032258,0.08064516129032258,0.0,1.0
3,2018.796992481203,-1.1048872180451128,3.1278195488721803,0.9624060150375939,0.13533834586466165,1.5413533834586466,586.7593984962406,0.0,0.0,0.007518796992481203,0.007518796992481203,0.0,0.0,1.0
4,2085.705882352941,-1.021,4.647058823529412,1.2823529411764707,0.2529411764705882,1.4294117647058824,627.3764705882353,0.0,0.0,0.23529411764705882,0.12352941176470589,0.11176470588235295,0.0,1.0
5,1998.918918918919,-0.9525675675675676,4.331081081081081,0.918918918918919,0.23648648648648649,1.027027027027027,613.9256756756756,0.0,0.0,0.16216216216216217,0.06756756756756757,0.0945945945945946,0.0,1.0
6,2025.7236842105262,-0.9432236842105264,3.0526315789473686,1.0789473684210527,0.17105263157894737,1.0723684210526316,648.8355263157895,0.0,0.0,0.40131578947368424,0.24342105263157895,0.15789473684210525,0.0,1.0
7,2082.3636363636365,-0.9041818181818181,3.8045454545454547,1.8272727272727274,0.5590909090909091,1.1727272727272726,693.2045454545455,0.0,0.0,0.4818181818181818,0.21363636363636362,0.2681818181818182,0.0,1.0
8,2001.169590643275,-0.8344444444444444,2.847953216374269,1.105263157894737,0.4152046783625731,1.0584795321637428,702.46783625731,0.0,0.0,0.5555555555555556,0.3216374269005848,0.23391812865497075,0.0,1.0
9,2018.6312849162011,1.3924581005586592,2.35195530726257,1.2458100558659218,0.6145251396648045,0.9776536312849162,724.391061452514,0.0,0.0,0.5754189944134078,0.2905027932960894,0.2849162011173184,0.0,0.9664804469273743
10,2073.672727272727,-0.8641090909090909,2.4509090909090907,2.138181818181818,0.8290909090909091,0.8618181818181818,749.3054545454545,0.0,0.0,0.13090909090909092,0.08727272727272728,0.04363636363636364,0.0,1.0
11,2000.4242424242425,-0.8523636363636363,2.9454545454545453,1.3454545454545455,0.3515151515151515,0.8242424242424242,703.5818181818182,0.0,0.0,0.24242424242424243,0.12727272727272726,0.11515151515151516,0.0,1.0
12,2030.4519774011299,-0.7803389830508475,2.9887005649717513,1.1016949152542372,0.632768361581921,0.7796610169491526,706.632768361582,0.0,0.0,0.5141242937853108,0.2598870056497175,0.2542372881355932,0.0,1.0
13,2072.7436823104695,-0.8371841155234657,2.6353790613718413,2.1696750902527078,0.8844765342960289,0.7581227436823105,732.9386281588447,0.0,0.0,0.3898916967509025,0.19494584837545126,0.19494584837545126,0.0,1.0
14,2002.1341463414635,-0.839390243902439,4.158536585365853,0.9207317073170732,0.3231707317073171,0.8170731707317073,725.5487804878048,0.0,0.0,0.6890243902439024,0.3902439024390244,0.29878048780487804,0.0,1.0
15,2042.0942408376964,-0.857958115183246,3.2408376963350785,1.4031413612565444,0.6335078534031413,0.8534031413612565,730.2146596858639,0.0,0.0,0.21465968586387435,0.09424083769633508,0.12041884816753927,0.0,1.0
16,2073.069498069498,0.25833976833976835,3.393822393822394,1.837837837837838,0.6718146718146718,0.9305019305019305,737.1698841698842,0.0,0.0,0.23938223938223938,0.10810810810810811,0.13127413127413126,0.0,0.9922779922779923
17,1998.1976744186047,-0.895639534883721,3.61046511627907,1.255813953488372,0.26744186046511625,0.8430232558139535,726.1802325581396,0.0,0.0,0.47674418604651164,0.3023255813953488,0.1744186046511628,0.0,1.0
18,2020.948905109489,-0.9370802919708029,2.2481751824817517,1.2043795620437956,0.291970802919708,1.1824817518248176,735.3357664233577,0.0,0.0,0.30656934306569344,0.10948905109489052,0.19708029197080293,0.0,1.0
