generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1457.8092105263158,-1.8802631578947369,5.131578947368421,0.506578947368421,0.02631578947368421,1.4473684210526316,430.35526315789474,10.111842105263158,16.19736842105263,0.019736842105263157,0.0,0.019736842105263157,0.6578947368421053,0.34210526315789475
2,1433.4347826086957,-1.775923913043478,4.940217391304348,1.1630434782608696,0.25,0.9402173913043478,507.6902173913044,8.217391304347826,15.13586956521739,0.11956521739130435,0.03804347826086957,0.08152173913043478,0.5869565217391305,0.41304347826086957
3,1427.8278145695365,-1.7043046357615896,4.052980132450331,0.9933774834437086,0.2052980132450331,1.0927152317880795,489.6953642384106,8.251655629139073,15.370860927152318,0.5231788079470199,0.26490066225165565,0.2582781456953642,0.5165562913907285,0.48344370860927155
4,1288.5196850393702,-1.7459055118110236,2.4960629921259843,0.889763779527559,0.18110236220472442,0.6062992125984252,460.79527559055117,10.984251968503937,20.30708661417323,0.2283464566929134,0.05511811023622047,0.1732283464566929,0.6062992125984252,0.3937007874015748
5,1376.0111111111112,-1.7447777777777778,4.838888888888889,1.3166666666666667,0.43333333333333335,0.8,446.74444444444447,7.555555555555555,16.038888888888888,0.2722222222222222,0.13333333333333333,0.1388888888888889,0.5722222222222222,0.42777777777777776
6,1190.5357142857142,-1.8880357142857143,4.517857142857143,0.9017857142857143,0.6428571428571429,0.9285714285714286,449.96875,9.388392857142858,21.075892857142858,0.16517857142857142,0.08035714285714286,0.08482142857142858,0.7008928571428571,0.29910714285714285
7,1253.117117117117,-1.6267567567567567,1.6756756756756757,0.5675675675675675,0.2972972972972973,0.38738738738738737,411.23423423423424,9.027027027027026,20.315315315315317,0.14414414414414414,0.04504504504504504,0.0990990990990991,0.6756756756756757,0.32432432432432434
8,1185.4206008583692,-1.7704721030042918,4.283261802575107,1.4120171673819744,0.6695278969957081,0.6351931330472103,403.11158798283265,8.180257510729614,20.82832618025751,0.15879828326180256,0.07296137339055794,0.08583690987124463,0.6437768240343348,0.3562231759656652
9,1260.4068627450981,-1.6924019607843137,3.9901960784313726,1.5196078431372548,0.3480392156862745,0.8578431372549019,416.1617647058824,8.372549019607844,19.09313725490196,0.1715686274509804,0.07352941176470588,0.09803921568627451,0.5196078431372549,0.4803921568627451
10,1295.0,-1.8490178571428573,1.2589285714285714,0.4107142857142857,0.24107142857142858,0.36607142857142855,361.35714285714283,8.526785714285714,19.330357142857142,0.25892857142857145,0.13392857142857142,0.125,0.5714285714285714,0.42857142857142855
11,1310.6228813559321,-1.6664406779661018,3.6991525423728815,1.4872881355932204,0.4491525423728814,0.5169491525423728,360.81779661016947,7.186440677966102,17.01271186440678,0.0847457627118644,0.05508474576271186,0.029661016949152543,0.4915254237288136,0.5084745762711864
12,1366.6078431372548,-1.4915686274509805,4.150326797385621,0.5294117647058824,0.35947712418300654,0.8431372549019608,371.3333333333333,6.816993464052287,17.281045751633986,0.1111111111111111,0.0718954248366013,0.0392156862745098,0.45098039215686275,0.5490196078431373
13,1573.1333333333334,-1.378095238095238,0.9523809523809523,0.29523809523809524,0.19047619047619047,0.2857142857142857,390.62857142857143,5.485714285714286,12.685714285714285,0.06666666666666667,0.0380952380952381,0.02857142857142857,0.4666666666666667,0.5333333333333333
14,1271.515625,-1.4671874999999999,4.125,1.5989583333333333,0.20833333333333334,0.6770833333333334,401.1770833333333,7.536458333333333,18.46875,0.17708333333333334,0.11979166666666667,0.057291666666666664,0.53125,0.46875
15,1230.0220994475137,-1.8170718232044198,3.386740331491713,0.8950276243093923,0.5580110497237569,0.8895027624309392,400.91160220994476,7.50828729281768,19.679558011049725,0.16574585635359115,0.09392265193370165,0.0718232044198895,0.574585635359116,0.425414364640884
16,1409.496,-1.56808,1.608,0.736,0.248,0.392,417.976,7.2,17.224,0.128,0.088,0.04,0.56,0.44
17,1460.9285714285713,-1.274172932330827,3.281954887218045,1.2518796992481203,0.9699248120300752,0.5902255639097744,438.07142857142856,5.958646616541353,14.1203007518797,0.04887218045112782,0.03007518796992481,0.018796992481203006,0.41353383458646614,0.5864661654135338
18,1149.5357142857142,-1.7510204081632652,2.954081632653061,1.3520408163265305,0.4489795918367347,0.6632653061224489,380.26020408163265,7.168367346938775,20.270408163265305,0.29081632653061223,0.20918367346938777,0.08163265306122448,0.5357142857142857,0.4642857142857143
19,1295.5230769230768,-1.6726153846153846,1.5384615384615385,0.7384615384615385,0.4076923076923077,0.4307692307692308,403.60769230769233,7.484615384615385,19.384615384615383,0.07692307692307693,0.05384615384615385,0.023076923076923078,0.5692307692307692,0.4307692307692308
20,1434.888888888889,-1.2273931623931622,3.141025641025641,1.0940170940170941,0.7735042735042735,0.5512820512820513,400.77777777777777,5.910256410256411,14.675213675213675,0.14102564102564102,0.0641025641025641,0.07692307692307693,0.358974358974359,0.6410256410256411
21,1382.7267759562842,-1.4041530054644809,3.398907103825137,1.3005464480874316,0.43169398907103823,0.5683060109289617,403.60655737704917,5.830601092896175,14.94535519125683,0.07103825136612021,0.04371584699453552,0.0273224043715847,0.4644808743169399,0.5355191256830601
22,1426.7169811320755,-1.2388679245283019,1.028301886792453,0.20754716981132076,0.1320754716981132,0.16981132075471697,395.3301886792453,6.311320754716981,15.915094339622641,0.14150943396226415,0.0660377358490566,0.07547169811320754,0.36792452830188677,0.6320754716981132
23,1338.8731707317072,-1.268,3.2878048780487803,0.8097560975609757,0.526829268292683,0.5170731707317073,396.78536585365856,5.517073170731707,15.84390243902439,0.09268292682926829,0.02926829268292683,0.06341463414634146,0.40487804878048783,0.5951219512195122
24,1333.9646464646464,-1.510151515151515,4.1767676767676765,1.606060606060606,0.24242424242424243,0.7525252525252525,432.449494949495,7.393939393939394,17.31313131313131,0.5353535353535354,0.25252525252525254,0.2828282828282828,0.43434343434343436,0.5656565656565656
25,1282.8067226890757,-1.6523529411764706,1.546218487394958,0.42857142857142855,0.2689075630252101,0.31092436974789917,440.99159663865544,7.680672268907563,19.050420168067227,0.31092436974789917,0.15966386554621848,0.15126050420168066,0.5630252100840336,0.4369747899159664
