generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1381.1417322834645,-2.1207874015748036,3.3622047244094486,0.1889763779527559,0.047244094488188976,1.7007874015748032,375.38582677165357,10.771653543307087,18.023622047244096,0.16535433070866143,0.16535433070866143,0.0,0.6692913385826772,0.33070866141732286
2,1241.6486486486488,-2.0909909909909907,2.189189189189189,0.036036036036036036,0.0,1.2612612612612613,344.3873873873874,11.144144144144144,19.243243243243242,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
3,1613.2522522522522,-1.8411711711711711,2.1981981981981984,0.10810810810810811,0.009009009009009009,1.4684684684684686,426.14414414414415,6.288288288288288,10.414414414414415,0.0,0.0,0.0,0.5945945945945946,0.40540540540540543
4,1565.4848484848485,-2.2177272727272728,3.378787878787879,0.4166666666666667,0.0,1.7121212121212122,435.5833333333333,7.833333333333333,13.416666666666666,0.045454545454545456,0.03787878787878788,0.007575757575757576,0.6742424242424242,0.32575757575757575
5,1306.0190476190476,-2.0535238095238095,1.4857142857142858,0.13333333333333333,0.0,1.3142857142857143,366.4095238095238,10.495238095238095,17.723809523809525,0.0,0.0,0.0,0.6190476190476191,0.38095238095238093
6,1229.6603773584907,-2.0956603773584908,2.0283018867924527,0.1320754716981132,0.0,1.2830188679245282,338.4056603773585,11.867924528301886,19.943396226415093,0.02830188679245283,0.02830188679245283,0.0,0.8301886792452831,0.16981132075471697
7,1414.5,-2.153515625,3.1484375,0.4296875,0.0,1.4453125,406.65625,10.2578125,17.171875,0.0,0.0,0.0,0.6875,0.3125
8,1371.2051282051282,-2.2605982905982906,3.623931623931624,0.10256410256410256,0.0,1.2905982905982907,405.4273504273504,10.068376068376068,16.572649572649574,0.3333333333333333,0.13675213675213677,0.19658119658119658,0.6752136752136753,0.3247863247863248
9,1327.9142857142858,-2.5300000000000002,1.561904761904762,0.09523809523809523,0.01904761904761905,1.2857142857142858,389.8666666666667,10.628571428571428,17.62857142857143,0.02857142857142857,0.0,0.02857142857142857,0.8,0.2
10,1407.0214285714285,-1.9372142857142856,4.535714285714286,0.4142857142857143,0.05714285714285714,1.6357142857142857,423.17857142857144,10.678571428571429,17.478571428571428,0.06428571428571428,0.05,0.014285714285714285,0.6428571428571429,0.35714285714285715
11,985.2105263157895,-2.18,2.6842105263157894,0.05263157894736842,0.017543859649122806,1.2982456140350878,296.89473684210526,15.350877192982455,25.982456140350877,0.0,0.0,0.0,0.8070175438596491,0.19298245614035087
12,1138.2037037037037,-2.113148148148148,1.7314814814814814,0.046296296296296294,0.037037037037037035,1.1851851851851851,339.3796296296296,13.083333333333334,21.88888888888889,0.0,0.0,0.0,0.8148148148148148,0.18518518518518517
13,1388.6899224806202,-2.211705426356589,3.5348837209302326,0.7286821705426356,0.0,1.310077519379845,401.984496124031,10.348837209302326,17.550387596899224,0.09302325581395349,0.03875968992248062,0.05426356589147287,0.7364341085271318,0.26356589147286824
14,1117.713043478261,-2.3663478260869564,2.6869565217391305,0.08695652173913043,0.017391304347826087,1.191304347826087,347.6608695652174,14.208695652173914,23.382608695652173,0.13043478260869565,0.06086956521739131,0.06956521739130435,0.8434782608695652,0.1565217391304348
15,1243.148148148148,-2.2887037037037037,1.5462962962962963,0.24074074074074073,0.009259259259259259,1.2222222222222223,389.4074074074074,11.694444444444445,19.51851851851852,0.0,0.0,0.0,0.7037037037037037,0.2962962962962963
16,1029.9647887323943,-2.3350704225352112,4.873239436619718,0.4507042253521127,0.0,1.0,343.35915492957747,16.225352112676056,26.788732394366196,0.035211267605633804,0.014084507042253521,0.02112676056338028,0.852112676056338,0.14788732394366197
17,1190.5806451612902,-2.078467741935484,2.774193548387097,0.4435483870967742,0.016129032258064516,1.0241935483870968,401.0483870967742,13.596774193548388,21.60483870967742,0.024193548387096774,0.024193548387096774,0.0,0.6693548387096774,0.33064516129032256
18,1298.063063063063,-2.3274774774774776,3.1531531531531534,0.27927927927927926,0.018018018018018018,1.4864864864864864,441.54954954954957,10.927927927927929,18.64864864864865,0.18018018018018017,0.05405405405405406,0.12612612612612611,0.7027027027027027,0.2972972972972973
19,1435.6932515337423,-2.040858895705522,4.368098159509202,0.8588957055214724,0.147239263803681,1.4355828220858895,494.5398773006135,10.024539877300613,16.56441717791411,0.3558282208588957,0.18404907975460122,0.17177914110429449,0.6809815950920245,0.31901840490797545
20,1280.625,-2.1215625,4.140625,0.4140625,0.0234375,1.125,439.671875,11.921875,18.546875,0.1484375,0.0859375,0.0625,0.7734375,0.2265625
21,1106.8878504672898,-2.236261682242991,2.1588785046728973,0.14018691588785046,0.028037383177570093,1.1401869158878504,374.7102803738318,13.682242990654206,23.233644859813083,0.037383177570093455,0.0,0.037383177570093455,0.8691588785046729,0.1308411214953271
22,1304.3354430379748,-1.9209493670886075,4.018987341772152,1.0253164556962024,0.056962025316455694,1.259493670886076,457.8101265822785,11.759493670886076,19.974683544303797,0.14556962025316456,0.04430379746835443,0.10126582278481013,0.7278481012658228,0.2721518987341772
23,1217.0387596899225,-1.9966666666666666,3.37984496124031,0.3798449612403101,0.11627906976744186,1.1085271317829457,430.7674418604651,12.426356589147288,20.54263565891473,0.2558139534883721,0.17054263565891473,0.08527131782945736,0.6821705426356589,0.3178294573643411
24,1455.7583333333334,-1.8688333333333333,2.4,0.275,0.2833333333333333,1.45,527.95,9.141666666666667,14.5,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.675,0.325
25,1234.5664739884394,-2.1187861271676303,2.791907514450867,1.7976878612716762,0.1676300578034682,1.1271676300578035,486.33526011560696,12.942196531791907,21.601156069364162,0.09248554913294797,0.04046242774566474,0.05202312138728324,0.7803468208092486,0.21965317919075145
26,1484.371951219512,-2.015609756097561,4.2682926829268295,0.7439024390243902,0.17073170731707318,0.8780487804878049,590.4024390243902,8.378048780487806,13.829268292682928,0.6829268292682927,0.2865853658536585,0.39634146341463417,0.6402439024390244,0.3597560975609756
27,1307.7068965517242,-2.1901724137931033,2.1293103448275863,0.47413793103448276,0.14655172413793102,1.2413793103448276,522.2758620689655,11.0,18.017241379310345,0.39655172413793105,0.1810344827586207,0.21551724137931033,0.7327586206896551,0.2672413793103448
28,1272.740932642487,-2.0695854922279793,3.715025906735751,1.1139896373056994,0.35233160621761656,1.072538860103627,525.1554404145078,11.49740932642487,20.207253886010363,0.22797927461139897,0.13989637305699482,0.08808290155440414,0.7564766839378239,0.24352331606217617
29,1041.9597315436242,-2.3532885906040266,3.221476510067114,0.7315436241610739,0.1476510067114094,0.912751677852349,450.3154362416107,15.46979865771812,25.308724832214764,0.19463087248322147,0.04697986577181208,0.1476510067114094,0.8926174496644296,0.10738255033557047
30,1130.7348484848485,-2.107651515151515,3.0833333333333335,0.3712121212121212,0.17424242424242425,0.9772727272727273,479.97727272727275,13.803030303030303,23.015151515151516,0.3560606060606061,0.15151515151515152,0.20454545454545456,0.8560606060606061,0.14393939393939395
31,1326.305,-1.9325999999999999,3.105,1.845,0.305,0.99,558.425,10.69,18.72,0.42,0.24,0.18,0.775,0.225
32,1342.8910256410256,-2.036474358974359,3.423076923076923,0.9166666666666666,0.3141025641025641,0.8397435897435898,563.4551282051282,10.538461538461538,17.442307692307693,0.4358974358974359,0.26282051282051283,0.17307692307692307,0.6346153846153846,0.36538461538461536
33,1301.9055118110236,-1.8955905511811024,2.661417322834646,0.5118110236220472,0.16535433070866143,0.9921259842519685,567.0551181102362,10.377952755905511,17.96062992125984,0.3543307086614173,0.16535433070866143,0.1889763779527559,0.7480314960629921,0.25196850393700787
34,1330.9322033898304,-1.8148305084745764,2.542372881355932,1.3559322033898304,0.788135593220339,0.7203389830508474,543.1822033898305,11.10593220338983,18.690677966101696,0.025423728813559324,0.00847457627118644,0.01694915254237288,0.6864406779661016,0.3135593220338983
35,1140.452380952381,-2.2401785714285714,2.1845238095238093,1.3392857142857142,0.3869047619047619,0.6845238095238095,515.827380952381,12.261904761904763,22.49404761904762,0.06547619047619048,0.005952380952380952,0.05952380952380952,0.8511904761904762,0.1488095238095238
36,1226.0588235294117,-2.2858823529411763,3.5,0.4338235294117647,0.22058823529411764,0.8235294117647058,519.0735294117648,11.838235294117647,20.352941176470587,0.5220588235294118,0.38235294117647056,0.13970588235294118,0.8161764705882353,0.18382352941176472
37,1126.3098591549297,-2.1250234741784038,2.356807511737089,1.732394366197183,0.5305164319248826,0.6431924882629108,514.1267605633802,13.68075117370892,23.990610328638496,0.6009389671361502,0.27699530516431925,0.323943661971831,0.8450704225352113,0.15492957746478872
38,1040.0376344086021,-2.273064516129032,3.096774193548387,0.7956989247311828,0.5591397849462365,0.6505376344086021,501.7258064516129,14.56989247311828,25.612903225806452,0.3602150537634409,0.16666666666666666,0.1935483870967742,0.8817204301075269,0.11827956989247312
39,987.2153846153847,-2.3254615384615387,2.9153846153846152,0.3769230769230769,0.18461538461538463,0.9153846153846154,470.15384615384613,15.976923076923077,26.661538461538463,0.24615384615384617,0.12307692307692308,0.12307692307692308,0.8923076923076924,0.1076923076923077
40,1255.5502392344497,-1.909712918660287,2.7607655502392343,1.186602870813397,0.7081339712918661,0.6555023923444976,557.9952153110048,11.75598086124402,20.68421052631579,0.3492822966507177,0.19138755980861244,0.15789473684210525,0.7464114832535885,0.2535885167464115
41,1154.9529411764706,-2.0374117647058823,2.9,1.4941176470588236,0.058823529411764705,0.6705882352941176,540.4470588235295,12.635294117647058,22.694117647058825,0.4411764705882353,0.17058823529411765,0.27058823529411763,0.8470588235294118,0.15294117647058825
42,1171.7905405405406,-2.1741891891891894,2.9594594594594597,0.6891891891891891,0.22297297297297297,0.8243243243243243,531.5135135135135,12.513513513513514,21.87837837837838,0.36486486486486486,0.24324324324324326,0.12162162162162163,0.777027027027027,0.22297297297297297
43,1148.0252525252524,-2.354949494949495,2.702020202020202,1.5454545454545454,0.5252525252525253,0.6161616161616161,547.9191919191919,13.090909090909092,23.328282828282827,0.4090909090909091,0.17676767676767677,0.23232323232323232,0.898989898989899,0.10101010101010101
44,1227.1881188118812,-1.9775247524752475,2.608910891089109,0.9554455445544554,0.7574257425742574,0.5148514851485149,546.3019801980198,11.405940594059405,20.45049504950495,0.09405940594059406,0.04950495049504951,0.04455445544554455,0.7326732673267327,0.26732673267326734
45,994.6122448979592,-2.4214285714285713,2.3945578231292517,1.1224489795918366,0.17687074829931973,0.7142857142857143,509.95238095238096,14.789115646258503,26.244897959183675,0.14965986394557823,0.14965986394557823,0.0,0.8979591836734694,0.10204081632653061
46,1233.8951965065503,-1.9270305676855897,2.947598253275109,1.1834061135371179,0.6724890829694323,0.5283842794759825,539.3624454148471,11.275109170305678,20.502183406113538,0.5240174672489083,0.2183406113537118,0.3056768558951965,0.7467248908296943,0.25327510917030566
47,1109.7405405405405,-2.1732972972972973,2.2594594594594595,1.5891891891891892,0.5135135135135135,0.5081081081081081,509.8972972972973,12.32972972972973,22.416216216216217,0.4,0.22702702702702704,0.17297297297297298,0.8108108108108109,0.1891891891891892
48,897.8287671232877,-2.2723287671232875,3.684931506849315,0.6917808219178082,0.17123287671232876,0.8493150684931506,498.7945205479452,14.232876712328768,26.931506849315067,0.23972602739726026,0.2054794520547945,0.03424657534246575,0.9315068493150684,0.0684931506849315
49,1161.0790960451977,-2.0896610169491527,2.4180790960451977,0.903954802259887,0.559322033898305,0.6384180790960452,514.2881355932203,12.468926553672317,22.64406779661017,0.3389830508474576,0.1807909604519774,0.15819209039548024,0.847457627118644,0.15254237288135594
50,986.75,-2.2177000000000002,2.715,1.085,0.75,0.48,490.875,14.0,25.575,0.21,0.11,0.1,0.9,0.1
51,1076.2340425531916,-2.301063829787234,3.0567375886524824,1.0212765957446808,0.10638297872340426,0.7446808510638298,527.0921985815603,13.113475177304965,23.368794326241133,0.5035460992907801,0.2695035460992908,0.23404255319148937,0.8723404255319149,0.1276595744680851
