generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2085.3658536585367,-1.0931707317073172,6.2560975609756095,0.7560975609756098,0.024390243902439025,1.6585365853658536,556.9512195121952,0.0,0.0,0.08536585365853659,0.024390243902439025,0.06097560975609756,0.0,1.0
2,1993.6363636363637,-1.0654545454545454,4.195804195804196,0.5104895104895105,0.1888111888111888,1.1468531468531469,605.5174825174826,0.0,0.0,0.1888111888111888,0.09090909090909091,0.0979020979020979,0.0,1.0
3,2022.0280898876404,-0.05325842696629212,3.359550561797753,1.0674157303370786,0.6067415730337079,1.4157303370786516,696.5,0.0,0.0,0.3539325842696629,0.2303370786516854,0.12359550561797752,0.0,0.9887640449438202
4,2089.0196078431372,-0.7969281045751634,2.5686274509803924,1.3071895424836601,0.43790849673202614,1.026143790849673,740.1176470588235,0.0,0.0,0.5490196078431373,0.3137254901960784,0.23529411764705882,0.0,1.0
5,2014.1148325358852,-0.8965071770334928,4.301435406698564,1.3349282296650717,0.4019138755980861,1.0191387559808613,727.3971291866029,0.0,0.0,0.5598086124401914,0.3684210526315789,0.19138755980861244,0.0,1.0
6,2041.7410714285713,-0.8375446428571428,3.3392857142857144,1.2767857142857142,0.7410714285714286,1.0669642857142858,759.75,0.0,0.0,0.5625,0.22321428571428573,0.3392857142857143,0.0,1.0
7,2091.5584415584417,-0.7324675324675325,1.7467532467532467,0.9090909090909091,0.5064935064935064,0.45454545454545453,762.9545454545455,0.0,0.0,0.9415584415584416,0.6298701298701299,0.3116883116883117,0.0,1.0
8,2001.990291262136,-0.7256310679611649,3.4757281553398056,1.1213592233009708,0.5485436893203883,0.7378640776699029,716.9611650485436,0.0,0.0,0.45145631067961167,0.27184466019417475,0.1796116504854369,0.0,1.0
9,2036.1764705882354,-0.8139705882352942,3.661764705882353,1.2205882352941178,0.5686274509803921,0.7107843137254902,711.656862745098,0.0,0.0,0.28431372549019607,0.17647058823529413,0.10784313725490197,0.0,1.0
10,2086.778523489933,-0.809261744966443,1.389261744966443,0.959731543624161,0.5704697986577181,0.6174496644295302,708.5234899328859,0.0,0.0,0.18791946308724833,0.1342281879194631,0.053691275167785234,0.0,1.0
11,2021.9920318725099,-0.6992828685258965,4.183266932270916,1.1115537848605577,0.7051792828685259,0.5896414342629482,665.8486055776892,0.0,0.0,0.450199203187251,0.21115537848605578,0.23904382470119523,0.0,1.0
12,2025.6084656084656,-0.9297354497354497,4.074074074074074,0.9629629629629629,0.23809523809523808,0.6772486772486772,690.8148148148148,0.0,0.0,0.31216931216931215,0.2328042328042328,0.07936507936507936,0.0,1.0
13,2098.359375,-0.78890625,1.4609375,0.5390625,0.6328125,0.40625,686.0625,0.0,0.0,0.2265625,0.1171875,0.109375,0.0,1.0
14,2020.414937759336,-0.6846058091286308,4.16597510373444,1.2904564315352698,0.5684647302904564,0.4190871369294606,634.850622406639,0.0,0.0,0.27800829875518673,0.0912863070539419,0.18672199170124482,0.0,1.0
15,2033.6134453781513,-0.7746638655462185,3.9159663865546217,1.73109243697479,0.4327731092436975,0.6848739495798319,622.546218487395,0.0,0.0,0.18907563025210083,0.13865546218487396,0.05042016806722689,0.0,1.0
