generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2080.72625698324,-1.0103351955307263,4.446927374301676,0.994413407821229,0.1564245810055866,1.7597765363128492,579.8882681564246,0.0,0.0,0.1340782122905028,0.0893854748603352,0.0446927374301676,0.0,1.0
2,2010.5405405405406,-1.000972972972973,3.9297297297297296,1.0864864864864865,0.31891891891891894,1.2540540540540541,661.3405405405406,0.0,0.0,0.42162162162162165,0.2,0.22162162162162163,0.0,1.0
3,2035.248803827751,-0.2955023923444976,4.172248803827751,1.5454545454545454,0.3444976076555024,1.0717703349282297,717.5885167464115,0.0,0.0,0.27751196172248804,0.10047846889952153,0.17703349282296652,0.0,0.9904306220095693
4,2091.721052631579,-0.613578947368421,2.4947368421052634,1.1157894736842104,0.8526315789473684,0.7473684210526316,776.2894736842105,0.0,0.0,0.9210526315789473,0.5368421052631579,0.38421052631578945,0.0,0.9894736842105263
5,2024.5289855072465,-0.8485869565217392,4.445652173913044,1.0217391304347827,0.7463768115942029,0.8297101449275363,756.0507246376811,0.0,0.0,0.5398550724637681,0.26811594202898553,0.2717391304347826,0.0,1.0
6,2043.5121951219512,-0.9154146341463415,2.8878048780487804,1.8439024390243903,0.5219512195121951,1.1414634146341462,763.6829268292682,0.0,0.0,0.4682926829268293,0.17073170731707318,0.2975609756097561,0.0,1.0
7,2081.1587982832616,-0.833862660944206,2.4163090128755367,1.703862660944206,0.7896995708154506,0.9484978540772532,790.2918454935623,0.0,0.0,0.2575107296137339,0.2017167381974249,0.055793991416309016,0.0,1.0
8,2021.4107883817428,-0.799460580912863,4.933609958506224,1.2987551867219918,0.37344398340248963,0.7593360995850622,787.9834024896265,0.0,0.0,0.8132780082987552,0.44813278008298757,0.3651452282157676,0.0,1.0
9,2049.8220640569393,-0.8648042704626334,3.786476868327402,1.405693950177936,0.6619217081850534,1.0640569395017794,777.526690391459,0.0,0.0,0.708185053380783,0.41637010676156583,0.2918149466192171,0.0,1.0
10,2076.8755364806866,-0.9127467811158798,2.03862660944206,1.4034334763948497,1.0643776824034334,1.2145922746781115,787.1158798283262,0.0,0.0,0.41630901287553645,0.2532188841201717,0.1630901287553648,0.0,0.9957081545064378
