generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2094.285714285714,-1.1459740259740259,4.636363636363637,0.9415584415584416,0.032467532467532464,1.6363636363636365,567.1233766233767,0.0,0.0,0.18831168831168832,0.09740259740259741,0.09090909090909091,0.0,1.0
2,2009.7860962566845,-0.8933689839572193,3.358288770053476,1.053475935828877,0.42245989304812837,1.0374331550802138,655.8181818181819,0.0,0.0,0.3582887700534759,0.13903743315508021,0.2192513368983957,0.0,1.0
3,2031.638418079096,-0.8313559322033899,3.440677966101695,1.2824858757062148,0.3446327683615819,0.7627118644067796,692.9152542372881,0.0,0.0,0.1694915254237288,0.07344632768361582,0.096045197740113,0.0,1.0
4,2081.4367816091954,-0.791264367816092,1.8620689655172413,1.1149425287356323,0.7413793103448276,0.7586206896551724,738.7758620689655,0.0,0.0,0.5402298850574713,0.3563218390804598,0.1839080459770115,0.0,1.0
5,2013.0731707317073,-0.8005853658536586,4.297560975609756,1.2341463414634146,0.4292682926829268,0.6731707317073171,757.3024390243902,0.0,0.0,0.48292682926829267,0.22926829268292684,0.25365853658536586,0.0,1.0
6,2035.0980392156862,-0.901078431372549,3.235294117647059,1.5049019607843137,0.47058823529411764,1.0686274509803921,776.2058823529412,0.0,0.0,0.3137254901960784,0.18627450980392157,0.12745098039215685,0.0,1.0
7,2089.4610778443116,-0.8837125748502995,2.089820359281437,1.125748502994012,0.562874251497006,0.5508982035928144,794.251497005988,0.0,0.0,0.2275449101796407,0.08383233532934131,0.1437125748502994,0.0,1.0
8,2002.820512820513,-0.7148205128205127,3.348717948717949,1.3435897435897435,0.4512820512820513,0.5692307692307692,770.0820512820513,0.0,0.0,0.13846153846153847,0.07692307692307693,0.06153846153846154,0.0,1.0
9,2022.010582010582,-0.96,4.042328042328043,0.8359788359788359,0.4444444444444444,0.8253968253968254,758.1216931216932,0.0,0.0,0.4603174603174603,0.328042328042328,0.13227513227513227,0.0,1.0
10,2097.6666666666665,-0.7013333333333333,0.9083333333333333,0.9416666666666667,0.35833333333333334,0.2833333333333333,745.2166666666667,0.0,0.0,0.14166666666666666,0.125,0.016666666666666666,0.0,1.0
11,2016.3709677419354,-0.6980241935483871,3.524193548387097,1.5846774193548387,0.6451612903225806,0.3588709677419355,700.4959677419355,0.0,0.0,0.20967741935483872,0.06854838709677419,0.14112903225806453,0.0,1.0
12,2029.7073170731708,-0.7775609756097561,3.4048780487804877,1.053658536585366,0.5902439024390244,0.7804878048780488,716.4243902439024,0.0,0.0,0.2,0.11219512195121951,0.08780487804878048,0.0,1.0
13,2086.7582417582416,-0.8241758241758241,1.3626373626373627,1.0714285714285714,0.9065934065934066,0.5494505494505495,742.3021978021978,0.0,0.0,0.4175824175824176,0.21978021978021978,0.1978021978021978,0.0,1.0
14,2010.6432748538011,-0.7462573099415205,3.9707602339181287,0.5847953216374269,0.45614035087719296,0.52046783625731,726.3567251461989,0.0,0.0,0.5789473684210527,0.25146198830409355,0.32748538011695905,0.0,1.0
15,2029.4736842105262,-0.7553801169590643,4.350877192982456,1.0116959064327486,0.3216374269005848,0.4853801169590643,732.0058479532164,0.0,0.0,0.3742690058479532,0.21637426900584794,0.15789473684210525,0.0,1.0
16,2089.693251533742,-0.7700613496932515,0.9386503067484663,0.754601226993865,0.8466257668711656,0.6012269938650306,713.2453987730062,0.0,0.0,0.37423312883435583,0.12883435582822086,0.24539877300613497,0.0,1.0
17,2019.7272727272727,-0.7116363636363636,4.340909090909091,1.4863636363636363,0.5727272727272728,0.42727272727272725,696.6545454545454,0.0,0.0,0.18181818181818182,0.07272727272727272,0.10909090909090909,0.0,1.0
18,2036.1666666666667,-0.9118333333333333,3.361111111111111,1.7222222222222223,0.35555555555555557,0.7611111111111111,686.9611111111111,0.0,0.0,0.3055555555555556,0.13333333333333333,0.17222222222222222,0.0,1.0
19,2091.7241379310344,-0.7463448275862069,1.6689655172413793,0.9241379310344827,0.6689655172413793,0.5379310344827586,682.1448275862069,0.0,0.0,0.13793103448275862,0.04827586206896552,0.0896551724137931,0.0,1.0
20,2015.5833333333333,-0.6976666666666667,2.8208333333333333,1.9166666666666667,0.85,0.44166666666666665,647.9541666666667,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333,0.0,1.0
21,2033.0882352941176,-0.8491666666666666,4.3088235294117645,1.6127450980392157,0.35294117647058826,0.6225490196078431,640.093137254902,0.0,0.0,0.11274509803921569,0.0784313725490196,0.03431372549019608,0.0,1.0
22,2102.1052631578946,-0.7560526315789473,1.0614035087719298,0.6052631578947368,0.23684210526315788,0.2719298245614035,653.5438596491229,0.0,0.0,0.11403508771929824,0.02631578947368421,0.08771929824561403,0.0,1.0
23,2019.5289855072465,-0.6898913043478261,3.7355072463768115,1.6630434782608696,0.6630434782608695,0.39492753623188404,639.481884057971,0.0,0.0,0.1956521739130435,0.11231884057971014,0.08333333333333333,0.0,1.0
24,2031.5315315315315,-0.8916216216216216,3.5720720720720722,1.40990990990991,0.5405405405405406,0.7027027027027027,664.9954954954954,0.0,0.0,0.32882882882882886,0.15765765765765766,0.17117117117117117,0.0,1.0
25,2090.9774436090224,-0.7002255639097744,1.4210526315789473,1.413533834586466,0.2631578947368421,0.2781954887218045,684.3458646616541,0.0,0.0,0.518796992481203,0.3082706766917293,0.21052631578947367,0.0,1.0
26,2016.491935483871,-0.6578225806451612,3.217741935483871,1.653225806451613,0.6612903225806451,0.3467741935483871,673.1008064516129,0.0,0.0,0.2661290322580645,0.13709677419354838,0.12903225806451613,0.0,1.0
27,2035.858208955224,-0.7363059701492538,4.246268656716418,1.6082089552238805,0.5746268656716418,0.6231343283582089,668.6492537313433,0.0,0.0,0.6529850746268657,0.3358208955223881,0.31716417910447764,0.0,1.0
28,2086.0714285714284,-0.7744196428571428,1.0491071428571428,1.9732142857142858,0.9375,0.90625,734.5089285714286,0.0,0.0,0.7276785714285714,0.3392857142857143,0.38839285714285715,0.0,1.0
29,2020.25,-0.7628,2.845,1.45,0.54,0.47,707.92,0.0,0.0,0.455,0.21,0.245,0.0,1.0
30,2031.7699115044247,-0.7649115044247787,2.1106194690265485,2.2610619469026547,0.5707964601769911,0.7212389380530974,738.0088495575221,0.0,0.0,0.49557522123893805,0.2831858407079646,0.21238938053097345,0.0,1.0
31,2076.9056603773583,-0.09388679245283019,1.1433962264150943,2.3132075471698115,0.8603773584905661,0.6113207547169811,779.2943396226415,0.0,0.0,0.5622641509433962,0.2,0.3622641509433962,0.0,0.9811320754716981
32,2031.9732441471572,-0.6666889632107024,2.7926421404682276,1.451505016722408,1.0033444816053512,0.7224080267558528,782.0401337792642,0.0,0.0,0.6688963210702341,0.3745819397993311,0.29431438127090304,0.0,1.0
33,2038.4727272727273,-0.8394545454545455,3.5636363636363635,1.8763636363636365,0.5709090909090909,0.7818181818181819,767.2218181818182,0.0,0.0,0.6545454545454545,0.3563636363636364,0.29818181818181816,0.0,1.0
34,2081.7557251908397,-0.865763358778626,1.7633587786259541,1.8969465648854962,0.9351145038167938,0.8282442748091603,824.1984732824427,0.0,0.0,1.0916030534351144,0.5305343511450382,0.5610687022900763,0.0,1.0
35,2022.6917293233082,-0.049398496240601455,3.9022556390977443,1.7894736842105263,0.4548872180451128,0.6992481203007519,815.8157894736842,0.0,0.0,0.5488721804511278,0.2706766917293233,0.2781954887218045,0.0,0.9962406015037594
36,2037.191011235955,-0.8665168539325843,2.550561797752809,1.9550561797752808,0.8352059925093633,0.8014981273408239,807.2696629213483,0.0,0.0,0.352059925093633,0.24719101123595505,0.10486891385767791,0.0,1.0
37,2066.461764705882,-0.07794117647058821,2.0823529411764707,1.7705882352941176,1.088235294117647,0.7352941176470589,829.0294117647059,0.0,0.0,0.6764705882352942,0.3088235294117647,0.36764705882352944,0.0,0.9823529411764705
38,2020.4592833876222,0.1167752442996742,3.042345276872964,2.3387622149837135,0.50814332247557,0.9283387622149837,875.4332247557003,0.0,0.0,0.7817589576547231,0.41368078175895767,0.36807817589576547,0.0,0.993485342019544
39,2031.968,0.9640799999999999,3.1866666666666665,1.984,0.944,0.808,879.1226666666666,0.0,0.0,0.8026666666666666,0.44266666666666665,0.36,0.0,0.968
40,2064.8352272727275,-0.431875,1.6022727272727273,2.0738636363636362,1.3125,0.8465909090909091,920.7613636363636,0.0,0.0,0.5539772727272727,0.3778409090909091,0.17613636363636365,0.0,0.9914772727272727
41,2026.7469879518073,-0.65394578313253,3.25,2.1987951807228914,0.641566265060241,0.7198795180722891,852.5813253012049,0.0,0.0,0.7439759036144579,0.41566265060240964,0.32831325301204817,0.0,0.9969879518072289
42,2022.5694117647058,2.8901882352941173,2.8,2.171764705882353,1.0729411764705883,0.7835294117647059,905.3576470588235,0.0,0.0,0.48705882352941177,0.17647058823529413,0.31058823529411766,0.0,0.9694117647058823
43,2067.9656992084433,0.027071240105540878,1.8891820580474934,2.4195250659630605,1.0474934036939314,0.8601583113456465,896.6754617414248,0.0,0.0,1.8944591029023747,0.7704485488126649,1.1240105540897098,0.0,0.978891820580475
44,2036.8266666666666,-0.8464533333333334,3.034666666666667,1.8453333333333333,0.96,0.9546666666666667,884.2933333333333,0.0,0.0,1.84,1.0773333333333333,0.7626666666666667,0.0,1.0
45,2031.4037122969837,2.2418097447795824,3.136890951276102,2.382830626450116,0.7795823665893271,0.7470997679814385,878.3433874709976,0.0,0.0,1.7238979118329467,0.8097447795823666,0.91415313225058,0.0,0.9698375870069605
46,2066.558739255014,-0.7190830945558739,1.6217765042979944,2.487106017191977,1.0744985673352436,0.8710601719197708,891.7535816618911,0.0,0.0,1.5329512893982808,0.8882521489971347,0.6446991404011462,0.0,0.997134670487106
47,2039.4536817102137,-0.5805700712589074,3.503562945368171,2.173396674584323,0.8978622327790974,0.7315914489311164,885.498812351544,0.0,0.0,0.9429928741092637,0.46080760095011875,0.4821852731591449,0.0,0.995249406175772
48,2036.5926892950392,0.33127937336814617,3.3550913838120104,2.731070496083551,0.4830287206266319,1.1436031331592689,868.1044386422976,0.0,0.0,2.117493472584856,1.1279373368146215,0.9895561357702349,0.0,0.9869451697127938
49,2067.166240409207,0.8823017902813299,3.1202046035805626,2.652173913043478,0.9335038363171355,1.0179028132992327,905.1994884910486,0.0,0.0,1.5473145780051152,0.649616368286445,0.8976982097186701,0.0,0.969309462915601
50,2039.1713554987211,-0.3892071611253197,3.1483375959079285,2.626598465473146,0.6061381074168798,1.104859335038363,851.4040920716112,0.0,0.0,1.3631713554987213,0.5831202046035806,0.7800511508951407,0.0,0.9923273657289002
51,2032.4035087719299,1.3226120857699806,3.729044834307992,2.6881091617933723,0.6179337231968811,0.9746588693957114,847.411306042885,0.0,0.0,0.935672514619883,0.5087719298245614,0.4269005847953216,0.0,0.9629629629629629
