generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2089.866666666667,-1.0881999999999998,4.7,0.7133333333333334,0.2866666666666667,1.5133333333333334,575.0333333333333,0.0,0.0,0.20666666666666667,0.09333333333333334,0.11333333333333333,0.0,1.0
2,1993.943661971831,-0.8859154929577464,3.943661971830986,1.0492957746478873,0.07746478873239436,0.8450704225352113,623.9154929577464,0.0,0.0,0.21830985915492956,0.056338028169014086,0.1619718309859155,0.0,1.0
3,2035.9329896907216,-0.7998453608247422,2.716494845360825,1.1443298969072164,0.6752577319587629,1.2010309278350515,730.0257731958762,0.0,0.0,0.5824742268041238,0.23195876288659795,0.35051546391752575,0.0,0.9948453608247423
4,2086.8387096774195,-0.7471612903225806,1.0838709677419356,1.4451612903225806,0.5870967741935483,0.7677419354838709,765.258064516129,0.0,0.0,0.3935483870967742,0.25161290322580643,0.14193548387096774,0.0,1.0
5,2010.7777777777778,-0.6792222222222223,2.811111111111111,1.1888888888888889,0.5611111111111111,0.4111111111111111,701.7888888888889,0.0,0.0,0.5722222222222222,0.23333333333333334,0.3388888888888889,0.0,1.0
6,2020.9219858156027,-0.8588652482269503,1.7446808510638299,1.1347517730496455,0.19858156028368795,0.6382978723404256,676.6524822695036,0.0,0.0,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.0,1.0
7,2093.4188034188032,-0.612991452991453,0.9743589743589743,0.46153846153846156,0.4358974358974359,0.23931623931623933,677.7606837606837,0.0,0.0,0.18803418803418803,0.1452991452991453,0.042735042735042736,0.0,1.0
8,2012.5806451612902,-0.7029953917050692,3.7557603686635943,0.9262672811059908,0.7188940092165899,0.4377880184331797,654.6036866359447,0.0,0.0,0.24423963133640553,0.14285714285714285,0.10138248847926268,0.0,1.0
9,2036.6842105263158,-0.8859473684210527,3.8526315789473684,0.5263157894736842,0.7,0.8789473684210526,657.4315789473684,0.0,0.0,0.21578947368421053,0.07368421052631578,0.14210526315789473,0.0,1.0
10,2086.6433566433566,-0.6883216783216782,1.3496503496503496,1.020979020979021,0.4825174825174825,0.7482517482517482,665.5874125874126,0.0,0.0,0.38461538461538464,0.26573426573426573,0.11888111888111888,0.0,1.0
11,2009.3121693121693,-0.7880952380952381,3.8624338624338623,1.3280423280423281,0.4444444444444444,0.5555555555555556,662.021164021164,0.0,0.0,0.31216931216931215,0.1746031746031746,0.13756613756613756,0.0,1.0
