generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2084.464285714286,-1.2076785714285714,4.476190476190476,1.0416666666666667,0.15476190476190477,1.8511904761904763,596.3333333333334,0.0,0.0,0.10714285714285714,0.06547619047619048,0.041666666666666664,0.0,1.0
2,1999.0666666666666,-1.1014666666666666,4.093333333333334,0.7533333333333333,0.20666666666666667,1.1866666666666668,622.2866666666666,0.0,0.0,0.36,0.09333333333333334,0.26666666666666666,0.0,1.0
3,2028.7356321839081,-0.9208045977011494,3.2241379310344827,1.5402298850574712,0.3563218390804598,1.3103448275862069,702.2758620689655,0.0,0.0,0.27011494252873564,0.1781609195402299,0.09195402298850575,0.0,1.0
4,2092.4712643678163,-0.9343103448275861,2.264367816091954,1.2183908045977012,0.8390804597701149,0.8218390804597702,734.2068965517242,0.0,0.0,0.3793103448275862,0.1781609195402299,0.20114942528735633,0.0,1.0
5,2011.851851851852,-0.7887962962962963,3.962962962962963,1.4027777777777777,0.49537037037037035,0.75,693.9212962962963,0.0,0.0,0.3148148148148148,0.1388888888888889,0.17592592592592593,0.0,1.0
6,2042.2535211267605,-0.8425821596244132,3.15962441314554,1.5211267605633803,0.5915492957746479,0.9530516431924883,706.7323943661971,0.0,0.0,0.5211267605633803,0.2300469483568075,0.29107981220657275,0.0,1.0
7,2090.6626506024095,-0.7558433734939759,1.8012048192771084,1.072289156626506,0.8012048192771084,0.6204819277108434,735.5120481927711,0.0,0.0,1.0060240963855422,0.4879518072289157,0.5180722891566265,0.0,1.0
8,2004.4736842105262,-0.8137368421052631,3.536842105263158,1.431578947368421,0.3631578947368421,0.7315789473684211,736.8842105263158,0.0,0.0,0.5684210526315789,0.26842105263157895,0.3,0.0,1.0
9,2035.7894736842106,-0.9223976608187134,2.9883040935672516,1.0350877192982457,0.5730994152046783,1.0350877192982457,746.5438596491229,0.0,0.0,0.5497076023391813,0.23976608187134502,0.30994152046783624,0.0,1.0
10,2091.8486486486486,-0.6835675675675675,1.7621621621621621,1.1135135135135135,0.9297297297297298,0.8324324324324325,774.3351351351351,0.0,0.0,0.3783783783783784,0.16756756756756758,0.21081081081081082,0.0,0.9945945945945946
11,2010.8837209302326,-0.745953488372093,4.004651162790697,1.2325581395348837,0.4697674418604651,0.5209302325581395,727.9720930232559,0.0,0.0,0.26046511627906976,0.11627906976744186,0.14418604651162792,0.0,1.0
12,2036.614785992218,-0.8544357976653697,3.369649805447471,1.2334630350194553,0.7159533073929961,0.9377431906614786,762.5992217898832,0.0,0.0,0.3968871595330739,0.1867704280155642,0.21011673151750973,0.0,1.0
13,2089.277777777778,-0.8098888888888889,1.5722222222222222,1.3166666666666667,0.7222222222222222,0.9555555555555556,856.2611111111111,0.0,0.0,0.6277777777777778,0.28888888888888886,0.3388888888888889,0.0,1.0
14,2017.180616740088,-0.7815418502202643,4.0,1.2422907488986785,0.5506607929515418,0.7004405286343612,820.6960352422908,0.0,0.0,0.3392070484581498,0.1145374449339207,0.22466960352422907,0.0,1.0
15,2041.4716981132076,-0.8948679245283019,3.630188679245283,1.5056603773584907,0.7320754716981132,1.079245283018868,828.7509433962264,0.0,0.0,0.5245283018867924,0.27547169811320754,0.2490566037735849,0.0,1.0
16,2086.125,-0.7549166666666667,2.0625,1.6458333333333333,0.8833333333333333,0.9666666666666667,896.8083333333333,0.0,0.0,0.8875,0.29583333333333334,0.5916666666666667,0.0,1.0
17,2022.3076923076924,-0.8448461538461538,4.1692307692307695,1.373076923076923,0.5615384615384615,0.9,844.4269230769231,0.0,0.0,0.6923076923076923,0.35,0.3423076923076923,0.0,1.0
18,2030.716,0.10172000000000003,2.656,1.7,0.8,1.372,845.696,0.0,0.0,0.6,0.284,0.316,0.0,0.992
19,2078.5714285714284,-0.8533809523809525,1.4714285714285715,2.057142857142857,0.6285714285714286,1.0904761904761904,881.3952380952381,0.0,0.0,0.5333333333333333,0.24285714285714285,0.2904761904761905,0.0,1.0
20,2024.144781144781,-0.05898989898989902,3.9764309764309766,1.4444444444444444,0.8249158249158249,1.0033670033670035,862.6262626262626,0.0,0.0,1.138047138047138,0.5185185185185185,0.6195286195286195,0.0,0.9966329966329966
21,2038.9611650485438,-0.7500970873786408,3.7718446601941746,1.3640776699029127,0.47572815533980584,1.4466019417475728,817.2184466019418,0.0,0.0,0.9320388349514563,0.41262135922330095,0.5194174757281553,0.0,0.9951456310679612
22,2078.1349206349205,-0.776547619047619,1.9801587301587302,1.7857142857142858,0.9206349206349206,1.1150793650793651,855.4087301587301,0.0,0.0,0.9920634920634921,0.4166666666666667,0.5753968253968254,0.0,1.0
23,2024.850909090909,-0.7503272727272727,4.261818181818182,1.6945454545454546,0.4509090909090909,0.9672727272727273,865.04,0.0,0.0,1.0,0.5309090909090909,0.4690909090909091,0.0,0.9963636363636363
24,2037.332,-0.68048,4.384,1.124,0.6,1.152,858.824,0.0,0.0,0.788,0.496,0.292,0.0,0.996
25,2071.936567164179,-0.6250373134328358,2.2276119402985075,1.5111940298507462,0.9925373134328358,1.1156716417910448,908.8320895522388,0.0,0.0,0.8246268656716418,0.3805970149253731,0.44402985074626866,0.0,0.996268656716418
26,2019.043624161074,-0.44523489932885907,3.3959731543624163,1.580536912751678,0.6812080536912751,0.7785234899328859,850.755033557047,0.0,0.0,0.5536912751677853,0.30201342281879195,0.2516778523489933,0.0,0.9932885906040269
27,2039.2742382271467,0.14819944598337956,3.6759002770083105,1.6565096952908587,0.8808864265927978,1.10803324099723,881.196675900277,0.0,0.0,0.5263157894736842,0.24653739612188366,0.27977839335180055,0.0,0.9861495844875346
28,2064.1015228426395,0.008756345177665,1.6421319796954315,2.3680203045685277,1.116751269035533,1.00253807106599,887.3197969543147,0.0,0.0,0.26903553299492383,0.14720812182741116,0.1218274111675127,0.0,0.9873096446700508
29,2028.0838323353294,-0.24631736526946107,3.2724550898203595,2.4251497005988023,0.562874251497006,0.9670658682634731,902.5508982035929,0.0,0.0,0.31137724550898205,0.17964071856287425,0.1317365269461078,0.0,0.9940119760479041
30,2044.433734939759,-0.8207228915662651,2.4072289156626505,2.4072289156626505,0.8795180722891566,0.9397590361445783,888.0265060240964,0.0,0.0,0.38313253012048193,0.2,0.18313253012048192,0.0,1.0
31,2073.002985074627,-0.015462686567164199,1.7402985074626867,2.4805970149253733,1.0059701492537314,0.991044776119403,932.8029850746269,0.0,0.0,1.3761194029850747,0.7671641791044777,0.608955223880597,0.0,0.9940298507462687
32,2019.3241379310346,0.24955172413793095,3.4689655172413794,1.8413793103448275,0.6551724137931034,0.8172413793103448,925.6068965517242,0.0,0.0,0.6482758620689655,0.2896551724137931,0.3586206896551724,0.0,0.996551724137931
