generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2084.95,-1.02565,3.945,1.4,0.29,1.685,609.135,0.0,0.0,0.32,0.205,0.115,0.0,1.0
2,2007.2972972972973,-0.9699324324324325,4.162162162162162,0.49324324324324326,0.3108108108108108,0.9797297297297297,661.9932432432432,0.0,0.0,0.4864864864864865,0.28378378378378377,0.20270270270270271,0.0,1.0
3,2022.3736842105263,0.8780000000000001,3.8157894736842106,1.0526315789473684,0.631578947368421,1.2210526315789474,692.3473684210526,0.0,0.0,0.6210526315789474,0.24210526315789474,0.37894736842105264,0.0,0.9789473684210527
4,2086.181818181818,-0.8278787878787879,2.2484848484848485,0.7878787878787878,0.6181818181818182,1.1515151515151516,727.769696969697,0.0,0.0,0.296969696969697,0.12727272727272726,0.1696969696969697,0.0,1.0
5,2006.0335195530727,-0.8210055865921788,4.698324022346369,1.2122905027932962,0.26256983240223464,0.8603351955307262,719.6648044692737,0.0,0.0,0.40782122905027934,0.26256983240223464,0.1452513966480447,0.0,1.0
6,2039.7058823529412,-0.928578431372549,3.1029411764705883,1.0637254901960784,0.7450980392156863,1.0147058823529411,705.7794117647059,0.0,0.0,0.30392156862745096,0.1715686274509804,0.1323529411764706,0.0,1.0
7,2085.568181818182,-0.9154545454545455,2.0,1.3409090909090908,0.5738636363636364,1.0681818181818181,732.1420454545455,0.0,0.0,0.5,0.29545454545454547,0.20454545454545456,0.0,1.0
8,2006.65,-0.79715,4.18,1.47,0.3,0.785,682.28,0.0,0.0,0.315,0.18,0.135,0.0,1.0
9,2039.6153846153845,-0.9148557692307692,3.9759615384615383,1.0192307692307692,0.5336538461538461,1.0625,703.3028846153846,0.0,0.0,0.5769230769230769,0.28365384615384615,0.2932692307692308,0.0,1.0
10,2094.1666666666665,-0.9339102564102564,1.435897435897436,1.1217948717948718,0.7243589743589743,0.8397435897435898,721.525641025641,0.0,0.0,0.28205128205128205,0.16025641025641027,0.12179487179487179,0.0,1.0
11,2025.968992248062,-0.6904263565891473,4.992248062015504,1.627906976744186,0.43023255813953487,0.7248062015503876,701.7790697674419,0.0,0.0,0.5465116279069767,0.29457364341085274,0.25193798449612403,0.0,1.0
12,2041.578947368421,-0.9066842105263159,3.5210526315789474,1.105263157894737,0.46842105263157896,1.1736842105263159,714.9684210526316,0.0,0.0,0.5473684210526316,0.2789473684210526,0.26842105263157895,0.0,1.0
13,2091.9718309859154,-0.8076760563380282,2.119718309859155,1.1830985915492958,0.29577464788732394,0.5704225352112676,710.5492957746479,0.0,0.0,0.2746478873239437,0.23943661971830985,0.035211267605633804,0.0,1.0
14,2024.7169811320755,-0.7594339622641509,4.211320754716981,1.539622641509434,0.5962264150943396,0.660377358490566,679.166037735849,0.0,0.0,0.28679245283018867,0.1018867924528302,0.18490566037735848,0.0,1.0
15,2032.5373134328358,-0.8614427860696517,4.54726368159204,0.7860696517412935,0.46766169154228854,0.9203980099502488,724.1940298507462,0.0,0.0,0.572139303482587,0.3383084577114428,0.23383084577114427,0.0,1.0
16,2100.96,-0.79008,1.576,0.688,0.504,0.592,685.992,0.0,0.0,0.424,0.256,0.168,0.0,1.0
17,2021.67,0.19986666666666672,4.8,1.3533333333333333,0.65,0.6533333333333333,672.23,0.0,0.0,0.33,0.19666666666666666,0.13333333333333333,0.0,0.99
18,2032.4698795180723,-0.9282530120481928,4.656626506024097,0.6566265060240963,0.3855421686746988,0.8493975903614458,695.4518072289156,0.0,0.0,0.30120481927710846,0.12048192771084337,0.18072289156626506,0.0,1.0
19,2086.7701863354037,-0.7773913043478261,1.7453416149068324,1.093167701863354,0.6211180124223602,0.8322981366459627,737.9068322981367,0.0,0.0,0.6708074534161491,0.4658385093167702,0.20496894409937888,0.0,1.0
20,2018.6466165413533,-0.7376691729323308,3.1353383458646618,1.962406015037594,0.6052631578947368,0.6691729323308271,715.7443609022556,0.0,0.0,0.10526315789473684,0.07518796992481203,0.03007518796992481,0.0,1.0
