generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2092.6923076923076,-1.1624999999999999,5.371794871794871,0.5961538461538461,0.038461538461538464,1.6987179487179487,574.1987179487179,0.0,0.0,0.03205128205128205,0.03205128205128205,0.0,0.0,1.0
2,1983.12,-1.0143199999999999,4.312,0.272,0.032,1.368,546.792,0.0,0.0,0.112,0.064,0.048,0.0,1.0
3,2021.3868613138686,-1.0910948905109488,2.708029197080292,0.8102189781021898,0.21897810218978103,1.4744525547445255,584.7737226277372,0.0,0.0,0.051094890510948905,0.0,0.051094890510948905,0.0,1.0
4,2076.113537117904,-0.8877729257641922,3.995633187772926,1.720524017467249,0.4366812227074236,1.3973799126637554,645.0786026200873,0.0,0.0,0.5720524017467249,0.3056768558951965,0.2663755458515284,0.0,1.0
5,1986.6911764705883,-0.9252205882352941,3.5294117647058822,0.8161764705882353,0.09558823529411764,0.8602941176470589,627.7941176470588,0.0,0.0,0.2426470588235294,0.08088235294117647,0.16176470588235295,0.0,1.0
6,2021.0242424242424,-0.6212121212121212,3.1272727272727274,1.2666666666666666,0.22424242424242424,0.9090909090909091,646.3636363636364,0.0,0.0,0.19393939393939394,0.07272727272727272,0.12121212121212122,0.0,0.9939393939393939
7,2063.5849056603774,-0.7757861635220126,2.588050314465409,2.210691823899371,0.8333333333333334,0.8805031446540881,685.4937106918239,0.0,0.0,0.2830188679245283,0.18867924528301888,0.09433962264150944,0.0,1.0
8,2010.421052631579,-0.861,3.357894736842105,0.9736842105263158,0.6578947368421053,0.7421052631578947,685.5157894736842,0.0,0.0,0.531578947368421,0.23157894736842105,0.3,0.0,1.0
9,2037.7358490566037,-0.8988679245283019,2.400943396226415,1.6320754716981132,0.6556603773584906,0.9150943396226415,711.2594339622641,0.0,0.0,0.22641509433962265,0.11320754716981132,0.11320754716981132,0.0,1.0
10,2075.739436619718,-0.8308450704225352,2.954225352112676,1.7112676056338028,0.9929577464788732,0.8943661971830986,709.7781690140845,0.0,0.0,0.31690140845070425,0.14788732394366197,0.16901408450704225,0.0,1.0
11,2015.2475247524753,-0.865049504950495,3.5445544554455446,1.3316831683168318,0.4158415841584158,0.6237623762376238,730.2326732673267,0.0,0.0,0.33663366336633666,0.14356435643564355,0.19306930693069307,0.0,1.0
12,2018.6127659574468,1.4408510638297873,3.119148936170213,1.097872340425532,0.7702127659574468,0.8936170212765957,720.9957446808511,0.0,0.0,0.16595744680851063,0.059574468085106386,0.10638297872340426,0.0,0.9787234042553191
13,2074.189189189189,-0.8539864864864865,2.75,1.75,1.135135135135135,0.75,743.2972972972973,0.0,0.0,0.5371621621621622,0.27702702702702703,0.26013513513513514,0.0,1.0
14,2008.888888888889,-0.7772222222222223,3.4444444444444446,1.55,0.3,0.6111111111111112,712.8722222222223,0.0,0.0,0.3388888888888889,0.15,0.18888888888888888,0.0,1.0
15,2023.6708860759493,-0.894367088607595,2.9556962025316458,1.1898734177215189,0.21518987341772153,0.7531645569620253,716.7278481012659,0.0,0.0,0.22784810126582278,0.12025316455696203,0.10759493670886076,0.0,1.0
16,2068.9117647058824,-0.7771176470588235,3.026470588235294,2.0823529411764707,0.9647058823529412,0.6705882352941176,726.5058823529412,0.0,0.0,0.29705882352941176,0.1264705882352941,0.17058823529411765,0.0,1.0
17,2005.7368421052631,-0.8038947368421053,3.5157894736842104,1.3,0.35789473684210527,0.6631578947368421,695.4578947368421,0.0,0.0,0.3,0.17894736842105263,0.12105263157894737,0.0,1.0
18,2040.1025641025642,-0.9581538461538461,3.01025641025641,1.2,0.7282051282051282,0.8512820512820513,703.2461538461539,0.0,0.0,0.3487179487179487,0.18974358974358974,0.15897435897435896,0.0,1.0
19,2068.3928571428573,-0.7968154761904762,2.8660714285714284,2.181547619047619,1.0,0.8244047619047619,738.2738095238095,0.0,0.0,0.33035714285714285,0.19940476190476192,0.13095238095238096,0.0,1.0
20,2012.1917808219177,-0.7854337899543379,3.2100456621004567,0.9680365296803652,0.7351598173515982,0.680365296803653,733.0502283105022,0.0,0.0,0.4018264840182648,0.1872146118721461,0.2146118721461187,0.0,1.0
21,2039.043062200957,-0.8867942583732058,3.2822966507177034,0.9330143540669856,0.7129186602870813,0.7942583732057417,719.377990430622,0.0,0.0,0.36363636363636365,0.20095693779904306,0.16267942583732056,0.0,1.0
22,2061.8927444794954,-0.7722397476340694,3.2933753943217665,1.5993690851735016,0.9305993690851735,0.694006309148265,725.7066246056783,0.0,0.0,0.24290220820189273,0.14511041009463724,0.09779179810725552,0.0,1.0
23,2005.1546391752577,-0.7976804123711341,3.752577319587629,1.2164948453608246,0.30412371134020616,0.6443298969072165,720.9948453608248,0.0,0.0,0.6030927835051546,0.28865979381443296,0.31443298969072164,0.0,1.0
24,2033.3640776699028,-0.8135436893203883,3.4223300970873787,1.2815533980582525,0.6407766990291263,0.9271844660194175,732.7669902912621,0.0,0.0,0.23300970873786409,0.0970873786407767,0.13592233009708737,0.0,0.9951456310679612
25,2069.9703264094956,-0.7778635014836794,3.059347181008902,2.091988130563798,0.9050445103857567,0.7002967359050445,756.9554896142433,0.0,0.0,0.6142433234421365,0.32047477744807124,0.29376854599406527,0.0,1.0
26,2013.080357142857,-0.8279464285714286,3.9285714285714284,1.6339285714285714,0.4107142857142857,0.6875,723.3348214285714,0.0,0.0,0.17857142857142858,0.07589285714285714,0.10267857142857142,0.0,1.0
27,2039.8192771084337,-0.7416064257028112,3.5100401606425704,1.606425702811245,0.7309236947791165,0.9397590361445783,736.2369477911647,0.0,0.0,0.27309236947791166,0.12449799196787148,0.14859437751004015,0.0,0.9959839357429718
28,2062.0437788018435,-0.5116589861751152,2.7903225806451615,1.9423963133640554,1.2304147465437787,0.7926267281105991,764.13133640553,0.0,0.0,0.5783410138248848,0.25806451612903225,0.32027649769585254,0.0,0.9930875576036866
29,2032.1981707317073,-0.8122560975609756,3.7591463414634148,2.0213414634146343,0.6859756097560976,0.9390243902439024,750.7134146341464,0.0,0.0,0.6463414634146342,0.2804878048780488,0.36585365853658536,0.0,0.9969512195121951
30,2039.8710691823899,-0.6618553459119497,3.207547169811321,1.6603773584905661,0.9339622641509434,1.110062893081761,767.2075471698113,0.0,0.0,0.6698113207547169,0.3270440251572327,0.34276729559748426,0.0,0.9968553459119497
31,2069.5210727969347,-0.8177969348659003,3.6475095785440614,2.2509578544061304,1.0191570881226053,0.9789272030651341,793.9827586206897,0.0,0.0,0.7222222222222222,0.34099616858237547,0.38122605363984674,0.0,1.0
32,2032.6734104046243,-0.7478323699421965,4.65606936416185,1.5375722543352601,0.791907514450867,1.083815028901734,802.456647398844,0.0,0.0,0.7283236994219653,0.34104046242774566,0.3872832369942196,0.0,0.9971098265895953
33,2045.10027100271,-0.5362059620596206,3.2628726287262872,1.6097560975609757,1.013550135501355,1.1219512195121952,848.8943089430894,0.0,0.0,0.6802168021680217,0.32791327913279134,0.3523035230352303,0.0,0.991869918699187
34,2062.8820598006646,-0.7377076411960133,3.5813953488372094,2.5299003322259135,1.1146179401993355,0.813953488372093,820.3770764119602,0.0,0.0,0.5631229235880398,0.2973421926910299,0.26578073089701,0.0,0.9983388704318937
35,2028.515406162465,-0.09563025210084034,4.249299719887955,1.526610644257703,0.834733893557423,0.9411764705882353,792.1820728291317,0.0,0.0,0.6666666666666666,0.2661064425770308,0.4005602240896359,0.0,0.9915966386554622
36,2039.6955380577429,0.2956430446194226,3.8241469816272966,1.7401574803149606,0.9868766404199475,1.0866141732283465,853.9160104986877,0.0,0.0,0.36220472440944884,0.14435695538057744,0.2178477690288714,0.0,0.9816272965879265
37,2061.890756302521,-0.7616246498599439,2.950980392156863,2.2408963585434174,1.5056022408963585,0.6582633053221288,829.6232492997199,0.0,0.0,0.572829131652661,0.29971988795518206,0.27310924369747897,0.0,1.0
38,2039.4253521126761,-0.11495774647887325,4.459154929577465,1.3633802816901408,0.9802816901408451,1.0394366197183098,824.8901408450704,0.0,0.0,1.36056338028169,0.5633802816901409,0.7971830985915493,0.0,0.9887323943661972
39,2033.168016194332,1.622064777327935,3.2408906882591095,2.064777327935223,1.1194331983805668,0.97165991902834,819.9068825910931,0.0,0.0,0.902834008097166,0.45546558704453444,0.4473684210526316,0.0,0.9655870445344129
40,2066.908284023669,-0.6442751479289941,2.9718934911242605,2.2440828402366866,1.4112426035502958,0.735207100591716,822.405325443787,0.0,0.0,0.6198224852071006,0.26479289940828404,0.35502958579881655,0.0,0.9970414201183432
41,2033.016304347826,-0.8275271739130434,4.309782608695652,1.7826086956521738,0.7391304347826086,0.9429347826086957,837.7934782608696,0.0,0.0,0.5217391304347826,0.2717391304347826,0.25,0.0,1.0
42,2035.0112107623318,1.1603139013452914,3.6547085201793723,2.18609865470852,0.9417040358744395,1.0089686098654709,803.1636771300448,0.0,0.0,0.44170403587443946,0.21973094170403587,0.2219730941704036,0.0,0.9730941704035875
43,2067.313664596273,-0.7355590062111801,3.0217391304347827,2.281055900621118,1.3680124223602483,0.8229813664596274,870.8804347826087,0.0,0.0,0.9937888198757764,0.5527950310559007,0.4409937888198758,0.0,0.9968944099378882
44,2045.9102564102564,-0.7073846153846154,4.407692307692308,2.187179487179487,0.8025641025641026,0.9282051282051282,832.1923076923077,0.0,0.0,1.6,0.7025641025641025,0.8974358974358975,0.0,0.9948717948717949
45,2034.1768707482993,2.240294784580499,3.7845804988662133,1.9546485260770976,0.780045351473923,1.0136054421768708,856.4965986394558,0.0,0.0,1.5736961451247165,0.8140589569160998,0.7596371882086168,0.0,0.9614512471655329
46,2059.9747474747473,-0.7568055555555555,3.013888888888889,2.5012626262626263,1.279040404040404,0.6452020202020202,857.459595959596,0.0,0.0,1.0340909090909092,0.5580808080808081,0.476010101010101,0.0,1.0
47,2026.616,1.5263200000000001,4.568,1.8186666666666667,0.8186666666666667,1.032,843.4693333333333,0.0,0.0,0.736,0.312,0.424,0.0,0.984
48,2034.8477801268498,1.5359196617336153,3.4397463002114166,2.1627906976744184,0.9260042283298098,1.054968287526427,880.4947145877378,0.0,0.0,1.3657505285412261,0.6744186046511628,0.6913319238900634,0.0,0.9746300211416491
49,2065.9752475247524,-0.3235940594059406,2.595049504950495,2.5584158415841585,1.5297029702970297,0.5613861386138614,896.4643564356436,0.0,0.0,1.3405940594059407,0.6554455445544555,0.6851485148514852,0.0,0.995049504950495
50,2043.7490118577075,-0.4952173913043478,3.6403162055335967,1.8577075098814229,1.0355731225296443,0.8735177865612648,868.296442687747,0.0,0.0,1.5770750988142292,0.7490118577075099,0.8280632411067194,0.0,0.9920948616600791
51,2049.0066225165565,-0.21741721854304638,3.9624724061810155,1.9977924944812362,0.9558498896247241,0.8852097130242825,844.121412803532,0.0,0.0,0.717439293598234,0.32229580573951433,0.39514348785871967,0.0,0.9889624724061811
52,2068.9002267573696,-0.7679931972789116,3.145124716553288,2.383219954648526,1.6054421768707483,0.6383219954648526,878.5555555555555,0.0,0.0,1.072562358276644,0.5,0.572562358276644,0.0,1.0
53,2043.871111111111,-0.4597777777777778,4.188888888888889,1.9555555555555555,1.011111111111111,1.0222222222222221,905.3,0.0,0.0,1.0266666666666666,0.45111111111111113,0.5755555555555556,0.0,0.9888888888888889
54,2028.3021201413428,2.4602650176678447,3.950530035335689,2.097173144876325,1.0812720848056536,0.9734982332155477,880.6943462897526,0.0,0.0,0.6625441696113075,0.3392226148409894,0.32332155477031804,0.0,0.950530035335689
55,2063.9511599511598,0.15032967032967035,3.0146520146520146,2.462759462759463,1.4163614163614164,0.6862026862026862,921.7289377289377,0.0,0.0,1.3467643467643469,0.7423687423687424,0.6043956043956044,0.0,0.9914529914529915
56,2046.2370936902485,-0.020592734225621436,3.87189292543021,2.24282982791587,1.0,0.904397705544933,900.7762906309752,0.0,0.0,1.554493307839388,0.6692160611854685,0.8852772466539197,0.0,0.9866156787762906
57,2023.2832369942196,4.082008670520231,3.3583815028901736,2.6690751445086707,1.1242774566473988,0.8309248554913294,887.878612716763,0.0,0.0,1.1979768786127167,0.6329479768786127,0.565028901734104,0.0,0.9335260115606936
58,2061.3506343713957,-0.007831603229527112,2.419838523644752,2.472895040369089,1.5755478662053057,0.6009227220299884,894.1810841983853,0.0,0.0,1.3494809688581315,0.6908881199538639,0.6585928489042676,0.0,0.9919261822376009
59,2042.0624133148406,0.9164355062413315,3.0124826629681,2.1373092926490984,1.273231622746186,0.79750346740638,881.7004160887656,0.0,0.0,1.3495145631067962,0.6158113730929264,0.7337031900138696,0.0,0.9833564493758669
60,2036.4135338345864,2.220165413533835,3.0210526315789474,2.556390977443609,1.0736842105263158,0.8887218045112782,906.5774436090226,0.0,0.0,1.2661654135338345,0.6255639097744361,0.6406015037593985,0.0,0.9578947368421052
61,2064.4154013015186,0.3202277657266811,2.9642082429501087,2.5488069414316703,1.490238611713666,0.6236442516268981,899.1095444685467,0.0,0.0,1.7093275488069415,0.824295010845987,0.8850325379609545,0.0,0.9837310195227765
62,2036.4859813084113,1.9628170894526036,3.4085447263017357,2.0173564753004007,1.300400534045394,0.7543391188251002,902.2937249666221,0.0,0.0,1.7129506008010682,0.8584779706275033,0.8544726301735648,0.0,0.9732977303070761
63,2029.5701219512196,2.7130030487804877,3.2332317073170733,2.426829268292683,1.1356707317073171,0.9496951219512195,907.9344512195122,0.0,0.0,0.6966463414634146,0.3795731707317073,0.3170731707317073,0.0,0.9542682926829268
64,2065.1420507996236,0.1122295390404516,2.594543744120414,2.6641580432737535,1.6359360301034807,0.5926622765757291,912.068673565381,0.0,0.0,1.3951081843838193,0.7742238946378175,0.6208842897460018,0.0,0.9849482596425212
65,2054.497175141243,-0.21946327683615818,3.4901129943502824,2.3403954802259888,1.0225988700564972,0.7231638418079096,901.3248587570622,0.0,0.0,1.4251412429378532,0.6652542372881356,0.7598870056497176,0.0,0.9858757062146892
66,2045.5674232309746,1.609679572763685,3.2176234979973297,2.4699599465954605,1.2109479305740989,0.7543391188251002,881.3297730307077,0.0,0.0,1.190921228304406,0.616822429906542,0.5740987983978638,0.0,0.9732977303070761
