generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2087.6687116564417,-1.1314110429447852,4.466257668711656,0.9570552147239264,0.06134969325153374,1.5828220858895705,581.1104294478528,0.0,0.0,0.24539877300613497,0.13496932515337423,0.11042944785276074,0.0,1.0
2,1982.6923076923076,-1.0096153846153846,3.0153846153846153,0.4153846153846154,0.2,1.3461538461538463,567.8692307692307,0.0,0.0,0.23846153846153847,0.03076923076923077,0.2076923076923077,0.0,1.0
3,2026.9285714285713,-0.9821428571428571,4.021428571428571,0.7571428571428571,0.15714285714285714,1.4285714285714286,623.0285714285715,0.0,0.0,0.2571428571428571,0.12857142857142856,0.12857142857142856,0.0,1.0
4,2085.8333333333335,-0.953970588235294,3.9215686274509802,1.8627450980392157,0.45098039215686275,1.1715686274509804,662.2058823529412,0.0,0.0,0.23039215686274508,0.14705882352941177,0.08333333333333333,0.0,1.0
5,2012.6174496644296,-0.8103355704697986,4.402684563758389,0.7114093959731543,0.2214765100671141,0.8456375838926175,650.3825503355705,0.0,0.0,0.5100671140939598,0.2080536912751678,0.30201342281879195,0.0,1.0
6,2032.9813664596272,-0.9179503105590061,3.062111801242236,1.3788819875776397,0.36645962732919257,1.062111801242236,672.7577639751553,0.0,0.0,0.062111801242236024,0.024844720496894408,0.037267080745341616,0.0,1.0
7,2079.7046413502107,-0.8601265822784809,4.3881856540084385,1.9324894514767932,0.5232067510548524,0.9071729957805907,704.9240506329114,0.0,0.0,0.4810126582278481,0.22784810126582278,0.25316455696202533,0.0,1.0
8,1989.045751633987,0.240326797385621,2.816993464052288,1.065359477124183,0.24836601307189543,0.8300653594771242,680.3137254901961,0.0,0.0,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.0,0.9934640522875817
9,2030.3488372093022,-0.9012209302325581,2.9825581395348837,0.9302325581395349,0.5058139534883721,0.8662790697674418,713.9127906976744,0.0,0.0,0.436046511627907,0.1511627906976744,0.28488372093023256,0.0,1.0
10,2073.3466135458166,-0.8960557768924302,2.366533864541833,2.394422310756972,0.7250996015936255,0.8326693227091634,720.9760956175298,0.0,0.0,0.17928286852589642,0.0796812749003984,0.099601593625498,0.0,1.0
11,2005.3714285714286,-0.8001714285714285,3.4,1.2742857142857142,0.3314285714285714,0.84,702.8857142857142,0.0,0.0,0.7371428571428571,0.22857142857142856,0.5085714285714286,0.0,1.0
12,2040.2234636871508,-0.9091620111731844,2.4134078212290504,1.2793296089385475,0.7094972067039106,0.7039106145251397,740.1061452513967,0.0,0.0,0.7262569832402235,0.3128491620111732,0.4134078212290503,0.0,1.0
13,2070.64126984127,-0.740984126984127,2.511111111111111,2.022222222222222,0.9809523809523809,0.6634920634920635,761.2317460317461,0.0,0.0,0.6793650793650794,0.29523809523809524,0.38412698412698415,0.0,0.9968253968253968
14,2004.2,-0.7719333333333332,4.093333333333334,1.1533333333333333,0.25333333333333335,0.8066666666666666,702.48,0.0,0.0,0.58,0.3,0.28,0.0,1.0
15,2045.5801104972375,-0.8277900552486188,3.6740331491712706,0.8176795580110497,0.4696132596685083,0.9226519337016574,726.1436464088398,0.0,0.0,0.9060773480662984,0.4696132596685083,0.43646408839779005,0.0,1.0
16,2066.652733118971,-0.8077170418006431,2.35048231511254,1.9421221864951768,0.9389067524115756,0.7395498392282959,741.4855305466237,0.0,0.0,0.24115755627009647,0.1157556270096463,0.12540192926045016,0.0,0.9967845659163987
17,2009.4897959183672,-0.7578061224489796,4.005102040816326,1.5510204081632653,0.3163265306122449,0.49489795918367346,717.8928571428571,0.0,0.0,0.35714285714285715,0.20918367346938777,0.14795918367346939,0.0,1.0
18,2021.9281437125749,-0.09538922155688621,2.844311377245509,1.0838323353293413,0.41916167664670656,0.9401197604790419,725.9520958083832,0.0,0.0,0.25149700598802394,0.11377245508982035,0.1377245508982036,0.0,0.9820359281437125
19,2072.354570637119,-0.8030470914127423,2.8836565096952906,1.7229916897506925,1.0,0.7202216066481995,736.9612188365651,0.0,0.0,0.41274238227146814,0.22160664819944598,0.19113573407202217,0.0,1.0
20,2004.6875,-0.844375,2.7552083333333335,1.6666666666666667,0.375,0.71875,707.8802083333334,0.0,0.0,0.296875,0.18229166666666666,0.11458333333333333,0.0,1.0
21,2038.801652892562,-0.8263223140495868,2.512396694214876,1.6074380165289257,0.7644628099173554,0.8388429752066116,719.7685950413223,0.0,0.0,0.8099173553719008,0.32644628099173556,0.4834710743801653,0.0,1.0
22,2064.655526992288,-0.7404370179948585,2.3239074550128533,1.583547557840617,1.3804627249357326,0.7634961439588689,736.401028277635,0.0,0.0,0.46272493573264784,0.2262210796915167,0.2365038560411311,0.0,0.9974293059125964
23,2010.0,-0.784278606965174,3.8507462686567164,1.572139303482587,0.3880597014925373,0.6766169154228856,731.9452736318408,0.0,0.0,0.263681592039801,0.08955223880597014,0.17412935323383086,0.0,1.0
24,2028.8484848484848,-0.9433333333333334,3.696969696969697,0.9878787878787879,0.3575757575757576,0.8181818181818182,739.8484848484849,0.0,0.0,0.6242424242424243,0.3333333333333333,0.2909090909090909,0.0,1.0
25,2081.0175438596493,-0.8284912280701755,3.4701754385964914,1.8596491228070176,0.8105263157894737,0.8350877192982457,736.0596491228071,0.0,0.0,1.1578947368421053,0.5824561403508772,0.5754385964912281,0.0,1.0
26,2005.0,-0.8663541666666666,3.34375,1.6927083333333333,0.3958333333333333,0.8645833333333334,696.6510416666666,0.0,0.0,0.3229166666666667,0.125,0.19791666666666666,0.0,1.0
27,2029.238683127572,-0.010246913580246892,3.728395061728395,1.551440329218107,0.6090534979423868,1.0329218106995885,730.1481481481482,0.0,0.0,0.39094650205761317,0.2139917695473251,0.17695473251028807,0.0,0.9835390946502057
28,2077.1969696969695,-0.8420833333333333,2.962121212121212,2.1136363636363638,0.7803030303030303,1.018939393939394,732.8371212121212,0.0,0.0,0.42803030303030304,0.22348484848484848,0.20454545454545456,0.0,1.0
29,2009.7916666666667,-0.4210185185185185,4.069444444444445,1.2268518518518519,0.4861111111111111,0.7222222222222222,725.3657407407408,0.0,0.0,0.4212962962962963,0.21296296296296297,0.20833333333333334,0.0,0.9953703703703703
30,2035.0717703349283,-0.8314354066985646,2.291866028708134,1.4354066985645932,0.6363636363636364,0.8277511961722488,751.1961722488038,0.0,0.0,0.37799043062200954,0.17703349282296652,0.20095693779904306,0.0,1.0
31,2065.811623246493,-0.7682565130260521,2.7334669338677355,2.1382765531062122,1.2104208416833668,0.7294589178356713,796.0160320641282,0.0,0.0,0.7735470941883767,0.3727454909819639,0.40080160320641284,0.0,1.0
32,2023.4426229508197,-0.6954098360655738,3.487704918032787,1.1762295081967213,0.8360655737704918,0.7459016393442623,781.2581967213115,0.0,0.0,0.7254098360655737,0.3319672131147541,0.39344262295081966,0.0,1.0
33,2042.6,-0.7187213114754099,3.3114754098360657,1.7606557377049181,0.8163934426229508,0.9147540983606557,773.5803278688525,0.0,0.0,0.8360655737704918,0.3770491803278688,0.45901639344262296,0.0,0.9934426229508196
34,2062.2263157894736,0.12626315789473688,3.336842105263158,1.8026315789473684,1.0421052631578946,0.7842105263157895,768.0605263157895,0.0,0.0,0.6052631578947368,0.31842105263157894,0.2868421052631579,0.0,0.9947368421052631
35,2036.230215827338,-0.4502158273381295,4.525179856115108,1.1870503597122302,0.762589928057554,1.0215827338129497,757.9676258992806,0.0,0.0,1.5971223021582734,0.7482014388489209,0.8489208633093526,0.0,0.9928057553956835
36,2035.6912280701754,0.31940350877192986,2.736842105263158,1.4947368421052631,0.8736842105263158,1.063157894736842,805.7508771929824,0.0,0.0,0.3508771929824561,0.1543859649122807,0.19649122807017544,0.0,0.9789473684210527
37,2068.1236673773988,-0.834413646055437,3.8486140724946694,2.1492537313432836,1.1002132196162047,0.8869936034115139,801.8400852878465,0.0,0.0,0.6652452025586354,0.3049040511727079,0.3603411513859275,0.0,1.0
38,2014.5622119815669,-0.8848847926267281,3.815668202764977,1.5391705069124424,0.576036866359447,0.9124423963133641,762.5668202764977,0.0,0.0,0.7004608294930875,0.37327188940092165,0.3271889400921659,0.0,1.0
39,2045.5727554179566,-0.8256965944272445,3.7058823529411766,1.8606811145510835,0.8111455108359134,1.1764705882352942,781.7058823529412,0.0,0.0,0.5789473684210527,0.3219814241486068,0.25696594427244585,0.0,1.0
40,2063.1448412698414,0.6210714285714285,2.505952380952381,2.4543650793650795,1.2698412698412698,0.8968253968253969,819.7043650793651,0.0,0.0,0.7222222222222222,0.3472222222222222,0.375,0.0,0.9880952380952381
41,2031.1242603550295,-0.8194674556213019,4.3076923076923075,1.5769230769230769,0.6982248520710059,0.893491124260355,761.5532544378698,0.0,0.0,0.7455621301775148,0.39644970414201186,0.34911242603550297,0.0,1.0
42,2022.841961852861,1.9174931880108992,3.204359673024523,1.5831062670299727,1.1416893732970028,1.013623978201635,799.2670299727521,0.0,0.0,0.7057220708446866,0.3896457765667575,0.31607629427792916,0.0,0.9673024523160763
43,2058.711743772242,-0.0452313167259787,3.5320284697508897,2.0480427046263343,1.2188612099644127,0.9039145907473309,814.6103202846975,0.0,0.0,0.3665480427046263,0.16370106761565836,0.20284697508896798,0.0,0.9911032028469751
44,2037.2803738317757,-0.6071028037383177,4.548286604361371,1.2242990654205608,0.7165109034267912,0.9719626168224299,809.0373831775701,0.0,0.0,1.249221183800623,0.6386292834890965,0.6105919003115264,0.0,0.9937694704049844
45,2041.1631016042782,0.8458288770053477,3.9385026737967914,1.411764705882353,0.9866310160427807,1.0267379679144386,830.5534759358288,0.0,0.0,1.1443850267379678,0.48128342245989303,0.6631016042780749,0.0,0.9812834224598931
46,2061.652027027027,-0.6206756756756757,2.7010135135135136,2.2280405405405403,1.364864864864865,0.8547297297297297,847.9780405405405,0.0,0.0,0.3530405405405405,0.22466216216216217,0.12837837837837837,0.0,0.9966216216216216
47,2038.7905604719765,-0.7623598820058997,4.43952802359882,1.8554572271386431,0.6637168141592921,0.9026548672566371,832.4188790560472,0.0,0.0,0.49852507374631266,0.16224188790560473,0.336283185840708,0.0,0.9970501474926253
48,2047.8978328173375,-0.5603715170278638,3.6315789473684212,2.0588235294117645,0.9195046439628483,1.08359133126935,825.4458204334366,0.0,0.0,0.9628482972136223,0.43962848297213625,0.5232198142414861,0.0,0.9938080495356038
49,2059.138851802403,0.12757009345794393,3.5220293724966623,2.1882510013351135,1.343124165554072,0.7409879839786382,852.7236315086782,0.0,0.0,1.185580774365821,0.6515353805073432,0.5340453938584779,0.0,0.9906542056074766
50,2033.992665036675,-0.08726161369193154,3.34718826405868,2.039119804400978,0.8557457212713936,0.9315403422982885,811.5819070904646,0.0,0.0,0.863080684596577,0.39119804400978,0.4718826405867971,0.0,0.9853300733496333
51,2045.5740740740741,-0.2066255144032922,3.0308641975308643,2.197530864197531,1.125514403292181,0.8395061728395061,855.335390946502,0.0,0.0,0.668724279835391,0.36419753086419754,0.3045267489711934,0.0,0.9917695473251029
52,2060.6493670886075,-0.6202025316455696,2.5151898734177216,2.116455696202532,1.7164556962025317,0.7012658227848101,876.6506329113924,0.0,0.0,0.4012658227848101,0.17974683544303796,0.22151898734177214,0.0,0.9936708860759493
53,2044.382470119522,-0.006533864541832643,4.051792828685259,1.9302788844621515,0.9482071713147411,0.9402390438247012,887.4800796812749,0.0,0.0,1.4681274900398407,0.6952191235059761,0.7729083665338645,0.0,0.9880478087649402
54,2036.9725274725274,1.4567032967032967,3.6043956043956045,1.8754578754578755,1.15018315018315,0.9816849816849816,884.1575091575091,0.0,0.0,1.0366300366300367,0.45787545787545786,0.5787545787545788,0.0,0.9725274725274725
55,2057.5,0.6449789029535865,2.9567510548523206,2.1107594936708862,1.6360759493670887,0.6265822784810127,881.6191983122363,0.0,0.0,1.3386075949367089,0.6867088607594937,0.6518987341772152,0.0,0.979957805907173
56,2040.2094017094016,-0.5623931623931624,3.5448717948717947,1.811965811965812,1.0726495726495726,0.9188034188034188,862.2222222222222,0.0,0.0,0.5256410256410257,0.26495726495726496,0.2606837606837607,0.0,0.9893162393162394
57,2042.040128410915,1.2567255216693418,3.7223113964687,2.120385232744783,1.0513643659711076,0.8731942215088283,863.2776886035313,0.0,0.0,0.7528089887640449,0.33868378812199035,0.41412520064205455,0.0,0.9678972712680578
58,2056.360576923077,0.5040673076923077,2.5884615384615386,2.4076923076923076,1.5346153846153847,0.5990384615384615,895.5365384615385,0.0,0.0,0.9490384615384615,0.4807692307692308,0.46826923076923077,0.0,0.9817307692307692
59,2037.4307432432433,0.7127195945945946,4.447635135135135,1.6891891891891893,1.177364864864865,0.9172297297297297,892.0540540540541,0.0,0.0,1.2685810810810811,0.6554054054054054,0.6131756756756757,0.0,0.9797297297297297
