generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1455.5031055900622,-1.8906211180124224,4.024844720496894,0.8881987577639752,0.13043478260869565,1.6211180124223603,432.111801242236,9.559006211180124,16.15527950310559,0.049689440993788817,0.037267080745341616,0.012422360248447204,0.6149068322981367,0.38509316770186336
2,1621.9568965517242,-1.8542241379310345,3.0948275862068964,0.1724137931034483,0.008620689655172414,1.2155172413793103,481.7413793103448,6.163793103448276,9.663793103448276,0.008620689655172414,0.0,0.008620689655172414,0.4827586206896552,0.5172413793103449
3,1522.959349593496,-1.911788617886179,2.682926829268293,0.4634146341463415,0.024390243902439025,1.5040650406504066,450.4959349593496,7.91869918699187,12.707317073170731,0.04065040650406504,0.0,0.04065040650406504,0.5203252032520326,0.4796747967479675
4,1461.5506329113923,-1.9059493670886074,3.550632911392405,0.8924050632911392,0.27848101265822783,1.4936708860759493,469.5759493670886,10.050632911392405,15.854430379746836,0.23417721518987342,0.08227848101265822,0.1518987341772152,0.6455696202531646,0.35443037974683544
5,1578.088,-1.77672,2.968,0.552,0.136,1.128,499.76,6.792,11.064,0.04,0.032,0.008,0.448,0.552
6,1506.855072463768,-1.9854347826086958,3.1739130434782608,1.0797101449275361,0.21014492753623187,1.4565217391304348,506.5507246376812,8.73913043478261,13.72463768115942,0.2246376811594203,0.11594202898550725,0.10869565217391304,0.5942028985507246,0.4057971014492754
7,1556.422077922078,-1.9717532467532466,3.9805194805194803,1.12987012987013,0.2077922077922078,1.2012987012987013,520.5064935064935,8.53896103896104,13.590909090909092,0.01948051948051948,0.012987012987012988,0.006493506493506494,0.6428571428571429,0.35714285714285715
8,1438.4932432432433,-1.8077702702702703,3.864864864864865,0.7297297297297297,0.20270270270270271,0.9797297297297297,481.0945945945946,8.797297297297296,14.628378378378379,0.3581081081081081,0.20270270270270271,0.1554054054054054,0.5608108108108109,0.4391891891891892
9,1560.0074626865671,-1.992910447761194,2.216417910447761,1.0671641791044777,0.15671641791044777,1.0820895522388059,552.0970149253732,7.462686567164179,12.149253731343284,0.13432835820895522,0.08955223880597014,0.04477611940298507,0.5298507462686567,0.4701492537313433
10,1526.9957627118645,-1.7816949152542374,3.4661016949152543,1.9364406779661016,0.6313559322033898,1.0677966101694916,550.2584745762712,8.63135593220339,14.11864406779661,0.2838983050847458,0.1694915254237288,0.11440677966101695,0.5550847457627118,0.4449152542372881
11,1477.0641025641025,-1.9085897435897436,3.1794871794871793,1.4038461538461537,0.14743589743589744,0.8076923076923077,552.8717948717949,8.58974358974359,14.294871794871796,0.28846153846153844,0.1282051282051282,0.16025641025641027,0.6089743589743589,0.391025641025641
12,1459.6778523489934,-1.9349664429530202,2.879194630872483,0.8187919463087249,0.35570469798657717,0.7986577181208053,550.2416107382551,8.973154362416107,14.624161073825503,0.4228187919463087,0.1342281879194631,0.28859060402684567,0.6711409395973155,0.3288590604026846
13,1329.8391959798994,-1.988793969849246,2.899497487437186,1.5728643216080402,0.628140703517588,0.8693467336683417,514.1809045226131,11.321608040201005,19.100502512562816,0.20603015075376885,0.07537688442211055,0.1306532663316583,0.7487437185929648,0.25125628140703515
14,1424.2222222222222,-2.1,2.688888888888889,1.2740740740740741,0.1111111111111111,0.7407407407407407,560.4518518518519,8.4,15.414814814814815,0.4962962962962963,0.2222222222222222,0.2740740740740741,0.6814814814814815,0.31851851851851853
15,1461.2,-1.7654193548387096,1.767741935483871,1.064516129032258,0.6258064516129033,0.8774193548387097,580.1935483870968,8.774193548387096,14.903225806451612,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.6129032258064516,0.3870967741935484
