generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2089.7241379310344,-1.1808965517241379,4.096551724137931,0.8689655172413793,0.006896551724137931,1.910344827586207,539.648275862069,0.0,0.0,0.1793103448275862,0.06206896551724138,0.11724137931034483,0.0,1.0
2,1971.3392857142858,-1.165357142857143,2.9107142857142856,0.125,0.044642857142857144,1.3214285714285714,519.5178571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2015.8536585365853,-1.1176422764227643,3.016260162601626,0.5447154471544715,0.06504065040650407,1.6504065040650406,573.6747967479674,0.0,0.0,0.08943089430894309,0.04878048780487805,0.04065040650406504,0.0,1.0
4,2077.646766169154,-1.0703980099502488,4.243781094527363,1.6119402985074627,0.20398009950248755,1.6666666666666667,622.497512437811,0.0,0.0,0.08955223880597014,0.07462686567164178,0.014925373134328358,0.0,0.9950248756218906
5,1980.5737704918033,-1.1840163934426229,2.5901639344262297,0.6147540983606558,0.09016393442622951,1.2704918032786885,601.655737704918,0.0,0.0,0.04918032786885246,0.00819672131147541,0.040983606557377046,0.0,1.0
6,2018.0272108843537,-0.29673469387755097,3.578231292517007,0.9047619047619048,0.10884353741496598,1.619047619047619,615.2925170068028,0.0,0.0,0.17006802721088435,0.10204081632653061,0.06802721088435375,0.0,0.9931972789115646
7,2087.989417989418,-0.9961375661375662,4.185185185185185,1.4074074074074074,0.26455026455026454,1.708994708994709,650.8677248677249,0.0,0.0,0.2751322751322751,0.13227513227513227,0.14285714285714285,0.0,1.0
8,2006.7701863354037,-0.9751552795031055,3.7267080745341614,0.7515527950310559,0.2608695652173913,1.2422360248447204,657.0310559006211,0.0,0.0,0.8695652173913043,0.2981366459627329,0.5714285714285714,0.0,1.0
9,2030.408163265306,-1.0524489795918368,2.421768707482993,0.8707482993197279,0.4489795918367347,1.5578231292517006,680.8231292517007,0.0,0.0,0.3877551020408163,0.16326530612244897,0.22448979591836735,0.0,1.0
10,2078.2899159663866,-0.667689075630252,4.033613445378151,2.008403361344538,0.5672268907563025,1.2983193277310925,723.436974789916,0.0,0.0,0.37815126050420167,0.23109243697478993,0.14705882352941177,0.0,0.9957983193277311
11,2006.842105263158,-0.9221710526315788,3.4802631578947367,0.9078947368421053,0.23684210526315788,0.875,700.5921052631579,0.0,0.0,0.6842105263157895,0.3881578947368421,0.29605263157894735,0.0,1.0
12,2028.1875,-0.9363125,2.375,0.96875,0.44375,1.36875,714.7875,0.0,0.0,1.1125,0.69375,0.41875,0.0,1.0
13,2074.7682119205297,-0.9214238410596026,3.0298013245033113,2.043046357615894,0.7781456953642384,1.0695364238410596,741.9205298013245,0.0,0.0,0.7980132450331126,0.3708609271523179,0.4271523178807947,0.0,1.0
14,2000.8843537414966,-0.9687755102040816,3.82312925170068,0.6394557823129252,0.3945578231292517,1.0816326530612246,702.469387755102,0.0,0.0,0.46258503401360546,0.19727891156462585,0.2653061224489796,0.0,1.0
15,2014.696335078534,1.1498429319371728,2.481675392670157,1.387434554973822,0.680628272251309,1.3717277486910995,747.9895287958116,0.0,0.0,0.3507853403141361,0.2931937172774869,0.05759162303664921,0.0,0.9685863874345549
16,2063.256484149856,-0.7187896253602305,3.6599423631123917,2.043227665706052,0.760806916426513,1.031700288184438,770.2824207492796,0.0,0.0,0.5072046109510087,0.34293948126801155,0.1642651296829971,0.0,0.9971181556195965
