generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2072.8223350253807,-0.47583756345177664,4.304568527918781,1.1878172588832487,0.29949238578680204,1.6548223350253808,625.6345177664974,0.0,0.0,0.2639593908629442,0.15228426395939088,0.1116751269035533,0.0,0.9949238578680203
2,2011.8023255813953,-0.8382558139534884,4.6976744186046515,0.9593023255813954,0.3546511627906977,1.058139534883721,704.7209302325581,0.0,0.0,0.26744186046511625,0.0755813953488372,0.19186046511627908,0.0,1.0
3,2040.4264705882354,-0.6689705882352941,3.577205882352941,1.9375,0.5625,0.9338235294117647,769.9191176470588,0.0,0.0,0.375,0.19852941176470587,0.17647058823529413,0.0,0.9963235294117647
4,2080.745614035088,-0.32846491228070174,2.473684210526316,1.4605263157894737,0.8903508771929824,0.9254385964912281,794.4956140350877,0.0,0.0,1.3026315789473684,0.6052631578947368,0.6973684210526315,0.0,0.9912280701754386
5,2010.7659574468084,-0.7943404255319149,3.723404255319149,1.3829787234042554,0.3659574468085106,0.7787234042553192,762.2255319148936,0.0,0.0,0.5063829787234042,0.22127659574468084,0.2851063829787234,0.0,1.0
6,2040.734693877551,-0.889673469387755,2.7551020408163267,1.8448979591836734,0.7591836734693878,1.0326530612244897,804.795918367347,0.0,0.0,0.19183673469387755,0.12653061224489795,0.0653061224489796,0.0,1.0
7,2079.3564356435645,-0.7827722772277228,1.7425742574257426,1.7425742574257426,0.8613861386138614,0.9306930693069307,810.7871287128713,0.0,0.0,0.4900990099009901,0.2079207920792079,0.28217821782178215,0.0,1.0
8,2020.7984790874525,-0.825361216730038,4.64638783269962,1.2433460076045628,0.5703422053231939,0.7338403041825095,790.8479087452472,0.0,0.0,0.752851711026616,0.41825095057034223,0.33460076045627374,0.0,1.0
9,2038.3935742971887,-0.8264257028112449,3.8473895582329316,1.6947791164658634,0.6024096385542169,0.891566265060241,815.6506024096385,0.0,0.0,0.7108433734939759,0.37751004016064255,0.3333333333333333,0.0,1.0
10,2075.040650406504,-0.7851219512195121,1.5040650406504066,1.329268292682927,1.3089430894308942,0.7560975609756098,848.5040650406504,0.0,0.0,0.3089430894308943,0.17073170731707318,0.13821138211382114,0.0,1.0
11,2018.9014084507041,-0.737981220657277,3.4131455399061035,1.1737089201877935,0.6197183098591549,0.6150234741784038,815.4460093896714,0.0,0.0,0.7136150234741784,0.3615023474178404,0.352112676056338,0.0,0.9953051643192489
