generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2083.723404255319,-1.010904255319149,4.180851063829787,1.425531914893617,0.23404255319148937,1.5691489361702127,598.2021276595744,0.0,0.0,0.11702127659574468,0.07446808510638298,0.0425531914893617,0.0,1.0
2,1993.021582733813,-0.9666906474820144,3.920863309352518,0.697841726618705,0.17985611510791366,0.8129496402877698,647.8776978417267,0.0,0.0,0.30935251798561153,0.18705035971223022,0.1223021582733813,0.0,1.0
3,2036.0,-0.816764705882353,3.911764705882353,1.0058823529411764,0.3588235294117647,0.9705882352941176,714.9,0.0,0.0,0.8470588235294118,0.38235294117647056,0.4647058823529412,0.0,1.0
4,2093.699421965318,-0.7417919075144509,1.6473988439306357,1.3641618497109826,0.7745664739884393,0.6763005780346821,752.0635838150289,0.0,0.0,1.1560693641618498,0.6184971098265896,0.5375722543352601,0.0,1.0
5,2008.659793814433,-0.8618041237113402,5.036082474226804,1.2422680412371134,0.26288659793814434,0.6752577319587629,748.6907216494845,0.0,0.0,0.7731958762886598,0.4381443298969072,0.33505154639175255,0.0,1.0
6,2031.5238095238096,0.20174603174603173,3.074074074074074,1.4973544973544974,0.43386243386243384,0.8624338624338624,763.5396825396825,0.0,0.0,0.5978835978835979,0.2804232804232804,0.31746031746031744,0.0,0.9894179894179894
7,2086.7934782608695,-0.7809782608695651,2.108695652173913,1.0543478260869565,0.8532608695652174,0.7065217391304348,785.6304347826087,0.0,0.0,0.5217391304347826,0.20652173913043478,0.31521739130434784,0.0,1.0
8,2004.126984126984,-0.7019576719576719,2.5873015873015874,2.132275132275132,0.164021164021164,0.43915343915343913,770.9153439153439,0.0,0.0,0.5661375661375662,0.32275132275132273,0.24338624338624337,0.0,1.0
9,2027.6878612716764,-0.7889595375722543,3.867052023121387,0.8786127167630058,0.2254335260115607,0.5838150289017341,756.0462427745665,0.0,0.0,0.3352601156069364,0.2543352601156069,0.08092485549132948,0.0,1.0
10,2097.1969696969695,-0.7770454545454545,1.0151515151515151,0.9393939393939394,0.5378787878787878,0.32575757575757575,757.1136363636364,0.0,0.0,0.09848484848484848,0.030303030303030304,0.06818181818181818,0.0,1.0
11,2026.8301886792453,-0.6150188679245283,3.4339622641509435,1.4566037735849056,0.8415094339622642,0.3849056603773585,676.1735849056604,0.0,0.0,0.3283018867924528,0.15471698113207547,0.17358490566037735,0.0,1.0
12,2026.7032967032967,-0.8072527472527472,3.879120879120879,1.0274725274725274,0.43956043956043955,0.5934065934065934,670.2967032967033,0.0,0.0,0.21978021978021978,0.13186813186813187,0.08791208791208792,0.0,1.0
13,2109.4594594594596,-0.7322522522522522,1.3603603603603605,0.4954954954954955,0.12612612612612611,0.1981981981981982,666.6846846846847,0.0,0.0,0.46846846846846846,0.0990990990990991,0.36936936936936937,0.0,1.0
14,2022.52,-0.68548,3.548,1.192,0.684,0.452,641.58,0.0,0.0,0.296,0.188,0.108,0.0,1.0
15,2025.5670103092784,-0.7674226804123712,4.77319587628866,1.1391752577319587,0.15979381443298968,0.5773195876288659,650.2422680412371,0.0,0.0,0.5515463917525774,0.30412371134020616,0.24742268041237114,0.0,1.0
16,2094.3076923076924,-0.735,1.0153846153846153,0.7615384615384615,0.36923076923076925,0.34615384615384615,670.1769230769231,0.0,0.0,0.4307692307692308,0.2153846153846154,0.2153846153846154,0.0,1.0
17,2037.2972972972973,-0.6494594594594595,4.253378378378378,1.7432432432432432,0.6013513513513513,0.42567567567567566,644.2297297297297,0.0,0.0,0.5405405405405406,0.25675675675675674,0.28378378378378377,0.0,1.0
18,2025.4891304347825,-0.831195652173913,4.173913043478261,1.2608695652173914,0.13043478260869565,0.5760869565217391,637.5054347826087,0.0,0.0,0.10869565217391304,0.05434782608695652,0.05434782608695652,0.0,1.0
19,2104.433962264151,-0.771132075471698,1.509433962264151,0.3113207547169811,0.10377358490566038,0.24528301886792453,625.5566037735849,0.0,0.0,0.10377358490566038,0.018867924528301886,0.08490566037735849,0.0,1.0
20,2027.9166666666667,-0.6378125,2.6041666666666665,1.9097222222222223,0.8263888888888888,0.4548611111111111,576.5868055555555,0.0,0.0,0.04861111111111111,0.017361111111111112,0.03125,0.0,1.0
21,2030.391304347826,-0.7708695652173914,4.78695652173913,1.4521739130434783,0.3565217391304348,0.5217391304347826,585.7391304347826,0.0,0.0,0.3521739130434783,0.2391304347826087,0.11304347826086956,0.0,1.0
22,2100.8035714285716,-0.8098214285714286,1.3571428571428572,0.5267857142857143,0.26785714285714285,0.26785714285714285,595.0982142857143,0.0,0.0,0.20535714285714285,0.0625,0.14285714285714285,0.0,1.0
23,2031.023890784983,-0.6141638225255972,3.9658703071672354,1.6040955631399318,0.6689419795221843,0.3583617747440273,572.9522184300341,0.0,0.0,0.26621160409556316,0.13310580204778158,0.13310580204778158,0.0,1.0
24,2030.7,-0.73425,4.24,0.785,0.515,0.575,588.325,0.0,0.0,0.325,0.185,0.14,0.0,1.0
