generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2096.027397260274,-1.1526027397260274,4.657534246575342,0.7945205479452054,0.0410958904109589,1.8630136986301369,558.7054794520548,0.0,0.0,0.06164383561643835,0.06164383561643835,0.0,0.0,1.0
2,2000.4285714285713,-0.9087857142857143,4.7214285714285715,0.5357142857142857,0.12857142857142856,0.9071428571428571,584.2285714285714,0.0,0.0,0.6357142857142857,0.3,0.3357142857142857,0.0,1.0
3,2036.5425531914893,-0.919095744680851,3.234042553191489,1.3936170212765957,0.5,1.175531914893617,646.4787234042553,0.0,0.0,0.2074468085106383,0.06382978723404255,0.14361702127659576,0.0,1.0
4,2080.185185185185,-0.88,1.9753086419753085,1.376543209876543,0.5864197530864198,0.8888888888888888,692.9320987654321,0.0,0.0,0.21604938271604937,0.1111111111111111,0.10493827160493827,0.0,1.0
5,2000.6857142857143,-0.8837142857142858,3.817142857142857,1.1371428571428572,0.25142857142857145,0.7714285714285715,696.8685714285714,0.0,0.0,0.8971428571428571,0.41714285714285715,0.48,0.0,1.0
6,2037.827868852459,-0.7939754098360655,3.1885245901639343,1.8975409836065573,0.5942622950819673,0.930327868852459,730.8770491803278,0.0,0.0,0.5081967213114754,0.29098360655737704,0.21721311475409835,0.0,1.0
7,2074.3563218390805,1.077183908045977,2.32183908045977,1.5919540229885059,0.5402298850574713,0.8218390804597702,724.6609195402299,0.0,0.0,0.6954022988505747,0.3793103448275862,0.3160919540229885,0.0,0.9827586206896551
8,2011.2677824267782,-0.48602510460251047,3.924686192468619,1.9246861924686192,0.2217573221757322,0.7698744769874477,729.9205020920502,0.0,0.0,0.42677824267782427,0.2175732217573222,0.20920502092050208,0.0,0.9916317991631799
9,2038.9958158995817,-0.881673640167364,3.4644351464435146,1.782426778242678,0.6359832635983264,0.9539748953974896,732.2677824267782,0.0,0.0,0.606694560669456,0.3305439330543933,0.27615062761506276,0.0,1.0
10,2080.6150442477874,-0.7531858407079646,1.6017699115044248,1.4424778761061947,0.9911504424778761,0.7876106194690266,753.5442477876106,0.0,0.0,0.5619469026548672,0.33185840707964603,0.23008849557522124,0.0,0.995575221238938
11,2030.5698113207548,-0.7488679245283019,4.162264150943396,1.6264150943396227,0.5207547169811321,0.7735849056603774,760.4716981132076,0.0,0.0,0.7132075471698113,0.3471698113207547,0.3660377358490566,0.0,0.9962264150943396
12,2030.7887931034484,0.27879310344827596,4.047413793103448,1.081896551724138,0.8620689655172413,0.9396551724137931,766.3836206896551,0.0,0.0,0.8405172413793104,0.4525862068965517,0.3879310344827586,0.0,0.9913793103448276
13,2096.598639455782,-0.7271428571428572,1.9251700680272108,0.9931972789115646,0.5510204081632653,0.41496598639455784,817.0340136054422,0.0,0.0,0.6258503401360545,0.3197278911564626,0.30612244897959184,0.0,1.0
14,2015.938864628821,-0.7914847161572053,3.7205240174672487,1.6986899563318778,0.47161572052401746,0.7641921397379913,770.2183406113537,0.0,0.0,0.24017467248908297,0.14410480349344978,0.09606986899563319,0.0,1.0
15,2037.9835390946503,-0.8432098765432099,3.2016460905349793,1.1975308641975309,0.7448559670781894,0.8641975308641975,759.3086419753087,0.0,0.0,0.3292181069958848,0.1934156378600823,0.13580246913580246,0.0,1.0
16,2085.271739130435,-0.7489130434782609,1.9782608695652173,1.6032608695652173,0.5706521739130435,0.6521739130434783,774.6847826086956,0.0,0.0,0.125,0.08695652173913043,0.03804347826086957,0.0,1.0
17,2029.5806451612902,-0.7448709677419355,4.241935483870968,1.570967741935484,0.7516129032258064,0.8354838709677419,783.4064516129032,0.0,0.0,0.36774193548387096,0.1935483870967742,0.17419354838709677,0.0,1.0
18,2038.615671641791,-0.3494402985074627,3.3097014925373136,1.462686567164179,0.832089552238806,1.0634328358208955,781.3283582089553,0.0,0.0,0.3283582089552239,0.15671641791044777,0.17164179104477612,0.0,0.9850746268656716
19,2077.104247104247,-0.7844401544401544,2.0193050193050195,1.528957528957529,1.1003861003861004,0.8996138996138996,802.3436293436293,0.0,0.0,0.2702702702702703,0.10038610038610038,0.16988416988416988,0.0,1.0
20,2021.5737704918033,-0.6720655737704918,3.3737704918032785,1.7704918032786885,0.7934426229508197,0.8262295081967214,763.5081967213115,0.0,0.0,0.1901639344262295,0.09180327868852459,0.09836065573770492,0.0,0.9967213114754099
21,2043.828996282528,-0.8529368029739777,2.996282527881041,2.0223048327137545,0.6877323420074349,0.9516728624535316,798.4423791821562,0.0,0.0,0.42379182156133827,0.2379182156133829,0.18587360594795538,0.0,1.0
