generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2097.12,-1.11984,4.232,0.352,0.0,2.016,541.848,0.0,0.0,0.072,0.072,0.0,0.0,1.0
2,1977.6377952755906,-1.1484251968503936,3.4881889763779528,0.3937007874015748,0.03937007874015748,1.2992125984251968,529.6377952755905,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2021.8840579710145,-1.0492753623188407,3.5652173913043477,0.8115942028985508,0.09420289855072464,1.5942028985507246,562.2101449275362,0.0,0.0,0.07246376811594203,0.014492753623188406,0.057971014492753624,0.0,1.0
4,2078.3098591549297,-1.0084037558685446,4.502347417840376,1.2112676056338028,0.4413145539906103,1.7417840375586855,609.6948356807512,0.0,0.0,0.107981220657277,0.07511737089201878,0.03286384976525822,0.0,1.0
5,1992.148148148148,-1.023259259259259,3.9407407407407407,0.4,0.037037037037037035,1.3777777777777778,587.237037037037,0.0,0.0,0.32592592592592595,0.08888888888888889,0.23703703703703705,0.0,1.0
6,2022.4489795918366,-1.1545578231292517,2.4829931972789114,1.0408163265306123,0.19727891156462585,1.8911564625850341,605.0544217687075,0.0,0.0,0.1564625850340136,0.04081632653061224,0.11564625850340136,0.0,1.0
7,2071.128787878788,-0.048484848484848436,4.587121212121212,2.196969696969697,0.4053030303030303,1.4015151515151516,669.7386363636364,0.0,0.0,0.24621212121212122,0.14393939393939395,0.10227272727272728,0.0,0.9962121212121212
8,2003.0263157894738,-0.9246052631578947,4.296052631578948,0.7302631578947368,0.09868421052631579,1.2894736842105263,654.1973684210526,0.0,0.0,0.4342105263157895,0.14473684210526316,0.2894736842105263,0.0,1.0
9,2038.4183673469388,-0.9707142857142856,3.326530612244898,1.6989795918367347,0.39285714285714285,1.3979591836734695,667.2908163265306,0.0,0.0,0.3673469387755102,0.11734693877551021,0.25,0.0,1.0
10,2071.093425605536,-0.2901730103806229,3.1453287197231834,1.9896193771626298,0.629757785467128,1.259515570934256,700.0553633217993,0.0,0.0,0.5155709342560554,0.2560553633217993,0.25951557093425603,0.0,0.9965397923875432
11,2008.7356321839081,-0.8827011494252873,3.3333333333333335,0.9827586206896551,0.4885057471264368,1.3850574712643677,699.4597701149426,0.0,0.0,0.5229885057471264,0.27011494252873564,0.25287356321839083,0.0,1.0
12,2035.2717391304348,-0.9941847826086957,2.0815217391304346,1.5869565217391304,0.5380434782608695,1.3967391304347827,730.4728260869565,0.0,0.0,0.2608695652173913,0.11413043478260869,0.14673913043478262,0.0,1.0
13,2069.3768545994067,-0.9127893175074184,3.080118694362018,2.198813056379822,0.8635014836795252,1.0059347181008902,757.4688427299703,0.0,0.0,0.42136498516320475,0.2522255192878338,0.16913946587537093,0.0,1.0
14,2007.1195652173913,-0.8554891304347826,4.103260869565218,0.7717391304347826,0.32608695652173914,1.1358695652173914,745.554347826087,0.0,0.0,0.2608695652173913,0.125,0.1358695652173913,0.0,1.0
15,2046.0091743119267,-0.9111009174311927,2.8256880733944953,1.2339449541284404,0.6834862385321101,1.091743119266055,763.9036697247707,0.0,0.0,0.7201834862385321,0.3165137614678899,0.4036697247706422,0.0,1.0
16,2073.3333333333335,-0.7885034013605442,2.1700680272108843,2.078231292517007,0.9421768707482994,1.0816326530612246,763.8163265306123,0.0,0.0,0.5102040816326531,0.2653061224489796,0.24489795918367346,0.0,1.0
17,2008.9150943396226,-0.8865094339622641,3.858490566037736,1.1886792452830188,0.4481132075471698,0.9716981132075472,739.6603773584906,0.0,0.0,0.17452830188679244,0.1320754716981132,0.04245283018867924,0.0,1.0
18,2036.0,-0.8854857142857143,3.28,0.9885714285714285,0.48,1.1657142857142857,755.8971428571429,0.0,0.0,0.6114285714285714,0.2342857142857143,0.37714285714285717,0.0,1.0
19,2073.982558139535,-0.8625290697674418,2.808139534883721,1.6046511627906976,1.1686046511627908,0.9563953488372093,753.4651162790698,0.0,0.0,0.22093023255813954,0.13372093023255813,0.0872093023255814,0.0,1.0
20,2006.1658031088082,-0.7921761658031088,3.466321243523316,1.4145077720207253,0.40932642487046633,0.8341968911917098,727.9274611398964,0.0,0.0,0.5284974093264249,0.27461139896373055,0.2538860103626943,0.0,1.0
21,2035.8511627906976,-0.766232558139535,3.0093023255813955,1.386046511627907,0.4930232558139535,1.283720930232558,732.6232558139535,0.0,0.0,0.5302325581395348,0.26046511627906976,0.26976744186046514,0.0,0.9953488372093023
22,2067.235142118863,-0.8964341085271318,2.8217054263565893,2.1679586563307494,1.0051679586563307,1.054263565891473,711.8087855297158,0.0,0.0,0.40310077519379844,0.19121447028423771,0.21188630490956073,0.0,1.0
23,2019.9530516431926,-0.8407981220657277,4.046948356807512,1.3051643192488263,0.4272300469483568,0.8967136150234741,701.5117370892019,0.0,0.0,0.5915492957746479,0.3145539906103286,0.27699530516431925,0.0,1.0
24,2035.4545454545455,-0.9735353535353535,3.5,0.9444444444444444,0.6464646464646465,1.3838383838383839,737.1313131313132,0.0,0.0,0.23737373737373738,0.11616161616161616,0.12121212121212122,0.0,1.0
25,2064.368070953437,-0.8619733924611973,3.164079822616408,1.6186252771618626,1.2394678492239468,1.0532150776053215,771.0487804878048,0.0,0.0,0.6341463414634146,0.35698447893569846,0.2771618625277162,0.0,1.0
26,2011.92118226601,-0.8312807881773399,3.226600985221675,1.4975369458128078,0.3399014778325123,0.8620689655172413,744.1133004926108,0.0,0.0,0.5665024630541872,0.22660098522167488,0.3399014778325123,0.0,1.0
27,2034.359649122807,-0.539078947368421,3.6228070175438596,1.7719298245614035,0.5131578947368421,1.355263157894737,768.140350877193,0.0,0.0,0.39035087719298245,0.18859649122807018,0.20175438596491227,0.0,0.9956140350877193
28,2067.169811320755,-0.9040880503144654,3.6729559748427674,1.5440251572327044,0.8710691823899371,1.10062893081761,769.9591194968554,0.0,0.0,0.4371069182389937,0.29559748427672955,0.14150943396226415,0.0,1.0
