generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2077.7168674698796,0.18427710843373496,4.144578313253012,1.4397590361445782,0.12650602409638553,1.5602409638554218,590.6084337349398,0.0,0.0,0.0963855421686747,0.060240963855421686,0.03614457831325301,0.0,0.9879518072289156
2,1984.6268656716418,-1.0014179104477612,4.149253731343284,0.6268656716417911,0.08955223880597014,1.3507462686567164,567.1119402985074,0.0,0.0,0.07462686567164178,0.014925373134328358,0.05970149253731343,0.0,1.0
3,2020.6976744186047,-1.0457364341085271,2.5891472868217056,0.8294573643410853,0.17829457364341086,1.627906976744186,582.2248062015503,0.0,0.0,0.27906976744186046,0.15503875968992248,0.12403100775193798,0.0,1.0
4,2081.957671957672,-1.0643386243386244,4.137566137566138,1.4444444444444444,0.3492063492063492,1.5026455026455026,618.031746031746,0.0,0.0,0.31746031746031744,0.1746031746031746,0.14285714285714285,0.0,1.0
5,1975.873015873016,-1.0193650793650793,4.158730158730159,0.40476190476190477,0.10317460317460317,1.2380952380952381,575.063492063492,0.0,0.0,0.18253968253968253,0.1349206349206349,0.047619047619047616,0.0,1.0
6,2031.3698630136987,-1.093150684931507,2.3493150684931505,1.417808219178082,0.3219178082191781,1.3013698630136987,639.9931506849315,0.0,0.0,0.3082191780821918,0.18493150684931506,0.1232876712328767,0.0,1.0
7,2075.868525896414,-0.6388047808764941,3.258964143426295,1.6294820717131475,0.8565737051792829,1.0597609561752988,700.6772908366534,0.0,0.0,0.2868525896414343,0.14741035856573706,0.1394422310756972,0.0,0.9960159362549801
8,2014.1264367816093,-0.78,3.82183908045977,1.5114942528735633,0.3103448275862069,1.0229885057471264,673.0632183908046,0.0,0.0,0.41954022988505746,0.19540229885057472,0.22413793103448276,0.0,0.9942528735632183
9,2026.9871794871794,-0.9201923076923078,2.4294871794871793,1.2179487179487178,0.5512820512820513,1.25,692.4102564102565,0.0,0.0,0.3269230769230769,0.1282051282051282,0.1987179487179487,0.0,1.0
10,2080.3896103896104,-0.9125108225108225,2.722943722943723,1.8744588744588744,0.6017316017316018,1.173160173160173,723.2467532467532,0.0,0.0,0.8181818181818182,0.46320346320346323,0.354978354978355,0.0,1.0
11,2007.7011494252874,-0.5579310344827586,3.4080459770114944,1.0517241379310345,0.29310344827586204,0.8160919540229885,701.1264367816092,0.0,0.0,0.7586206896551724,0.3390804597701149,0.41954022988505746,0.0,0.9942528735632183
12,2036.8200836820083,-0.8671548117154811,2.899581589958159,1.7489539748953975,0.6150627615062761,0.9414225941422594,715.2594142259414,0.0,0.0,0.34309623430962344,0.200836820083682,0.14225941422594143,0.0,1.0
13,2071.0404624277458,-0.8617052023121387,2.8034682080924855,2.592485549132948,0.8872832369942196,0.8236994219653179,731.0549132947976,0.0,0.0,0.4913294797687861,0.2543352601156069,0.23699421965317918,0.0,1.0
14,2001.207729468599,-0.8432367149758455,3.4782608695652173,1.4734299516908214,0.5458937198067633,0.7004830917874396,721.2946859903382,0.0,0.0,0.1642512077294686,0.07729468599033816,0.08695652173913043,0.0,1.0
15,2027.9234693877552,0.21724489795918364,3.4744897959183674,1.3622448979591837,0.40816326530612246,1.0612244897959184,713.204081632653,0.0,0.0,0.22959183673469388,0.1377551020408163,0.09183673469387756,0.0,0.9795918367346939
16,2068.4691358024693,-0.8384938271604938,2.091358024691358,1.9925925925925927,1.2,0.7185185185185186,743.7506172839506,0.0,0.0,0.5481481481481482,0.2345679012345679,0.3135802469135803,0.0,1.0
17,2011.5315315315315,-0.7647747747747747,2.9774774774774775,1.3963963963963963,0.7027027027027027,0.7747747747747747,708.7207207207207,0.0,0.0,0.13063063063063063,0.07207207207207207,0.05855855855855856,0.0,1.0
18,2035.7291666666667,-0.8649999999999999,3.34375,1.5729166666666667,0.34375,1.0,726.7708333333334,0.0,0.0,0.5833333333333334,0.3125,0.2708333333333333,0.0,1.0
19,2081.875,-0.7941447368421052,2.8848684210526314,2.2203947368421053,0.8256578947368421,1.013157894736842,754.1381578947369,0.0,0.0,0.6875,0.3618421052631579,0.3256578947368421,0.0,1.0
20,2006.2068965517242,-0.8289080459770114,3.5,1.4137931034482758,0.28735632183908044,0.7298850574712644,725.9310344827586,0.0,0.0,0.764367816091954,0.3793103448275862,0.3850574712643678,0.0,1.0
21,2030.9893048128342,-0.9685561497326204,3.3850267379679146,1.1550802139037433,0.3850267379679144,1.2727272727272727,717.1978609625669,0.0,0.0,0.37433155080213903,0.1497326203208556,0.22459893048128343,0.0,0.9946524064171123
22,2066.6575342465753,-0.8768493150684932,3.0794520547945203,2.276712328767123,0.8438356164383561,0.8082191780821918,753.1917808219179,0.0,0.0,0.4821917808219178,0.27123287671232876,0.21095890410958903,0.0,1.0
23,2023.7444933920706,-0.7920704845814979,3.299559471365639,1.9559471365638768,0.3656387665198238,0.748898678414097,743.8986784140969,0.0,0.0,0.8105726872246696,0.40969162995594716,0.4008810572687225,0.0,1.0
24,2035.288,0.19863999999999998,2.68,1.372,0.952,1.064,753.672,0.0,0.0,0.88,0.396,0.484,0.0,0.984
