generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2097.1111111111113,-1.1484444444444444,4.185185185185185,0.9629629629629629,0.007407407407407408,1.8222222222222222,546.7259259259259,0.0,0.0,0.16296296296296298,0.044444444444444446,0.11851851851851852,0.0,1.0
2,1977.7391304347825,-1.052,3.226086956521739,0.17391304347826086,0.02608695652173913,1.3217391304347825,531.3391304347826,0.0,0.0,0.19130434782608696,0.043478260869565216,0.14782608695652175,0.0,1.0
3,2015.929203539823,-1.0400884955752212,2.6814159292035398,0.2920353982300885,0.0,1.7433628318584071,527.6194690265487,0.0,0.0,0.07964601769911504,0.017699115044247787,0.061946902654867256,0.0,1.0
4,2085.9281437125746,-1.0763473053892216,3.8263473053892216,1.029940119760479,0.25149700598802394,1.6467065868263473,592.3712574850299,0.0,0.0,0.041916167664670656,0.029940119760479042,0.011976047904191617,0.0,1.0
5,1983.1159420289855,-1.0013768115942028,2.681159420289855,0.644927536231884,0.21739130434782608,1.3115942028985508,591.427536231884,0.0,0.0,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.0,1.0
6,2031.0240963855422,-1.0081927710843372,3.13855421686747,1.0301204819277108,0.35542168674698793,1.2891566265060241,617.6325301204819,0.0,0.0,0.46987951807228917,0.27710843373493976,0.1927710843373494,0.0,1.0
7,2081.7934782608695,-0.9651630434782609,3.527173913043478,1.815217391304348,0.33152173913043476,1.5815217391304348,646.8097826086956,0.0,0.0,0.25,0.15760869565217392,0.09239130434782608,0.0,1.0
8,1987.4305555555557,-0.9327777777777777,3.6805555555555554,0.6944444444444444,0.24305555555555555,1.1666666666666667,622.7291666666666,0.0,0.0,0.2222222222222222,0.1736111111111111,0.04861111111111111,0.0,1.0
9,2033.4418604651162,-0.9151627906976744,2.2,1.2976744186046512,0.7023255813953488,1.2744186046511627,680.2,0.0,0.0,0.4697674418604651,0.19069767441860466,0.27906976744186046,0.0,1.0
10,2072.060810810811,-0.899358108108108,2.77027027027027,2.10472972972973,0.8952702702702703,0.9425675675675675,704.4155405405405,0.0,0.0,0.4594594594594595,0.28040540540540543,0.17905405405405406,0.0,1.0
11,2002.4375,-0.8039999999999999,2.9125,1.13125,0.23125,0.85,684.09375,0.0,0.0,0.8,0.43125,0.36875,0.0,1.0
12,2041.5343915343915,-0.8942328042328042,2.253968253968254,1.1534391534391535,0.7777777777777778,1.052910052910053,709.1164021164021,0.0,0.0,0.4603174603174603,0.14814814814814814,0.31216931216931215,0.0,1.0
13,2072.8467153284673,-0.8334306569343065,2.124087591240876,2.1715328467153285,0.9124087591240876,0.9635036496350365,720.7153284671533,0.0,0.0,0.1678832116788321,0.08759124087591241,0.08029197080291971,0.0,1.0
14,2004.4642857142858,-0.8560714285714285,3.1666666666666665,1.2261904761904763,0.31547619047619047,0.7023809523809523,705.3392857142857,0.0,0.0,0.6071428571428571,0.23214285714285715,0.375,0.0,1.0
15,2030.2547770700637,-0.8540764331210191,1.9426751592356688,1.0063694267515924,0.6242038216560509,0.8980891719745223,709.140127388535,0.0,0.0,0.21019108280254778,0.12738853503184713,0.08280254777070063,0.0,1.0
16,2073.6423841059604,-0.7209602649006622,2.781456953642384,1.5231788079470199,1.1258278145695364,0.7516556291390728,769.2516556291391,0.0,0.0,0.4271523178807947,0.2119205298013245,0.2152317880794702,0.0,1.0
17,2001.988950276243,-0.7864088397790056,2.8121546961325965,1.591160220994475,0.23756906077348067,0.6408839779005525,719.0828729281768,0.0,0.0,0.5138121546961326,0.24861878453038674,0.26519337016574585,0.0,1.0
18,2035.8988764044943,-0.9515168539325843,2.865168539325843,0.9943820224719101,0.6629213483146067,0.9157303370786517,739.3089887640449,0.0,0.0,0.24719101123595505,0.14606741573033707,0.10112359550561797,0.0,1.0
19,2070.224683544304,-0.42566455696202526,2.392405063291139,1.759493670886076,1.1170886075949367,0.7879746835443038,728.9272151898734,0.0,0.0,0.2088607594936709,0.12658227848101267,0.08227848101265822,0.0,0.9936708860759493
