generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2077.8538011695905,-0.5730994152046783,4.105263157894737,1.023391812865497,0.1871345029239766,1.7543859649122806,579.1578947368421,0.0,0.0,0.08771929824561403,0.08187134502923976,0.005847953216374269,0.0,0.9941520467836257
2,1989.0225563909773,-1.0590977443609022,3.7518796992481205,0.518796992481203,0.08270676691729323,1.2330827067669172,585.1052631578947,0.0,0.0,0.21804511278195488,0.06015037593984962,0.15789473684210525,0.0,1.0
3,2019.5652173913043,-1.0162608695652173,2.7217391304347824,0.33043478260869563,0.14782608695652175,1.4173913043478261,574.0434782608696,0.0,0.0,0.21739130434782608,0.06086956521739131,0.1565217391304348,0.0,1.0
4,2072.4651162790697,-0.9549302325581396,3.0697674418604652,2.0,0.4325581395348837,1.2511627906976743,652.7116279069768,0.0,0.0,0.12093023255813953,0.06046511627906977,0.06046511627906977,0.0,1.0
5,1991.6296296296296,-0.9829629629629629,2.6074074074074076,1.1037037037037036,0.25925925925925924,0.9629629629629629,637.4444444444445,0.0,0.0,0.05185185185185185,0.007407407407407408,0.044444444444444446,0.0,1.0
6,2039.4285714285713,-0.9381428571428571,2.876190476190476,1.7809523809523808,0.5714285714285714,0.9476190476190476,707.6904761904761,0.0,0.0,0.638095238095238,0.2714285714285714,0.36666666666666664,0.0,1.0
7,2073.65873015873,-0.6585714285714286,2.988095238095238,2.1785714285714284,0.5396825396825397,1.007936507936508,723.5674603174604,0.0,0.0,0.3134920634920635,0.1626984126984127,0.15079365079365079,0.0,0.9920634920634921
8,2016.0326086956522,-0.8490760869565217,3.239130434782609,1.0923913043478262,0.5978260869565217,0.9619565217391305,722.6358695652174,0.0,0.0,0.6521739130434783,0.41304347826086957,0.2391304347826087,0.0,1.0
9,2031.917098445596,-0.9817098445595854,2.1917098445595853,1.6994818652849741,0.6683937823834197,1.0518134715025906,727.8031088082902,0.0,0.0,0.18652849740932642,0.06735751295336788,0.11917098445595854,0.0,1.0
10,2065.6077348066297,-0.8943093922651933,3.016574585635359,2.386740331491713,0.9696132596685083,0.9005524861878453,737.3232044198895,0.0,0.0,0.32044198895027626,0.1850828729281768,0.13535911602209943,0.0,1.0
