generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2094.025974025974,-1.1124675324675324,4.688311688311688,0.8311688311688312,0.15584415584415584,1.7402597402597402,565.3311688311688,0.0,0.0,0.006493506493506494,0.0,0.006493506493506494,0.0,1.0
2,1988.2608695652175,-0.8806521739130435,4.478260869565218,0.4855072463768116,0.036231884057971016,1.065217391304348,547.5652173913044,0.0,0.0,0.45652173913043476,0.2608695652173913,0.1956521739130435,0.0,1.0
3,2025.8646616541353,-1.0532330827067669,3.7293233082706765,0.5338345864661654,0.13533834586466165,1.443609022556391,580.2330827067669,0.0,0.0,0.18796992481203006,0.09022556390977443,0.09774436090225563,0.0,1.0
4,2087.1784037558687,-0.7253521126760564,4.220657276995305,1.8544600938967135,0.27699530516431925,1.408450704225352,656.7699530516431,0.0,0.0,0.26291079812206575,0.107981220657277,0.15492957746478872,0.0,0.9953051643192489
5,1991.0986842105262,-0.8702631578947368,3.5921052631578947,0.8421052631578947,0.15789473684210525,1.131578947368421,623.4078947368421,0.0,0.0,0.32894736842105265,0.09210526315789473,0.23684210526315788,0.0,0.993421052631579
6,2021.4179104477612,-1.0588805970149253,2.6641791044776117,1.208955223880597,0.23134328358208955,1.2014925373134329,643.3507462686567,0.0,0.0,0.2537313432835821,0.1044776119402985,0.14925373134328357,0.0,1.0
7,2067.2623574144486,1.9179087452471484,3.935361216730038,1.467680608365019,0.8897338403041825,1.1064638783269962,700.3384030418251,0.0,0.0,0.7566539923954373,0.376425855513308,0.38022813688212925,0.0,0.9809885931558935
8,1993.4567901234568,-0.8434567901234568,3.3580246913580245,1.0185185185185186,0.36419753086419754,0.8395061728395061,671.1172839506173,0.0,0.0,0.16666666666666666,0.12962962962962962,0.037037037037037035,0.0,1.0
9,2016.655737704918,1.3163387978142076,2.939890710382514,1.0273224043715847,0.7650273224043715,1.0327868852459017,705.551912568306,0.0,0.0,0.3989071038251366,0.20765027322404372,0.1912568306010929,0.0,0.9726775956284153
10,2076.652719665272,-0.9113807531380753,4.01255230125523,1.698744769874477,0.6778242677824268,1.1213389121338913,738.2301255230126,0.0,0.0,0.41422594142259417,0.2301255230125523,0.18410041841004185,0.0,1.0
11,2001.123595505618,-0.8884269662921348,3.5786516853932584,1.0842696629213484,0.3651685393258427,0.7640449438202247,702.9550561797753,0.0,0.0,0.25280898876404495,0.12921348314606743,0.12359550561797752,0.0,1.0
12,2029.7222222222222,-0.9268333333333334,3.3944444444444444,0.7111111111111111,0.7,0.9277777777777778,709.1055555555556,0.0,0.0,0.7777777777777778,0.45,0.3277777777777778,0.0,1.0
13,2068.6378737541527,-0.727641196013289,2.611295681063123,1.8837209302325582,1.0996677740863787,0.6578073089700996,745.8405315614618,0.0,0.0,0.44518272425249167,0.19269102990033224,0.25249169435215946,0.0,1.0
14,2000.2439024390244,-0.9026219512195122,3.0,1.146341463414634,0.3475609756097561,0.5914634146341463,709.4146341463414,0.0,0.0,0.3048780487804878,0.15853658536585366,0.14634146341463414,0.0,1.0
15,2030.391061452514,-0.8541340782122905,2.82122905027933,1.5083798882681565,0.36312849162011174,0.8994413407821229,747.2290502793296,0.0,0.0,0.5698324022346368,0.30726256983240224,0.26256983240223464,0.0,1.0
16,2069.9494047619046,-0.6942857142857143,2.6666666666666665,2.1160714285714284,1.005952380952381,0.8095238095238095,736.577380952381,0.0,0.0,0.5119047619047619,0.2976190476190476,0.21428571428571427,0.0,0.9970238095238095
17,2018.3673469387754,-0.8373979591836734,4.25,0.8724489795918368,0.5102040816326531,0.6989795918367347,739.6938775510204,0.0,0.0,0.3877551020408163,0.1377551020408163,0.25,0.0,1.0
18,2028.4890829694323,-0.20794759825327508,2.8820960698689957,1.537117903930131,0.5720524017467249,1.039301310043668,759.2270742358079,0.0,0.0,0.32751091703056767,0.1091703056768559,0.2183406113537118,0.0,0.9912663755458515
19,2069.1666666666665,-0.7874275362318841,3.036231884057971,1.8079710144927537,0.8659420289855072,0.967391304347826,769.6521739130435,0.0,0.0,0.18115942028985507,0.08333333333333333,0.09782608695652174,0.0,1.0
20,2022.0264317180618,-0.7286784140969162,4.070484581497797,1.3127753303964758,0.4977973568281938,0.7004405286343612,744.5418502202643,0.0,0.0,0.5550660792951542,0.2599118942731278,0.29515418502202645,0.0,1.0
21,2032.5352112676057,-0.07417840375586855,3.708920187793427,1.4553990610328638,0.5821596244131455,1.0328638497652582,769.0,0.0,0.0,0.6197183098591549,0.36619718309859156,0.2535211267605634,0.0,0.9906103286384976
22,2070.3975535168197,-0.8242507645259938,3.1192660550458715,1.308868501529052,1.2262996941896025,0.7553516819571865,778.5626911314985,0.0,0.0,0.5107033639143731,0.24464831804281345,0.26605504587155965,0.0,1.0
23,2017.962962962963,-0.7324074074074074,3.7916666666666665,1.4722222222222223,0.4444444444444444,0.6018518518518519,754.6203703703703,0.0,0.0,0.5092592592592593,0.3055555555555556,0.2037037037037037,0.0,1.0
24,2033.8666666666666,-0.6527692307692308,3.2512820512820513,1.2974358974358975,0.4512820512820513,0.8769230769230769,747.6615384615385,0.0,0.0,0.26666666666666666,0.1076923076923077,0.15897435897435896,0.0,0.9948717948717949
25,2068.970588235294,-0.8746524064171123,2.6844919786096257,1.8155080213903743,1.1631016042780749,0.7700534759358288,790.8636363636364,0.0,0.0,0.7245989304812834,0.35561497326203206,0.3689839572192513,0.0,0.9973262032085561
26,2023.307392996109,-0.7923346303501946,3.544747081712062,1.6264591439688716,0.5680933852140078,0.7276264591439688,765.1945525291828,0.0,0.0,0.48638132295719844,0.19455252918287938,0.2918287937743191,0.0,1.0
27,2036.8514492753623,-0.028550724637681157,4.170289855072464,1.8442028985507246,0.8188405797101449,0.9492753623188406,795.3478260869565,0.0,0.0,0.644927536231884,0.3442028985507246,0.3007246376811594,0.0,0.9891304347826086
28,2068.4742014742014,-0.614938574938575,2.8968058968058967,2.2014742014742015,1.0024570024570025,0.7911547911547911,764.1744471744472,0.0,0.0,0.4152334152334152,0.16707616707616707,0.24815724815724816,0.0,0.9975429975429976
29,2026.1153846153845,-0.7967692307692308,3.480769230769231,1.623076923076923,0.7230769230769231,0.9,780.5653846153846,0.0,0.0,0.5076923076923077,0.2230769230769231,0.2846153846153846,0.0,0.9961538461538462
30,2040.455516014235,-0.6435231316725978,4.067615658362989,1.6298932384341638,0.697508896797153,0.9501779359430605,770.6120996441281,0.0,0.0,0.6583629893238434,0.2918149466192171,0.3665480427046263,0.0,0.99644128113879
31,2062.3057644110277,-0.7716541353383458,2.81203007518797,2.1052631578947367,1.012531328320802,0.7794486215538847,780.265664160401,0.0,0.0,0.6441102756892231,0.3057644110275689,0.3383458646616541,0.0,1.0
32,2030.5405405405406,-0.7386872586872587,4.142857142857143,1.335907335907336,0.6525096525096525,0.8416988416988417,762.4787644787644,0.0,0.0,0.861003861003861,0.40540540540540543,0.4555984555984556,0.0,1.0
33,2042.340425531915,-0.8553191489361702,3.4893617021276597,1.7361702127659575,0.49361702127659574,0.851063829787234,767.3659574468085,0.0,0.0,0.5446808510638298,0.2127659574468085,0.33191489361702126,0.0,1.0
34,2065.778364116095,-0.7977572559366756,2.812664907651715,2.237467018469657,0.9445910290237467,0.9630606860158312,757.5118733509235,0.0,0.0,0.49868073878627966,0.20844327176781002,0.29023746701846964,0.0,1.0
35,2025.2207207207207,-0.6982882882882884,3.7387387387387387,1.6036036036036037,0.5585585585585585,0.8918918918918919,757.8963963963964,0.0,0.0,1.1216216216216217,0.5405405405405406,0.581081081081081,0.0,0.9954954954954955
36,2048.2072368421054,0.04559210526315791,3.3026315789473686,1.8421052631578947,0.7960526315789473,0.9407894736842105,803.6480263157895,0.0,0.0,0.9473684210526315,0.3125,0.6348684210526315,0.0,0.9901315789473685
37,2065.4626556016597,-0.4490248962655602,3.354771784232365,2.1307053941908713,1.2987551867219918,0.8443983402489627,778.3547717842324,0.0,0.0,0.6659751037344398,0.3775933609958506,0.2883817427385892,0.0,0.9896265560165975
38,2036.8734567901236,-0.6815432098765432,3.5771604938271606,1.7407407407407407,0.8858024691358025,0.8271604938271605,798.1820987654321,0.0,0.0,1.2685185185185186,0.5771604938271605,0.691358024691358,0.0,0.9938271604938271
39,2039.3488372093022,-0.8775813953488373,3.855813953488372,1.2651162790697674,0.7023255813953488,0.8465116279069768,798.1767441860466,0.0,0.0,0.5767441860465117,0.26976744186046514,0.30697674418604654,0.0,1.0
40,2053.8429752066118,-0.012925619834710732,2.353719008264463,1.6925619834710743,1.56198347107438,0.6909090909090909,823.6446280991736,0.0,0.0,0.32892561983471075,0.19008264462809918,0.13884297520661157,0.0,0.9933884297520661
41,2032.8296703296703,-0.7489285714285715,3.3131868131868134,1.5412087912087913,0.9807692307692307,0.6565934065934066,834.4972527472528,0.0,0.0,0.8296703296703297,0.3626373626373626,0.46703296703296704,0.0,1.0
42,2006.9335443037974,4.690981012658227,3.509493670886076,1.610759493670886,0.8860759493670886,0.9018987341772152,829.7753164556962,0.0,0.0,0.9113924050632911,0.47468354430379744,0.43670886075949367,0.0,0.9430379746835443
43,2054.1094420600857,0.8606652360515021,2.6824034334763946,1.8068669527896997,1.354077253218884,0.6587982832618026,805.4184549356223,0.0,0.0,0.721030042918455,0.3648068669527897,0.3562231759656652,0.0,0.98068669527897
44,2022.7985074626865,-0.7114179104477611,2.7761194029850746,1.3320895522388059,1.0186567164179106,0.5,776.9813432835821,0.0,0.0,0.47761194029850745,0.20522388059701493,0.27238805970149255,0.0,1.0
45,2040.153125,-0.70828125,2.734375,1.684375,0.90625,0.890625,787.796875,0.0,0.0,1.08125,0.525,0.55625,0.0,0.996875
46,2059.5117924528304,-0.37846698113207544,2.464622641509434,2.0495283018867925,1.2830188679245282,0.714622641509434,758.0094339622641,0.0,0.0,0.4882075471698113,0.2617924528301887,0.22641509433962265,0.0,0.9952830188679245
47,2031.191135734072,-0.718448753462604,3.5069252077562325,1.2770083102493075,1.2465373961218837,0.7313019390581718,764.0415512465374,0.0,0.0,0.4903047091412742,0.24376731301939059,0.24653739612188366,0.0,1.0
48,2036.8416149068323,0.028167701863354048,3.437888198757764,1.5714285714285714,0.8757763975155279,0.7981366459627329,766.4503105590062,0.0,0.0,0.39751552795031053,0.2360248447204969,0.16149068322981366,0.0,0.984472049689441
49,2055.112244897959,0.593452380952381,2.489795918367347,1.5442176870748299,1.6819727891156462,0.6717687074829932,788.6054421768707,0.0,0.0,0.5102040816326531,0.33163265306122447,0.17857142857142858,0.0,0.9880952380952381
50,2026.1964285714287,0.39209183673469383,3.568877551020408,1.594387755102041,1.058673469387755,0.8163265306122449,774.5025510204082,0.0,0.0,0.3163265306122449,0.16071428571428573,0.1556122448979592,0.0,0.9897959183673469
51,2014.7772277227723,3.1547029702970297,3.118811881188119,1.811881188118812,0.9356435643564357,0.8663366336633663,801.8564356435644,0.0,0.0,0.6262376237623762,0.31435643564356436,0.3118811881188119,0.0,0.9579207920792079
52,2060.56496350365,-0.6551240875912409,2.927007299270073,1.6131386861313868,1.6248175182481752,0.691970802919708,832.7766423357664,0.0,0.0,0.6583941605839416,0.327007299270073,0.33138686131386863,0.0,0.9956204379562044
53,2030.2644628099174,0.19487603305785126,3.760330578512397,1.7630853994490359,0.8457300275482094,0.6170798898071626,768.8677685950413,0.0,0.0,1.0082644628099173,0.46831955922865015,0.5399449035812672,0.0,0.9917355371900827
54,2032.0945558739254,0.9314899713467047,3.037249283667622,1.6418338108882522,0.994269340974212,0.8853868194842407,793.9598853868195,0.0,0.0,1.1174785100286533,0.6246418338108882,0.49283667621776506,0.0,0.9799426934097422
55,2064.6363636363635,-0.6601200686106347,2.3756432246998287,1.881646655231561,1.5986277873070327,0.6260720411663808,830.9777015437393,0.0,0.0,0.5849056603773585,0.2830188679245283,0.3018867924528302,0.0,0.9982847341337907
56,2031.6223958333333,0.7755729166666666,3.4947916666666665,1.7109375,0.8984375,0.734375,780.6354166666666,0.0,0.0,1.5885416666666667,0.8151041666666666,0.7734375,0.0,0.984375
57,2051.266666666667,-0.6995777777777777,3.1644444444444444,1.9022222222222223,1.2955555555555556,0.7088888888888889,815.9577777777778,0.0,0.0,1.228888888888889,0.5911111111111111,0.6377777777777778,0.0,1.0
58,2062.554332874828,-0.6943603851444292,2.192572214580468,1.7414030261348006,1.749656121045392,0.5777166437414031,836.1898211829437,0.0,0.0,0.8693259972489684,0.42916093535075656,0.4401650618982118,0.0,0.9986244841815681
59,2032.7728395061729,0.02920987654320989,4.044444444444444,1.5234567901234568,1.1209876543209876,0.945679012345679,780.2641975308642,0.0,0.0,0.43950617283950616,0.20246913580246914,0.23703703703703705,0.0,0.9925925925925926
60,2040.8531353135313,1.2165676567656767,3.427392739273927,1.7112211221122111,1.3646864686468647,0.7821782178217822,853.1650165016501,0.0,0.0,0.7854785478547854,0.36633663366336633,0.41914191419141916,0.0,0.9636963696369637
61,2060.650473933649,0.6019786729857819,2.3661137440758293,1.7819905213270142,1.7938388625592416,0.659952606635071,857.6658767772511,0.0,0.0,1.4609004739336493,0.7109004739336493,0.75,0.0,0.9834123222748815
62,2037.0285714285715,0.9806666666666667,3.820952380952381,1.2819047619047619,1.36,0.7333333333333333,812.2057142857143,0.0,0.0,1.0019047619047619,0.45714285714285713,0.5447619047619048,0.0,0.979047619047619
63,2033.7390396659707,1.5465762004175365,3.5177453027139873,1.9958246346555324,1.1127348643006263,0.8997912317327766,785.7286012526096,0.0,0.0,0.6889352818371608,0.31106471816283926,0.3778705636743215,0.0,0.9686847599164927
64,2073.6735187424424,-0.6772309552599759,2.489721886336155,2.112454655380895,1.720677146311971,0.656590084643289,825.0507859733979,0.0,0.0,1.0931076178960097,0.558645707376058,0.5344619105199516,0.0,0.9987908101571947
65,2047.3698224852071,0.3192011834319527,3.1420118343195265,1.8476331360946745,1.4038461538461537,0.7071005917159763,824.8831360946746,0.0,0.0,1.9245562130177514,0.9186390532544378,1.0059171597633136,0.0,0.9881656804733728
66,2046.6937869822484,0.6875,3.059171597633136,2.022189349112426,1.3402366863905326,0.7026627218934911,829.5044378698225,0.0,0.0,0.9319526627218935,0.46153846153846156,0.47041420118343197,0.0,0.977810650887574
67,2059.9990356798457,0.2687270973963356,2.7078109932497587,1.8032786885245902,1.9546769527483125,0.5467695274831244,863.7820636451302,0.0,0.0,1.2989392478302797,0.6972034715525555,0.6017357762777242,0.0,0.9893924783027965
