generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2092.0805369127515,-1.0550335570469798,4.684563758389261,0.7986577181208053,0.04697986577181208,1.8791946308724832,584.3758389261745,0.0,0.0,0.2550335570469799,0.1610738255033557,0.09395973154362416,0.0,1.0
2,1986.260162601626,-0.9958536585365854,3.983739837398374,0.42276422764227645,0.04878048780487805,1.2276422764227641,559.4146341463414,0.0,0.0,0.21951219512195122,0.0975609756097561,0.12195121951219512,0.0,1.0
3,2022.6797385620914,-1.1071895424836602,2.6470588235294117,0.9934640522875817,0.20915032679738563,1.3725490196078431,621.5098039215686,0.0,0.0,0.3006535947712418,0.12418300653594772,0.17647058823529413,0.0,1.0
4,2072.8629032258063,-0.9326612903225807,3.907258064516129,1.814516129032258,0.6935483870967742,1.2903225806451613,670.7459677419355,0.0,0.0,0.36693548387096775,0.2217741935483871,0.14516129032258066,0.0,1.0
5,1990.2721088435374,-0.9465986394557824,3.6122448979591835,0.9319727891156463,0.14965986394557823,0.9183673469387755,645.156462585034,0.0,0.0,0.20408163265306123,0.10204081632653061,0.10204081632653061,0.0,1.0
6,2027.4581005586592,-0.5298882681564246,3.184357541899441,1.3966480446927374,0.3463687150837989,1.2011173184357542,688.7374301675977,0.0,0.0,0.4692737430167598,0.16201117318435754,0.30726256983240224,0.0,0.994413407821229
7,2075.912213740458,-0.7374809160305343,3.8473282442748094,1.7900763358778626,0.6603053435114504,1.0610687022900764,715.6335877862596,0.0,0.0,0.4122137404580153,0.15648854961832062,0.25572519083969464,0.0,0.9923664122137404
8,2004.319526627219,-0.8110650887573964,3.5207100591715976,1.1183431952662721,0.34911242603550297,0.8461538461538461,681.0,0.0,0.0,0.650887573964497,0.3609467455621302,0.28994082840236685,0.0,1.0
9,2035.6930693069307,-0.8882673267326733,2.202970297029703,1.6584158415841583,0.599009900990099,1.0247524752475248,694.4306930693069,0.0,0.0,0.3564356435643564,0.18811881188118812,0.16831683168316833,0.0,1.0
10,2071.0576923076924,-0.7781730769230769,2.746794871794872,1.9262820512820513,0.9615384615384616,0.8685897435897436,737.5576923076923,0.0,0.0,0.7147435897435898,0.3685897435897436,0.34615384615384615,0.0,1.0
11,2006.5030674846626,-0.8636196319018405,3.8773006134969323,0.7239263803680982,0.3558282208588957,0.754601226993865,708.4049079754601,0.0,0.0,0.6809815950920245,0.39263803680981596,0.2883435582822086,0.0,1.0
12,2033.2307692307693,-0.8979999999999999,3.7846153846153845,1.2102564102564102,0.4512820512820513,0.9692307692307692,716.9025641025642,0.0,0.0,0.29743589743589743,0.17435897435897435,0.12307692307692308,0.0,1.0
13,2073.9176029962546,-0.7085393258426966,3.4232209737827715,1.6853932584269662,0.7902621722846442,1.0561797752808988,734.5393258426966,0.0,0.0,1.0224719101123596,0.5430711610486891,0.4794007490636704,0.0,0.9962546816479401
14,2012.5925925925926,-0.8028571428571429,3.5343915343915344,1.3544973544973544,0.3915343915343915,0.6666666666666666,726.8941798941798,0.0,0.0,0.48148148148148145,0.21693121693121692,0.26455026455026454,0.0,1.0
15,2037.0618556701031,-0.8925773195876289,2.8969072164948453,1.097938144329897,0.5412371134020618,0.9484536082474226,753.2938144329897,0.0,0.0,0.8350515463917526,0.36597938144329895,0.4690721649484536,0.0,1.0
16,2068.057742782152,-0.788241469816273,3.0288713910761156,2.1968503937007875,1.031496062992126,0.7034120734908137,764.997375328084,0.0,0.0,0.35170603674540685,0.1942257217847769,0.15748031496062992,0.0,1.0
17,2025.468253968254,-0.5830952380952381,3.9523809523809526,1.6706349206349207,0.5317460317460317,0.8174603174603174,757.3214285714286,0.0,0.0,0.5158730158730159,0.23412698412698413,0.28174603174603174,0.0,0.996031746031746
18,2039.0384615384614,-0.8973076923076923,3.1009615384615383,1.4326923076923077,0.6009615384615384,0.8942307692307693,738.8413461538462,0.0,0.0,0.7740384615384616,0.3173076923076923,0.4567307692307692,0.0,1.0
19,2065.0585480093678,-0.846814988290398,2.840749414519906,2.3138173302107727,1.0725995316159251,0.9156908665105387,766.0515222482436,0.0,0.0,0.41920374707259955,0.21779859484777517,0.20140515222482436,0.0,1.0
20,2033.6929460580914,-0.8307053941908713,4.145228215767635,1.3734439834024896,0.5892116182572614,0.9543568464730291,757.3817427385892,0.0,0.0,1.4273858921161826,0.6804979253112033,0.7468879668049793,0.0,1.0
21,2041.097046413502,-0.8632489451476794,3.8818565400843883,1.248945147679325,0.5358649789029536,1.0168776371308017,758.3080168776371,0.0,0.0,0.6877637130801688,0.27848101265822783,0.4092827004219409,0.0,1.0
22,2058.468253968254,1.2083862433862433,3.9735449735449735,2.0396825396825395,1.0158730158730158,0.9973544973544973,768.063492063492,0.0,0.0,0.41534391534391535,0.2275132275132275,0.18783068783068782,0.0,0.9867724867724867
23,2011.5846994535518,-0.8692896174863388,4.612021857923497,1.098360655737705,0.32786885245901637,1.0491803278688525,753.0437158469946,0.0,0.0,0.7704918032786885,0.28415300546448086,0.48633879781420764,0.0,1.0
24,2039.876712328767,-0.45842465753424655,3.6506849315068495,1.7671232876712328,0.7294520547945206,1.0753424657534247,770.945205479452,0.0,0.0,0.613013698630137,0.3561643835616438,0.2568493150684932,0.0,0.9965753424657534
25,2066.945812807882,-0.8469211822660099,4.320197044334975,2.167487684729064,0.812807881773399,1.022167487684729,767.5221674876848,0.0,0.0,0.5985221674876847,0.3620689655172414,0.23645320197044334,0.0,1.0
26,2019.6610169491526,-0.8221610169491526,5.02542372881356,1.326271186440678,0.2838983050847458,0.8347457627118644,768.5,0.0,0.0,0.3305084745762712,0.08898305084745763,0.24152542372881355,0.0,1.0
27,2037.269592476489,-0.23476489028213163,3.890282131661442,1.5924764890282133,0.7147335423197492,1.1316614420062696,794.1818181818181,0.0,0.0,0.4169278996865204,0.1724137931034483,0.2445141065830721,0.0,0.987460815047022
28,2066.851063829787,-0.8342978723404255,3.695744680851064,2.1340425531914895,1.0404255319148936,0.9319148936170213,809.1531914893617,0.0,0.0,0.4723404255319149,0.2978723404255319,0.17446808510638298,0.0,1.0
29,2027.9622166246852,0.3475566750629723,3.8740554156171285,1.584382871536524,0.8790931989924433,1.0025188916876575,807.9496221662469,0.0,0.0,0.6523929471032746,0.3526448362720403,0.29974811083123426,0.0,0.9874055415617129
30,2042.8526645768025,0.33210031347962393,3.4545454545454546,1.6990595611285266,0.8369905956112853,1.2351097178683386,788.9028213166144,0.0,0.0,1.084639498432602,0.5266457680250783,0.5579937304075235,0.0,0.9905956112852664
31,2069.3846153846152,-0.798923076923077,3.9269230769230767,2.151923076923077,1.0153846153846153,0.8769230769230769,816.1346153846154,0.0,0.0,1.0096153846153846,0.5,0.5096153846153846,0.0,1.0
