generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2084.3435582822085,-0.9369938650306748,4.460122699386503,0.9325153374233128,0.1165644171779141,1.6993865030674846,569.9447852760736,0.0,0.0,0.09202453987730061,0.09202453987730061,0.0,0.0,0.9938650306748467
2,1976.3247863247864,-1.024871794871795,2.982905982905983,0.1623931623931624,0.0,1.358974358974359,545.9145299145299,0.0,0.0,0.1452991452991453,0.02564102564102564,0.11965811965811966,0.0,1.0
3,2015.2215568862275,0.21730538922155684,4.065868263473054,1.1137724550898203,0.09580838323353294,1.6706586826347305,606.125748502994,0.0,0.0,0.23952095808383234,0.1437125748502994,0.09580838323353294,0.0,0.9940119760479041
4,2079.054054054054,-1.0166666666666666,4.68018018018018,1.2702702702702702,0.4774774774774775,1.7117117117117118,633.8513513513514,0.0,0.0,0.23873873873873874,0.1036036036036036,0.13513513513513514,0.0,1.0
5,1996.0479041916167,-0.9136526946107784,4.682634730538922,0.8802395209580839,0.20958083832335328,1.4491017964071857,620.3592814371258,0.0,0.0,0.3473053892215569,0.16167664670658682,0.18562874251497005,0.0,1.0
6,2022.686567164179,-1.100597014925373,2.843283582089552,0.9552238805970149,0.2462686567164179,1.507462686567164,641.1417910447761,0.0,0.0,0.13432835820895522,0.022388059701492536,0.11194029850746269,0.0,1.0
7,2067.4662162162163,-0.9017905405405405,4.429054054054054,2.010135135135135,0.5709459459459459,1.2060810810810811,725.3682432432432,0.0,0.0,0.20945945945945946,0.10472972972972973,0.10472972972972973,0.0,1.0
8,2007.5,-0.956086956521739,3.5217391304347827,1.2608695652173914,0.44565217391304346,1.1304347826086956,695.4836956521739,0.0,0.0,0.09782608695652174,0.010869565217391304,0.08695652173913043,0.0,1.0
9,2033.8562091503268,-0.9133986928104575,3.4836601307189543,0.934640522875817,0.28104575163398693,1.1437908496732025,702.5098039215686,0.0,0.0,0.869281045751634,0.5228758169934641,0.3464052287581699,0.0,1.0
10,2073.095238095238,-0.8864285714285715,2.3333333333333335,2.119047619047619,0.7420634920634921,1.0396825396825398,726.952380952381,0.0,0.0,0.4880952380952381,0.3055555555555556,0.18253968253968253,0.0,1.0
11,1998.7719298245613,-0.784327485380117,3.5497076023391814,1.0175438596491229,0.34502923976608185,0.8070175438596491,693.1520467836257,0.0,0.0,0.2222222222222222,0.08771929824561403,0.13450292397660818,0.0,1.0
12,2032.5280898876404,-0.008370786516853877,2.769662921348315,1.146067415730337,0.5786516853932584,1.1292134831460674,739.2640449438202,0.0,0.0,0.4438202247191011,0.16853932584269662,0.2752808988764045,0.0,0.9831460674157303
13,2074.7457627118642,-0.8107203389830507,3.6991525423728815,1.5,0.5847457627118644,0.9194915254237288,745.4830508474577,0.0,0.0,1.1567796610169492,0.6059322033898306,0.5508474576271186,0.0,1.0
14,2008.1818181818182,-0.8644848484848484,3.624242424242424,0.7636363636363637,0.4,0.8242424242424242,736.3090909090909,0.0,0.0,0.5575757575757576,0.19393939393939394,0.36363636363636365,0.0,1.0
