generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1545.1489361702127,-2.051276595744681,5.638297872340425,0.3900709219858156,0.028368794326241134,1.6099290780141844,428.9148936170213,8.28368794326241,13.687943262411348,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.624113475177305,0.375886524822695
2,1432.4126984126983,-1.9323015873015872,3.6666666666666665,0.36507936507936506,0.0873015873015873,1.2142857142857142,420.6111111111111,9.023809523809524,14.912698412698413,0.007936507936507936,0.007936507936507936,0.0,0.6031746031746031,0.3968253968253968
3,1325.8190476190475,-2.4113333333333333,2.7523809523809524,0.2,0.009523809523809525,1.2476190476190476,390.65714285714284,10.790476190476191,17.80952380952381,0.2761904761904762,0.0761904761904762,0.2,0.780952380952381,0.21904761904761905
4,1505.66875,-1.8440625000000002,5.53125,0.84375,0.04375,1.53125,460.36875,9.0125,14.9875,0.3625,0.16875,0.19375,0.58125,0.41875
5,1381.5555555555557,-1.9042222222222223,4.333333333333333,0.7185185185185186,0.02962962962962963,1.0592592592592593,413.3333333333333,9.940740740740742,16.22962962962963,0.022222222222222223,0.007407407407407408,0.014814814814814815,0.6,0.4
6,1434.9115646258504,-1.7555102040816326,3.741496598639456,0.9183673469387755,0.08163265306122448,1.3197278911564625,455.1904761904762,9.210884353741497,14.959183673469388,0.21768707482993196,0.14285714285714285,0.07482993197278912,0.5850340136054422,0.41496598639455784
7,1619.2690058479532,-1.9433333333333334,4.9298245614035086,1.087719298245614,0.2573099415204678,1.280701754385965,512.7368421052631,7.842105263157895,12.2046783625731,0.14035087719298245,0.07602339181286549,0.06432748538011696,0.6198830409356725,0.38011695906432746
8,1561.3076923076924,-1.6473076923076924,4.007692307692308,0.3384615384615385,0.14615384615384616,1.0384615384615385,493.9923076923077,7.430769230769231,11.8,0.16923076923076924,0.06153846153846154,0.1076923076923077,0.46153846153846156,0.5384615384615384
9,1373.542372881356,-2.047033898305085,2.6271186440677967,0.5847457627118644,0.09322033898305085,1.228813559322034,444.271186440678,9.457627118644067,16.56779661016949,0.11016949152542373,0.06779661016949153,0.0423728813559322,0.6949152542372882,0.3050847457627119
10,1379.5149700598802,-1.9095808383233532,3.5209580838323356,1.029940119760479,0.31736526946107785,1.2574850299401197,476.1616766467066,10.532934131736527,17.51497005988024,0.2155688622754491,0.09580838323353294,0.11976047904191617,0.6227544910179641,0.3772455089820359
11,1566.3376623376623,-1.6801298701298701,4.766233766233766,0.8961038961038961,0.16233766233766234,0.8181818181818182,551.1883116883117,7.545454545454546,11.88961038961039,0.42857142857142855,0.2012987012987013,0.22727272727272727,0.577922077922078,0.42207792207792205
12,1467.3529411764705,-1.733781512605042,3.0,0.6554621848739496,0.07563025210084033,0.9915966386554622,518.7983193277311,8.966386554621849,14.235294117647058,0.3025210084033613,0.13445378151260504,0.16806722689075632,0.6218487394957983,0.37815126050420167
13,1400.0871794871796,-1.8768205128205129,3.712820512820513,1.5333333333333334,0.6205128205128205,1.035897435897436,526.9230769230769,10.256410256410257,16.815384615384616,0.36923076923076925,0.22564102564102564,0.14358974358974358,0.6256410256410256,0.37435897435897436
14,1444.8915662650602,-1.8477710843373496,4.373493975903615,0.9036144578313253,0.28313253012048195,0.7650602409638554,558.4036144578313,8.867469879518072,15.006024096385541,0.4819277108433735,0.2469879518072289,0.23493975903614459,0.6927710843373494,0.3072289156626506
15,1366.779761904762,-1.924047619047619,3.2142857142857144,1.4821428571428572,0.30952380952380953,1.0476190476190477,532.2083333333334,10.607142857142858,17.422619047619047,0.10119047619047619,0.05357142857142857,0.047619047619047616,0.6488095238095238,0.35119047619047616
16,1440.0808823529412,-1.8504779411764705,3.5183823529411766,2.1911764705882355,0.6507352941176471,0.7977941176470589,581.9154411764706,9.658088235294118,15.933823529411764,0.2426470588235294,0.13602941176470587,0.10661764705882353,0.6397058823529411,0.3602941176470588
17,1461.6785714285713,-1.8975000000000002,3.642857142857143,1.0,0.4583333333333333,0.7261904761904762,584.6011904761905,8.720238095238095,14.702380952380953,0.48214285714285715,0.13690476190476192,0.34523809523809523,0.6369047619047619,0.3630952380952381
18,1438.6923076923076,-1.8801775147928994,3.2840236686390534,1.2248520710059172,0.46153846153846156,1.0355029585798816,570.7278106508876,9.183431952662723,15.396449704142011,0.17159763313609466,0.09467455621301775,0.07692307692307693,0.6449704142011834,0.35502958579881655
19,1536.6559139784947,-1.8048387096774194,3.4767025089605736,2.25089605734767,0.6236559139784946,0.8781362007168458,604.3620071684588,7.827956989247312,13.501792114695341,0.4014336917562724,0.21863799283154123,0.1827956989247312,0.6200716845878136,0.37992831541218636
20,1282.5592105263158,-2.1536184210526317,3.5592105263157894,0.9342105263157895,0.25,0.756578947368421,526.9078947368421,9.927631578947368,18.407894736842106,0.34210526315789475,0.09868421052631579,0.24342105263157895,0.7302631578947368,0.26973684210526316
21,1451.9878787878788,-1.8052121212121213,4.303030303030303,0.9818181818181818,0.18181818181818182,0.6909090909090909,587.7272727272727,9.048484848484849,15.145454545454545,0.40606060606060607,0.2545454545454545,0.15151515151515152,0.6424242424242425,0.3575757575757576
22,1517.0104529616724,-1.906132404181185,3.1707317073170733,1.9372822299651569,0.867595818815331,1.024390243902439,604.5993031358885,8.198606271777004,14.466898954703833,0.3519163763066202,0.1254355400696864,0.2264808362369338,0.6585365853658537,0.34146341463414637
23,1460.2278481012659,-1.8080379746835444,3.721518987341772,1.360759493670886,0.21518987341772153,0.8417721518987342,584.5949367088608,8.424050632911392,14.348101265822784,0.930379746835443,0.4620253164556962,0.46835443037974683,0.569620253164557,0.43037974683544306
24,1492.2558139534883,-1.9493023255813955,3.9186046511627906,1.319767441860465,0.37790697674418605,1.0,603.7790697674419,8.36046511627907,14.366279069767442,0.4476744186046512,0.16279069767441862,0.28488372093023256,0.6104651162790697,0.38953488372093026
25,1517.2736486486488,-1.8468918918918917,3.7094594594594597,2.722972972972973,0.46959459459459457,0.7837837837837838,599.2027027027027,7.969594594594595,14.33108108108108,0.48986486486486486,0.19932432432432431,0.2905405405405405,0.6790540540540541,0.32094594594594594
26,1529.1919191919192,-1.5641919191919191,3.808080808080808,1.0656565656565657,0.51010101010101,0.6515151515151515,595.2929292929293,7.308080808080808,12.621212121212121,0.2727272727272727,0.15656565656565657,0.11616161616161616,0.5404040404040404,0.4595959595959596
27,1394.4864864864865,-1.7961621621621622,3.654054054054054,0.9513513513513514,0.5297297297297298,0.9243243243243243,575.9135135135135,8.67027027027027,16.14054054054054,0.42162162162162165,0.1945945945945946,0.22702702702702704,0.654054054054054,0.34594594594594597
28,1402.8045977011495,-1.8359003831417624,3.1992337164750957,1.793103448275862,0.7854406130268199,0.89272030651341,588.2796934865901,9.67432950191571,16.82758620689655,0.3524904214559387,0.1532567049808429,0.19923371647509577,0.7318007662835249,0.2681992337164751
29,1418.5817307692307,-1.580769230769231,3.3846153846153846,1.4423076923076923,0.5432692307692307,0.5769230769230769,599.7740384615385,8.658653846153847,15.826923076923077,0.5192307692307693,0.23557692307692307,0.28365384615384615,0.5384615384615384,0.46153846153846156
30,1288.4891304347825,-2.0186956521739132,3.222826086956522,1.190217391304348,0.3967391304347826,1.1195652173913044,558.5652173913044,9.972826086956522,18.891304347826086,0.3858695652173913,0.20108695652173914,0.18478260869565216,0.717391304347826,0.2826086956521739
31,1437.974025974026,-1.786038961038961,3.840909090909091,1.7922077922077921,0.7922077922077922,0.7792207792207793,615.1948051948052,8.318181818181818,16.0487012987013,0.33116883116883117,0.16558441558441558,0.16558441558441558,0.6071428571428571,0.39285714285714285
32,1540.343891402715,-1.536470588235294,3.4027149321266967,1.7239819004524888,0.31221719457013575,0.6515837104072398,623.0950226244344,6.900452488687783,12.520361990950226,0.3438914027149321,0.167420814479638,0.17647058823529413,0.5203619909502263,0.4796380090497738
33,1319.9397590361446,-2.1094578313253014,3.9156626506024095,0.963855421686747,0.30120481927710846,1.1024096385542168,561.4216867469879,9.987951807228916,17.94578313253012,0.7650602409638554,0.5120481927710844,0.25301204819277107,0.7108433734939759,0.2891566265060241
34,1433.7367021276596,-1.9338031914893616,3.7845744680851063,2.1382978723404253,0.8164893617021277,0.901595744680851,633.0585106382979,8.72340425531915,16.04255319148936,0.5,0.23404255319148937,0.26595744680851063,0.6835106382978723,0.31648936170212766
35,1258.5982905982905,-2.019871794871795,4.448717948717949,1.7521367521367521,0.3418803418803419,0.7905982905982906,589.8119658119658,10.58974358974359,19.264957264957264,0.18803418803418803,0.05128205128205128,0.13675213675213677,0.7136752136752137,0.2863247863247863
36,1330.720238095238,-1.8842857142857143,4.291666666666667,1.0357142857142858,0.2619047619047619,1.1547619047619047,586.797619047619,9.80952380952381,17.904761904761905,0.2916666666666667,0.13690476190476192,0.15476190476190477,0.6666666666666666,0.3333333333333333
37,1366.2690058479532,-1.8951461988304092,3.5701754385964914,1.9444444444444444,0.9035087719298246,0.9824561403508771,620.4444444444445,9.517543859649123,17.605263157894736,0.5409356725146199,0.30994152046783624,0.2309941520467836,0.672514619883041,0.32748538011695905
38,1348.7803738317757,-1.9182710280373831,3.822429906542056,1.5046728971962617,0.514018691588785,0.6962616822429907,626.2289719626168,9.453271028037383,17.350467289719628,0.3644859813084112,0.205607476635514,0.1588785046728972,0.7429906542056075,0.2570093457943925
39,1299.8947368421052,-2.022456140350877,3.8201754385964914,1.7236842105263157,0.42543859649122806,1.043859649122807,629.0877192982456,10.035087719298245,18.232456140350877,0.5087719298245614,0.2807017543859649,0.22807017543859648,0.7368421052631579,0.2631578947368421
40,1344.1559888579386,-1.9596657381615599,3.403899721448468,1.7855153203342617,0.8440111420612814,0.9693593314763231,627.0724233983287,9.866295264623956,18.38718662952646,0.5487465181058496,0.2757660167130919,0.27298050139275765,0.7186629526462396,0.28133704735376047
41,1366.408,-1.83928,4.884,1.564,0.432,0.672,645.472,8.972,16.716,0.304,0.132,0.172,0.724,0.276
42,1331.3096446700508,-1.9031472081218275,4.025380710659898,1.385786802030457,0.28426395939086296,1.3096446700507614,627.6802030456853,9.725888324873097,17.86294416243655,0.9035532994923858,0.4467005076142132,0.45685279187817257,0.6954314720812182,0.30456852791878175
43,1357.7,-1.7491515151515151,3.9363636363636365,1.5515151515151515,1.006060606060606,0.9939393939393939,640.5030303030303,9.32121212121212,17.85151515151515,0.7303030303030303,0.3787878787878788,0.3515151515151515,0.6696969696969697,0.3303030303030303
44,1399.4964285714286,-1.9384285714285714,4.45,1.4071428571428573,0.5392857142857143,0.8,645.0285714285715,8.360714285714286,16.260714285714286,0.6035714285714285,0.2857142857142857,0.31785714285714284,0.7071428571428572,0.29285714285714287
45,1368.1584905660377,-2.031622641509434,4.309433962264151,1.7849056603773585,0.47924528301886793,0.9886792452830189,633.9811320754717,8.58867924528302,16.577358490566038,0.20754716981132076,0.12452830188679245,0.0830188679245283,0.6679245283018868,0.3320754716981132
46,1457.5146771037182,-1.959980430528376,3.835616438356164,2.2348336594911937,1.0176125244618395,0.8708414872798435,658.7436399217221,7.6614481409001955,15.019569471624266,0.23483365949119372,0.10567514677103718,0.12915851272015655,0.6477495107632094,0.3522504892367906
47,1381.6514522821576,-1.9113692946058092,4.443983402489627,1.4232365145228216,0.6348547717842323,0.7717842323651453,630.9502074688796,8.506224066390041,16.70954356846473,0.5809128630705395,0.2863070539419087,0.2946058091286307,0.6763485477178424,0.3236514522821577
48,1255.9479553903345,-2.0521189591078066,3.6059479553903344,1.5278810408921932,0.7174721189591078,1.1078066914498141,606.1672862453531,10.442379182156134,19.83271375464684,0.4646840148698885,0.21933085501858737,0.24535315985130113,0.758364312267658,0.241635687732342
49,1438.2811839323467,-1.8115433403805496,3.5898520084566594,2.5771670190274842,0.9386892177589852,0.8752642706131079,665.2071881606765,7.837209302325581,15.610993657505285,0.4630021141649049,0.24735729386892177,0.2156448202959831,0.6553911205073996,0.34460887949260044
50,1391.375,-1.9292083333333332,4.4,1.5291666666666666,0.5625,0.8291666666666667,671.1125,8.583333333333334,16.079166666666666,0.42916666666666664,0.14166666666666666,0.2875,0.6416666666666667,0.35833333333333334
51,1385.0190476190476,-1.8616507936507936,4.396825396825397,1.8952380952380952,0.6412698412698413,0.9777777777777777,644.6984126984127,8.355555555555556,16.18095238095238,0.35873015873015873,0.23492063492063492,0.12380952380952381,0.6603174603174603,0.3396825396825397
52,1467.1258134490238,-1.8404338394793927,3.804772234273319,2.175704989154013,0.9479392624728851,0.9891540130151844,691.3687635574837,7.739696312364425,15.043383947939262,0.3665943600867679,0.16919739696312364,0.19739696312364424,0.6637744034707158,0.3362255965292842
53,1377.4849785407725,-1.9521030042918457,5.150214592274678,1.3819742489270386,0.4034334763948498,0.927038626609442,655.0,8.103004291845494,16.450643776824034,0.5278969957081545,0.26609442060085836,0.26180257510729615,0.6094420600858369,0.3905579399141631
54,1440.8709677419354,-1.834692082111437,4.029325513196481,1.932551319648094,0.7214076246334311,0.9882697947214076,673.3812316715542,7.9853372434017595,15.222873900293255,0.5747800586510264,0.3870967741935484,0.187683284457478,0.6392961876832844,0.36070381231671556
55,1448.8509433962265,-1.7879811320754717,4.09622641509434,2.781132075471698,0.9792452830188679,0.9188679245283019,680.6056603773585,8.232075471698113,15.50188679245283,0.37358490566037733,0.2,0.17358490566037735,0.6113207547169811,0.3886792452830189
56,1492.5361842105262,-1.6602631578947369,5.3256578947368425,1.3223684210526316,0.46381578947368424,0.9144736842105263,696.891447368421,7.427631578947368,13.638157894736842,0.506578947368421,0.2565789473684211,0.25,0.5592105263157895,0.4407894736842105
57,1388.8931297709923,-1.890267175572519,4.515267175572519,1.4236641221374047,0.5610687022900763,1.2404580152671756,669.7328244274809,8.748091603053435,16.358778625954198,0.8091603053435115,0.48091603053435117,0.3282442748091603,0.6870229007633588,0.31297709923664124
58,1482.394686907021,-1.8203225806451615,3.7552182163187857,2.554079696394687,0.9354838709677419,0.9848197343453511,711.8197343453511,7.616698292220113,14.50853889943074,0.4155597722960152,0.15939278937381404,0.25616698292220114,0.618595825426945,0.38140417457305503
59,1488.9901960784314,-1.6666666666666667,4.594771241830065,1.8529411764705883,0.5784313725490197,0.6535947712418301,700.2124183006536,7.026143790849673,13.833333333333334,0.6437908496732027,0.30718954248366015,0.3366013071895425,0.545751633986928,0.4542483660130719
60,1413.4463087248323,-1.8130536912751676,3.5838926174496644,1.8859060402684564,0.7583892617449665,1.24496644295302,694.7046979865772,8.275167785234899,16.20805369127517,1.2348993288590604,0.5570469798657718,0.6778523489932886,0.6375838926174496,0.3624161073825503
61,1559.2495667244368,-1.778353552859619,4.090121317157712,2.3778162911611784,0.9722703639514731,0.8474870017331022,721.3951473136915,6.298093587521664,12.46100519930676,0.4610051993067591,0.2339688041594454,0.2270363951473137,0.5684575389948007,0.43154246100519933
62,1431.4660766961651,-1.823274336283186,4.2536873156342185,1.9262536873156342,0.5427728613569321,0.8584070796460177,675.0117994100295,7.775811209439528,15.321533923303836,0.4896755162241888,0.1976401179941003,0.2920353982300885,0.6106194690265486,0.3893805309734513
63,1418.8,-1.9355254237288135,4.261016949152542,1.488135593220339,0.7152542372881356,1.193220338983051,690.728813559322,7.840677966101695,15.542372881355933,0.8033898305084746,0.43050847457627117,0.3728813559322034,0.6745762711864407,0.3254237288135593
64,1450.569051580699,-1.8005657237936774,3.94675540765391,2.3094841930116474,1.0898502495840265,0.8086522462562395,693.2845257903494,7.455906821963394,15.252911813643927,0.7920133111480865,0.39434276206322794,0.39767054908485855,0.6306156405990017,0.36938435940099834
65,1458.2848664688427,-1.6901780415430268,4.57566765578635,2.050445103857567,0.5816023738872403,0.7151335311572701,689.4836795252226,7.160237388724036,14.421364985163205,0.6617210682492581,0.37091988130563797,0.29080118694362017,0.5637982195845698,0.4362017804154303
66,1393.5437352245863,-1.7349645390070922,3.8274231678487,2.182033096926714,0.7635933806146572,0.8534278959810875,688.5460992907801,8.25531914893617,16.53664302600473,0.8108747044917257,0.37825059101654845,0.4326241134751773,0.6217494089834515,0.37825059101654845
67,1499.76886035313,-1.5995505617977528,3.479935794542536,1.9486356340288924,1.2921348314606742,0.8796147672552167,713.5874799357946,7.162118780096308,14.08346709470305,0.8475120385232745,0.40930979133226325,0.43820224719101125,0.5971107544141252,0.4028892455858748
68,1370.166163141994,-1.8326888217522659,3.743202416918429,1.8670694864048338,0.7613293051359517,0.8700906344410876,673.1570996978852,8.389728096676738,16.764350453172206,0.649546827794562,0.283987915407855,0.36555891238670696,0.6283987915407855,0.3716012084592145
