generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1154.2568807339449,-2.114587155963303,2.311926605504587,0.07339449541284404,0.0,1.385321100917431,302.0183486238532,13.100917431192661,23.192660550458715,0.0,0.0,0.0,0.8073394495412844,0.1926605504587156
2,1176.631067961165,-2.3246601941747573,1.8058252427184467,0.038834951456310676,0.0,1.5145631067961165,312.0,12.087378640776699,21.067961165048544,0.0,0.0,0.0,0.7281553398058253,0.27184466019417475
3,1300.8431372549019,-2.3547058823529414,2.049019607843137,0.0784313725490196,0.0,1.2941176470588236,359.01960784313724,11.186274509803921,18.352941176470587,0.0,0.0,0.0,0.7254901960784313,0.27450980392156865
4,1528.6341463414635,-1.8977235772357726,3.227642276422764,0.25203252032520324,0.0,1.6910569105691058,423.5528455284553,8.487804878048781,14.032520325203253,0.024390243902439025,0.024390243902439025,0.0,0.6178861788617886,0.3821138211382114
5,1403.378640776699,-2.159902912621359,1.5145631067961165,0.04854368932038835,0.0,1.4854368932038835,379.8349514563107,9.135922330097088,15.20388349514563,0.0,0.0,0.0,0.7572815533980582,0.24271844660194175
6,1407.647619047619,-1.916095238095238,2.257142857142857,0.0380952380952381,0.01904761904761905,1.2476190476190476,375.48571428571427,9.2,15.295238095238096,0.0380952380952381,0.0380952380952381,0.0,0.638095238095238,0.3619047619047619
7,1617.1639344262296,-2.015491803278689,4.114754098360656,0.18032786885245902,0.0,1.7295081967213115,452.1311475409836,7.30327868852459,12.245901639344263,0.0,0.0,0.0,0.6065573770491803,0.39344262295081966
8,1306.504424778761,-2.279203539823009,3.5398230088495577,0.09734513274336283,0.0,1.2831858407079646,372.3185840707965,10.044247787610619,17.442477876106196,0.07964601769911504,0.061946902654867256,0.017699115044247787,0.7610619469026548,0.23893805309734514
9,1440.6915887850466,-1.941588785046729,2.1121495327102804,0.19626168224299065,0.0,1.1682242990654206,429.89719626168227,8.570093457943925,14.63551401869159,0.037383177570093455,0.037383177570093455,0.0,0.5607476635514018,0.4392523364485981
10,1308.5661764705883,-2.266838235294118,4.4411764705882355,0.40441176470588236,0.0,1.2573529411764706,385.7352941176471,11.419117647058824,19.647058823529413,0.029411764705882353,0.0,0.029411764705882353,0.8088235294117647,0.19117647058823528
