generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1595.7591240875913,-1.8667883211678833,3.8248175182481754,0.5109489051094891,0.08759124087591241,1.6423357664233578,461.35036496350364,7.423357664233577,12.72992700729927,0.34306569343065696,0.1386861313868613,0.20437956204379562,0.5912408759124088,0.40875912408759124
2,1221.6906077348067,-1.765635359116022,4.033149171270718,1.1049723756906078,0.6906077348066298,0.7845303867403315,459.4585635359116,9.773480662983426,20.011049723756905,0.12154696132596685,0.055248618784530384,0.06629834254143646,0.5966850828729282,0.40331491712707185
3,1266.3676470588234,-2.0221323529411763,3.5220588235294117,0.6323529411764706,0.34558823529411764,1.0955882352941178,419.00735294117646,8.705882352941176,19.38235294117647,0.125,0.051470588235294115,0.07352941176470588,0.6764705882352942,0.3235294117647059
4,1388.3119266055046,-1.83,1.834862385321101,0.28440366972477066,0.11926605504587157,0.48623853211009177,395.35779816513764,8.431192660550458,17.577981651376145,0.045871559633027525,0.01834862385321101,0.027522935779816515,0.6972477064220184,0.30275229357798167
5,1276.586046511628,-1.5929302325581396,3.925581395348837,0.9813953488372092,1.027906976744186,0.7069767441860465,392.5581395348837,8.911627906976744,18.930232558139537,0.03255813953488372,0.009302325581395349,0.023255813953488372,0.5488372093023256,0.4511627906976744
6,1237.6737588652481,-1.8791489361702127,4.560283687943262,0.8014184397163121,0.15602836879432624,1.0921985815602837,375.6099290780142,9.446808510638299,19.900709219858157,0.2127659574468085,0.10638297872340426,0.10638297872340426,0.5886524822695035,0.41134751773049644
7,1307.875,-1.6790625,1.8046875,0.671875,0.25,0.453125,370.2109375,9.2265625,19.703125,0.2421875,0.1015625,0.140625,0.546875,0.453125
8,1281.0942408376964,-1.7281151832460733,4.696335078534031,1.4921465968586387,0.2931937172774869,0.7486910994764397,360.4450261780105,7.9319371727748695,18.75392670157068,0.09424083769633508,0.04712041884816754,0.04712041884816754,0.5235602094240838,0.47643979057591623
9,1353.5506329113923,-1.7555063291139241,4.4113924050632916,1.1329113924050633,0.27848101265822783,1.3481012658227849,387.55696202531647,7.291139240506329,16.68354430379747,0.2911392405063291,0.11392405063291139,0.17721518987341772,0.5253164556962026,0.47468354430379744
10,1286.6370967741937,-1.6338709677419354,1.6048387096774193,0.8548387096774194,0.11290322580645161,0.7258064516129032,370.6774193548387,9.064516129032258,19.193548387096776,0.12096774193548387,0.056451612903225805,0.06451612903225806,0.6451612903225806,0.3548387096774194
