generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,1623.6587301587301,-1.9717460317460318,3.6746031746031744,0.4365079365079365,0.023809523809523808,1.6349206349206349,444.22222222222223,7.119047619047619,12.0,0.15079365079365079,0.12698412698412698,0.023809523809523808,0.5476190476190477,0.4523809523809524
2,1582.9918699186992,-1.7364227642276424,4.146341463414634,0.25203252032520324,0.07317073170731707,1.1544715447154472,442.5853658536585,7.105691056910569,11.089430894308943,0.008130081300813009,0.008130081300813009,0.0,0.4715447154471545,0.5284552845528455
3,1624.7079646017698,-1.6236283185840708,2.601769911504425,0.4778761061946903,0.035398230088495575,1.3539823008849559,476.05309734513276,5.79646017699115,9.601769911504425,0.11504424778761062,0.061946902654867256,0.05309734513274336,0.4336283185840708,0.5663716814159292
4,1476.1768292682927,-1.9142073170731708,4.134146341463414,1.0121951219512195,0.2621951219512195,1.2621951219512195,450.6219512195122,9.085365853658537,15.579268292682928,0.07317073170731707,0.042682926829268296,0.03048780487804878,0.6707317073170732,0.32926829268292684
5,1487.9767441860465,-1.954573643410853,4.147286821705427,0.4883720930232558,0.06976744186046512,1.054263565891473,458.3488372093023,8.325581395348838,13.496124031007753,0.05426356589147287,0.015503875968992248,0.03875968992248062,0.5968992248062015,0.40310077519379844
6,1433.5625,-1.896328125,2.3828125,0.7109375,0.1640625,1.3828125,459.1484375,9.3203125,15.25,0.0859375,0.046875,0.0390625,0.609375,0.390625
7,1551.2268041237114,-1.8717525773195876,4.056701030927835,1.5360824742268042,0.30412371134020616,1.2268041237113403,504.33505154639175,7.912371134020619,13.458762886597938,0.04639175257731959,0.015463917525773196,0.030927835051546393,0.5876288659793815,0.41237113402061853
8,1526.1571428571428,-1.9612142857142856,4.0,1.1071428571428572,0.05,1.0214285714285714,491.8642857142857,7.371428571428571,12.778571428571428,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.6071428571428571,0.39285714285714285
9,1596.512,-1.9620799999999998,2.864,0.608,0.024,1.392,511.872,6.968,11.144,0.016,0.008,0.008,0.552,0.448
10,1529.3519553072626,-1.7935754189944135,3.7374301675977653,1.5754189944134078,0.2905027932960894,1.3687150837988826,531.4525139664804,8.430167597765363,14.139664804469273,0.31843575418994413,0.16201117318435754,0.1564245810055866,0.5921787709497207,0.40782122905027934
11,1521.6470588235295,-1.8913970588235296,3.5661764705882355,0.7573529411764706,0.20588235294117646,0.9338235294117647,519.9705882352941,7.419117647058823,12.294117647058824,0.3602941176470588,0.16176470588235295,0.19852941176470587,0.5220588235294118,0.47794117647058826
12,1463.7236842105262,-1.7409868421052632,4.059210526315789,1.1907894736842106,0.1118421052631579,1.230263157894737,504.11842105263156,8.611842105263158,14.572368421052632,0.24342105263157895,0.10526315789473684,0.13815789473684212,0.5328947368421053,0.46710526315789475
13,1426.3720930232557,-1.8714418604651164,3.4558139534883723,2.158139534883721,0.5441860465116279,0.9953488372093023,544.5302325581396,10.386046511627907,16.869767441860464,0.11627906976744186,0.046511627906976744,0.06976744186046512,0.7023255813953488,0.29767441860465116
14,1361.525974025974,-1.9001948051948052,3.6233766233766236,0.9025974025974026,0.4155844155844156,0.8896103896103896,513.3506493506494,10.61038961038961,17.292207792207794,0.11688311688311688,0.01948051948051948,0.09740259740259741,0.5584415584415584,0.44155844155844154
15,1318.6785714285713,-2.137642857142857,3.7142857142857144,0.9428571428571428,0.24285714285714285,1.2357142857142858,524.9071428571428,11.021428571428572,18.1,0.11428571428571428,0.06428571428571428,0.05,0.7428571428571429,0.2571428571428571
16,1396.016,-1.9566400000000002,2.06,2.076,0.768,0.936,554.276,9.848,17.04,0.14,0.056,0.084,0.664,0.336
17,1441.0872093023256,-1.8612209302325582,2.866279069767442,1.372093023255814,0.5,0.7965116279069767,572.6976744186046,8.377906976744185,14.372093023255815,0.05232558139534884,0.005813953488372093,0.046511627906976744,0.5697674418604651,0.43023255813953487
18,1421.207650273224,-1.8657377049180328,3.1639344262295084,1.6120218579234973,0.14754098360655737,1.1311475409836065,562.1748633879781,8.918032786885245,15.759562841530055,0.2896174863387978,0.15300546448087432,0.1366120218579235,0.6284153005464481,0.37158469945355194
19,1437.0,-1.8728294573643411,2.7751937984496124,2.0,0.8178294573643411,1.0891472868217054,588.6434108527131,9.488372093023257,16.135658914728683,0.2131782945736434,0.12015503875968993,0.09302325581395349,0.6356589147286822,0.3643410852713178
20,1440.5031055900622,-2.1327329192546585,3.012422360248447,0.9875776397515528,0.35403726708074534,0.7018633540372671,599.4968944099379,8.91304347826087,15.403726708074535,0.5527950310559007,0.2236024844720497,0.32919254658385094,0.7080745341614907,0.2919254658385093
21,1396.0426829268292,-1.8557926829268294,2.792682926829268,1.1768292682926829,0.34146341463414637,1.0060975609756098,599.1951219512196,9.567073170731707,15.987804878048781,0.23170731707317074,0.10975609756097561,0.12195121951219512,0.6646341463414634,0.3353658536585366
22,1340.6773162939296,-1.9494568690095846,3.3354632587859423,1.7987220447284344,1.0159744408945688,0.9009584664536742,587.7955271565495,10.757188498402556,18.738019169329075,0.4249201277955272,0.1501597444089457,0.2747603833865815,0.7220447284345048,0.2779552715654952
23,1469.5217391304348,-1.6440579710144927,3.1159420289855073,1.855072463768116,0.4106280193236715,0.5700483091787439,629.9130434782609,7.888888888888889,14.053140096618357,0.25120772946859904,0.15458937198067632,0.0966183574879227,0.5845410628019324,0.41545893719806765
24,1275.6238095238095,-1.9995238095238097,2.7666666666666666,1.4,0.6952380952380952,0.7619047619047619,583.1285714285714,10.161904761904761,19.033333333333335,0.319047619047619,0.20476190476190476,0.11428571428571428,0.7428571428571429,0.2571428571428571
25,1447.95,-1.8884666666666665,3.28,1.7133333333333334,0.8766666666666667,0.82,652.4933333333333,8.78,15.82,0.48,0.14,0.34,0.71,0.29
26,1433.212669683258,-1.8833484162895928,3.009049773755656,1.6289592760180995,0.4841628959276018,0.579185520361991,647.9819004524887,8.51131221719457,15.294117647058824,0.16289592760180996,0.09502262443438914,0.06787330316742081,0.6968325791855203,0.3031674208144796
27,1397.0755813953488,-2.2371511627906977,3.633720930232558,1.1686046511627908,0.3081395348837209,0.9941860465116279,603.3023255813954,8.337209302325581,15.994186046511627,0.0872093023255814,0.06395348837209303,0.023255813953488372,0.7383720930232558,0.2616279069767442
28,1451.3037974683543,-1.7420569620253166,3.560126582278481,2.5854430379746836,0.7310126582278481,0.9525316455696202,627.1803797468355,8.579113924050633,15.806962025316455,0.3449367088607595,0.1962025316455696,0.14873417721518986,0.6424050632911392,0.3575949367088608
29,1352.60663507109,-1.835355450236967,3.080568720379147,1.8957345971563981,0.4028436018957346,0.8246445497630331,599.0142180094787,9.364928909952607,17.118483412322274,0.33649289099526064,0.2037914691943128,0.13270142180094788,0.6540284360189573,0.3459715639810427
30,1345.7668711656443,-1.9358895705521473,3.226993865030675,1.030674846625767,0.294478527607362,0.8895705521472392,598.2331288343559,9.484662576687116,17.319018404907975,0.6932515337423313,0.25153374233128833,0.44171779141104295,0.6503067484662577,0.3496932515337423
31,1407.6997084548104,-1.9514868804664725,2.857142857142857,2.553935860058309,0.892128279883382,0.7696793002915452,626.2448979591836,8.74927113702624,16.548104956268222,0.282798833819242,0.16326530612244897,0.119533527696793,0.685131195335277,0.31486880466472306
32,1291.8068669527897,-1.941716738197425,3.92274678111588,1.648068669527897,0.5879828326180258,0.6781115879828327,580.5622317596567,10.021459227467812,18.82832618025751,0.48497854077253216,0.2832618025751073,0.2017167381974249,0.7381974248927039,0.26180257510729615
33,1365.0,-1.7513661202185793,3.2240437158469946,1.715846994535519,0.46994535519125685,0.819672131147541,587.896174863388,8.934426229508198,17.027322404371585,0.6666666666666666,0.30601092896174864,0.36065573770491804,0.6065573770491803,0.39344262295081966
34,1384.3846153846155,-1.916923076923077,3.1955128205128207,2.3044871794871793,0.9839743589743589,0.7756410256410257,626.5769230769231,8.836538461538462,17.118589743589745,0.44871794871794873,0.23397435897435898,0.21474358974358973,0.7019230769230769,0.2980769230769231
35,1384.5260869565218,-1.571217391304348,3.7956521739130435,1.4130434782608696,0.5739130434782609,0.48695652173913045,609.3304347826087,7.834782608695652,15.839130434782609,0.26521739130434785,0.1782608695652174,0.08695652173913043,0.5826086956521739,0.41739130434782606
36,1371.8565217391304,-1.8489130434782608,2.4521739130434783,1.5478260869565217,0.7304347826086957,0.7608695652173914,614.3391304347826,9.013043478260869,16.85217391304348,0.08695652173913043,0.05652173913043478,0.030434782608695653,0.6608695652173913,0.3391304347826087
37,1379.6870967741936,-1.9010322580645163,2.996774193548387,2.1870967741935483,0.8193548387096774,0.7032258064516129,601.2806451612903,9.219354838709677,17.448387096774194,0.1064516129032258,0.05161290322580645,0.054838709677419356,0.7129032258064516,0.2870967741935484
38,1375.590308370044,-1.8159911894273129,3.246696035242291,1.828193832599119,0.4185022026431718,0.5594713656387665,617.409691629956,7.986784140969163,16.061674008810574,0.33480176211453744,0.1762114537444934,0.15859030837004406,0.7224669603524229,0.2775330396475771
39,1354.427027027027,-1.9342702702702705,3.0432432432432432,1.7675675675675675,0.31351351351351353,0.8972972972972973,611.2918918918919,9.010810810810812,17.313513513513513,0.41081081081081083,0.1945945945945946,0.21621621621621623,0.6648648648648648,0.33513513513513515
40,1359.6779026217228,-1.8680898876404495,2.7752808988764044,1.8614232209737829,0.7715355805243446,0.6441947565543071,600.5393258426966,8.913857677902621,17.355805243445694,0.4157303370786517,0.19850187265917604,0.21722846441947566,0.700374531835206,0.299625468164794
41,1407.7642276422764,-1.95630081300813,2.703252032520325,1.6219512195121952,0.8780487804878049,0.508130081300813,603.069105691057,7.605691056910569,15.90650406504065,0.22357723577235772,0.04065040650406504,0.18292682926829268,0.6666666666666666,0.3333333333333333
42,1553.7769516728624,-1.8251301115241636,3.7026022304832713,1.6654275092936803,0.6394052044609665,0.758364312267658,622.8104089219331,6.4535315985130115,12.371747211895912,0.2527881040892193,0.14869888475836432,0.10408921933085502,0.5910780669144982,0.40892193308550184
43,1483.985835694051,-1.6178470254957509,2.9348441926345608,2.2804532577903682,0.7847025495750708,0.8215297450424929,637.7818696883853,7.518413597733711,14.498583569405099,0.8526912181303116,0.45609065155807366,0.39660056657223797,0.6005665722379604,0.39943342776203966
