metric,source,lo,hi
avg_fitness,gen,1.5302,8.7232
top20percent_fitness,gen,4.3818,24.9211
best_fitness,gen,7.06,117.5
avg_learned_weight_diff,gen,0.0,0.0
avg_network_weight_mag,gen,0.1061,0.6173
genome_variance,gen,0.00984,0.056582
total_agents,gen,108.0,1769.0
peak_population,gen,103.0,895.0
avg_lifetime,gen,1967.2,2191.1
cells_visited,behaviour,514.6851851851852,1055.78391959799
predator_touches,behaviour,0.0,0.0
drained_ticks,behaviour,0.0,0.0
cave_entries,behaviour,0.0,7.624708624708624
cave_entries_night,behaviour,0.0,3.7847707847707848
food_prestige,behaviour,0.0,2.3229166666666665
food_low,behaviour,1.6292270531400963,6.203947368421052
energy_at_death,behaviour,-1.2699236641221372,10.36260971786834
frac_death_drained,behaviour,0.0,0.0
frac_death_starved,behaviour,0.8595113438045375,1.0
