metric,source,lo,hi
avg_fitness,gen,1.5686,8.7833
top20percent_fitness,gen,4.5355,24.3836
best_fitness,gen,8.0,117.51
avg_learned_weight_diff,gen,0.000216,0.001216
avg_network_weight_mag,gen,0.1062,0.6177
genome_variance,gen,0.009212,0.058169
total_agents,gen,109.0,1788.0
peak_population,gen,106.0,898.0
avg_lifetime,gen,1969.1,2242.8
cells_visited,behaviour,526.3333333333334,1072.283486238532
predator_touches,behaviour,0.0,0.0
drained_ticks,behaviour,0.0,0.0
cave_entries,behaviour,0.0,8.80593607305936
cave_entries_night,behaviour,0.0,4.754946727549467
food_prestige,behaviour,0.0,2.314814814814815
food_low,behaviour,1.7514450867052025,6.382352941176471
energy_at_death,behaviour,-1.21,10.440790874524714
frac_death_drained,behaviour,0.0,0.0
frac_death_starved,behaviour,0.8591666666666666,1.0
