metric,source,lo,hi
avg_fitness,gen,1.1706,8.2274
top20percent_fitness,gen,3.0743,24.4395
best_fitness,gen,5.0,122.0
avg_learned_weight_diff,gen,0.000222,0.001205
avg_network_weight_mag,gen,0.1064,0.6186
genome_variance,gen,0.002722,0.213054
total_agents,gen,103.0,1461.0
peak_population,gen,100.0,650.0
avg_lifetime,gen,1973.5,2304.1
cells_visited,behaviour,436.77314814814815,1146.883530482257
predator_touches,behaviour,0.0,0.0
drained_ticks,behaviour,0.0,0.0
cave_entries,behaviour,0.0,21.531664212076585
cave_entries_night,behaviour,0.0,10.272459499263624
food_prestige,behaviour,0.0,2.785597381342062
food_low,behaviour,0.6825396825396826,6.2560975609756095
energy_at_death,behaviour,-1.2719607843137255,12.798981406628942
frac_death_drained,behaviour,0.0,0.0
frac_death_starved,behaviour,0.8541666666666666,1.0
