environment,condition,seed,rep,run,time,event,last_gen,first_crossing
baseline,pure_rl,2001,1,base_w500_purerl_h128_noeps_lr0.01_seed2001_r1,29.0,1,1000.0,6.0
baseline,pure_rl,2001,2,base_w500_purerl_h128_noeps_lr0.01_seed2001_r2,29.0,1,1000.0,5.0
baseline,pure_rl,2001,3,base_w500_purerl_h128_noeps_lr0.01_seed2001_r3,22.0,1,1000.0,6.0
baseline,pure_rl,2001,4,base_w500_purerl_h128_noeps_lr0.01_seed2001_r4,32.0,1,1000.0,6.0
baseline,pure_rl,2001,5,base_w500_purerl_h128_noeps_lr0.01_seed2001_r5,62.0,1,1000.0,11.0
baseline,pure_rl,2001,6,base_w500_purerl_h128_noeps_lr0.01_seed2001_r6,26.0,1,1000.0,11.0
baseline,pure_rl,2001,7,base_w500_purerl_h128_noeps_lr0.01_seed2001_r7,20.0,1,1000.0,4.0
baseline,pure_rl,2001,8,base_w500_purerl_h128_noeps_lr0.01_seed2001_r8,36.0,1,1000.0,4.0
baseline,pure_rl,2001,9,base_w500_purerl_h128_noeps_lr0.01_seed2001_r9,32.0,1,1000.0,6.0
baseline,pure_rl,2001,10,base_w500_purerl_h128_noeps_lr0.01_seed2001_r10,35.0,1,1000.0,6.0
baseline,pure_rl,2002,1,base_w500_purerl_h128_noeps_lr0.01_seed2002_r1,23.0,1,1000.0,4.0
baseline,pure_rl,2002,2,base_w500_purerl_h128_noeps_lr0.01_seed2002_r2,29.0,1,1000.0,8.0
baseline,pure_rl,2002,3,base_w500_purerl_h128_noeps_lr0.01_seed2002_r3,17.0,1,1000.0,3.0
baseline,pure_rl,2002,4,base_w500_purerl_h128_noeps_lr0.01_seed2002_r4,26.0,1,1000.0,5.0
baseline,pure_rl,2002,5,base_w500_purerl_h128_noeps_lr0.01_seed2002_r5,20.0,1,1000.0,3.0
baseline,pure_rl,2002,6,base_w500_purerl_h128_noeps_lr0.01_seed2002_r6,8.0,1,1000.0,8.0
baseline,pure_rl,2002,7,base_w500_purerl_h128_noeps_lr0.01_seed2002_r7,12.0,1,1000.0,3.0
baseline,pure_rl,2002,8,base_w500_purerl_h128_noeps_lr0.01_seed2002_r8,29.0,1,1000.0,3.0
baseline,pure_rl,2002,9,base_w500_purerl_h128_noeps_lr0.01_seed2002_r9,27.0,1,1000.0,11.0
baseline,pure_rl,2002,10,base_w500_purerl_h128_noeps_lr0.01_seed2002_r10,26.0,1,1000.0,3.0
baseline,pure_rl,2003,1,base_w500_purerl_h128_noeps_lr0.01_seed2003_r1,32.0,1,1000.0,8.0
baseline,pure_rl,2003,2,base_w500_purerl_h128_noeps_lr0.01_seed2003_r2,24.0,1,1000.0,8.0
baseline,pure_rl,2003,3,base_w500_purerl_h128_noeps_lr0.01_seed2003_r3,26.0,1,1000.0,17.0
baseline,pure_rl,2003,4,base_w500_purerl_h128_noeps_lr0.01_seed2003_r4,26.0,1,1000.0,7.0
baseline,pure_rl,2003,5,base_w500_purerl_h128_noeps_lr0.01_seed2003_r5,44.0,1,1000.0,8.0
baseline,pure_rl,2003,6,base_w500_purerl_h128_noeps_lr0.01_seed2003_r6,248.0,1,1000.0,8.0
baseline,pure_rl,2003,7,base_w500_purerl_h128_noeps_lr0.01_seed2003_r7,27.0,1,1000.0,17.0
baseline,pure_rl,2003,8,base_w500_purerl_h128_noeps_lr0.01_seed2003_r8,51.0,1,1000.0,8.0
baseline,pure_rl,2003,9,base_w500_purerl_h128_noeps_lr0.01_seed2003_r9,29.0,1,1000.0,17.0
baseline,pure_rl,2003,10,base_w500_purerl_h128_noeps_lr0.01_seed2003_r10,29.0,1,1000.0,17.0
baseline,pure_rl,2004,1,base_w500_purerl_h128_noeps_lr0.01_seed2004_r1,191.0,1,1000.0,14.0
baseline,pure_rl,2004,2,base_w500_purerl_h128_noeps_lr0.01_seed2004_r2,32.0,1,1000.0,8.0
baseline,pure_rl,2004,3,base_w500_purerl_h128_noeps_lr0.01_seed2004_r3,41.0,1,1000.0,8.0
baseline,pure_rl,2004,4,base_w500_purerl_h128_noeps_lr0.01_seed2004_r4,37.0,1,1000.0,8.0
baseline,pure_rl,2004,5,base_w500_purerl_h128_noeps_lr0.01_seed2004_r5,27.0,1,1000.0,8.0
baseline,pure_rl,2004,6,base_w500_purerl_h128_noeps_lr0.01_seed2004_r6,31.0,1,1000.0,8.0
