environment,condition,seed,rep,run,time,event,last_gen,first_crossing
hard,evolution,2001,1,roam60d5_w500_evolution_h128_seed2001_r1,109.0,1,1000.0,64.0
hard,evolution,2001,2,roam60d5_w500_evolution_h128_seed2001_r2,100.0,1,1000.0,56.0
hard,evolution,2001,3,roam60d5_w500_evolution_h128_seed2001_r3,1000.0,0,1000.0,31.0
hard,evolution,2001,4,roam60d5_w500_evolution_h128_seed2001_r4,103.0,1,1000.0,34.0
hard,evolution,2001,5,roam60d5_w500_evolution_h128_seed2001_r5,804.0,1,1000.0,477.0
hard,evolution,2001,6,roam60d5_w500_evolution_h128_seed2001_r6,462.0,1,1000.0,405.0
hard,evolution,2001,7,roam60d5_w500_evolution_h128_seed2001_r7,453.0,1,1000.0,399.0
hard,evolution,2001,8,roam60d5_w500_evolution_h128_seed2001_r8,663.0,1,1000.0,330.0
hard,evolution,2001,9,roam60d5_w500_evolution_h128_seed2001_r9,309.0,1,1000.0,195.0
hard,evolution,2001,10,roam60d5_w500_evolution_h128_seed2001_r10,112.0,1,1000.0,46.0
hard,evolution,2002,1,roam60d5_w500_evolution_h128_seed2002_r1,1000.0,0,1000.0,83.0
hard,evolution,2002,2,roam60d5_w500_evolution_h128_seed2002_r2,201.0,1,1000.0,19.0
hard,evolution,2002,3,roam60d5_w500_evolution_h128_seed2002_r3,106.0,1,1000.0,86.0
hard,evolution,2002,4,roam60d5_w500_evolution_h128_seed2002_r4,103.0,1,1000.0,64.0
hard,evolution,2002,5,roam60d5_w500_evolution_h128_seed2002_r5,88.0,1,1000.0,43.0
hard,evolution,2002,6,roam60d5_w500_evolution_h128_seed2002_r6,112.0,1,1000.0,43.0
hard,evolution,2002,7,roam60d5_w500_evolution_h128_seed2002_r7,142.0,1,1000.0,43.0
hard,evolution,2002,8,roam60d5_w500_evolution_h128_seed2002_r8,438.0,1,1000.0,420.0
hard,evolution,2002,9,roam60d5_w500_evolution_h128_seed2002_r9,123.0,1,1000.0,117.0
hard,evolution,2002,10,roam60d5_w500_evolution_h128_seed2002_r10,88.0,1,1000.0,43.0
hard,evolution,2003,1,roam60d5_w500_evolution_h128_seed2003_r1,175.0,1,1000.0,79.0
hard,evolution,2003,2,roam60d5_w500_evolution_h128_seed2003_r2,124.0,1,1000.0,22.0
hard,evolution,2003,3,roam60d5_w500_evolution_h128_seed2003_r3,130.0,1,1000.0,97.0
hard,evolution,2003,4,roam60d5_w500_evolution_h128_seed2003_r4,555.0,1,1000.0,357.0
hard,evolution,2003,5,roam60d5_w500_evolution_h128_seed2003_r5,97.0,1,1000.0,28.0
hard,evolution,2003,6,roam60d5_w500_evolution_h128_seed2003_r6,255.0,1,1000.0,25.0
hard,evolution,2003,7,roam60d5_w500_evolution_h128_seed2003_r7,405.0,1,1000.0,171.0
hard,evolution,2003,8,roam60d5_w500_evolution_h128_seed2003_r8,777.0,1,1000.0,201.0
hard,evolution,2003,9,roam60d5_w500_evolution_h128_seed2003_r9,727.0,1,1000.0,303.0
hard,evolution,2003,10,roam60d5_w500_evolution_h128_seed2003_r10,277.0,1,1000.0,43.0
hard,evolution,2004,1,roam60d5_w500_evolution_h128_seed2004_r1,103.0,1,1000.0,43.0
hard,evolution,2004,2,roam60d5_w500_evolution_h128_seed2004_r2,117.0,1,1000.0,25.0
