environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
baseline,evolution,avg_fitness,gen,100,7.47483286,0.05514185600775701,7.304689999999999,7.594018,7.446882499999999,7.4784630000000005,7.512853999999999,0.8408752216371352,0.84131668875944,0.006705889164133944
baseline,evolution,top20percent_fitness,gen,100,20.931718080000007,0.1892316760687588,20.481494,21.415713999999998,20.8028335,20.931348000000003,21.065384499999997,0.8259895089003366,0.8259733665996399,0.00825398458825351
baseline,evolution,best_fitness,gen,100,61.45905400000001,1.5742609270859442,57.7892,65.6496,60.706,61.5279,62.32845000000001,0.4809880000000001,0.48155933609958507,0.01306440603390825
baseline,evolution,avg_learned_weight_diff,gen,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,evolution,avg_network_weight_mag,gen,100,0.6095218199999999,0.0022208044605775607,0.603692,0.614868,0.6079875,0.6096550000000001,0.6110059999999999,,,
baseline,evolution,genome_variance,gen,100,0.048697867000000006,0.001208826008632535,0.04515787999999999,0.0516251,0.047939709999999996,0.04861888,0.049506720000000004,,,
baseline,evolution,total_agents,gen,100,1381.4519999999998,17.893451880562925,1335.62,1424.14,1368.385,1384.06,1394.55,,,
baseline,evolution,peak_population,gen,100,592.6106000000001,9.933067092222108,564.62,617.56,586.745,592.76,599.8199999999999,,,
baseline,evolution,avg_lifetime,gen,100,2065.0164999999997,12.807521364614235,2036.0839999999996,2101.522,2056.2745,2063.777,2072.2405,,,
baseline,evolution,cells_visited,behaviour,100,912.9524645018419,18.582072111791906,868.4165017690743,958.0981480055722,899.4800378210439,913.9336026822796,924.2579436275732,,,
baseline,evolution,predator_touches,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,evolution,drained_ticks,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,evolution,cave_entries,behaviour,100,1.6766193551320496,0.4517263718320712,0.6979267339058731,3.552598592809728,1.4004600932420381,1.6252053771043804,1.882832677475501,,,
baseline,evolution,cave_entries_night,behaviour,100,0.8658067177624376,0.23330093630255133,0.3616491725364678,1.8464778502596746,0.719576481102552,0.8464003660915027,0.9664186507131042,,,
baseline,evolution,food_prestige,behaviour,100,1.6939569259117784,0.02647217920749017,1.6250552106313838,1.7468853294009707,1.676449147456677,1.6947498604332494,1.7129389472854157,,,
baseline,evolution,food_low,behaviour,100,2.8935939575202307,0.10505331861008342,2.6551768096849737,3.054796965673408,2.8011822204573615,2.9319169970447474,2.9782196123727256,,,
