panel,fraction,seed,rep,run,n_gens,avg_fitness
0.05,0.2,1,1,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r1,1000,3.4752620000000003
0.05,0.2,1,2,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r2,1000,6.18321
0.05,0.2,1,3,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r3,1000,5.938897999999999
0.05,0.2,1,4,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r4,1000,6.367282
0.05,0.2,1,5,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r5,1000,4.994064
0.05,0.2,1,6,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r6,1000,7.133414
0.05,0.2,1,7,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r7,1000,3.468662
0.05,0.2,1,8,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r8,1000,4.3764840000000005
0.05,0.2,1,9,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r9,1000,3.464225999999999
0.05,0.2,1,10,roam60d5_10r_evo_cull0.2_rec0.05_seed1_r10,1000,6.362414
0.05,0.2,42,1,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r1,1000,3.820442
0.05,0.2,42,2,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r2,1000,6.877424000000001
0.05,0.2,42,3,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r3,1000,6.759048000000002
0.05,0.2,42,4,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r4,1000,7.124886
0.05,0.2,42,5,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r5,1000,6.017525999999999
0.05,0.2,42,6,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r6,1000,3.5954800000000002
0.05,0.2,42,7,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r7,1000,6.4446840000000005
0.05,0.2,42,8,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r8,1000,6.344726
0.05,0.2,42,9,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r9,1000,3.788448
0.05,0.2,42,10,roam60d5_10r_evo_cull0.2_rec0.05_seed42_r10,1000,3.886282
0.05,0.2,999,1,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r1,1000,3.5880539999999996
0.05,0.2,999,2,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r2,1000,7.122930000000001
0.05,0.2,999,3,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r3,1000,3.580332
0.05,0.2,999,4,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r4,1000,5.517735999999998
0.05,0.2,999,5,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r5,1000,6.566144
0.05,0.2,999,6,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r6,1000,6.775568
0.05,0.2,999,7,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r7,1000,3.7182379999999995
0.05,0.2,999,8,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r8,1000,3.5421860000000005
0.05,0.2,999,9,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r9,1000,7.106586
0.05,0.2,999,10,roam60d5_10r_evo_cull0.2_rec0.05_seed999_r10,1000,6.15672
0.05,0.3,1,1,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r1,1000,7.17251
0.05,0.3,1,2,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r2,1000,3.8584459999999994
0.05,0.3,1,3,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r3,1000,3.4860320000000002
0.05,0.3,1,4,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r4,1000,4.236571999999999
0.05,0.3,1,5,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r5,1000,7.1931899999999995
0.05,0.3,1,6,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r6,1000,3.5316280000000004
0.05,0.3,1,7,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r7,1000,7.290818000000001
0.05,0.3,1,8,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r8,1000,3.831236
0.05,0.3,1,9,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r9,1000,6.377100000000001
0.05,0.3,1,10,roam60d5_10r_evo_cull0.3_rec0.05_seed1_r10,1000,7.0133399999999995
0.05,0.3,42,1,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r1,1000,6.430146
0.05,0.3,42,2,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r2,1000,7.1682179999999995
0.05,0.3,42,3,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r3,1000,3.582622
0.05,0.3,42,4,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r4,1000,7.197172
0.05,0.3,42,5,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r5,1000,3.682774
0.05,0.3,42,6,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r6,1000,7.106099999999998
0.05,0.3,42,7,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r7,1000,6.092872000000001
0.05,0.3,42,8,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r8,1000,7.226486000000001
0.05,0.3,42,9,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r9,1000,7.195664000000001
0.05,0.3,42,10,roam60d5_10r_evo_cull0.3_rec0.05_seed42_r10,1000,7.223416000000001
0.05,0.3,999,1,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r1,1000,7.029364
0.05,0.3,999,2,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r2,1000,6.216570000000001
0.05,0.3,999,3,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r3,1000,6.277092
0.05,0.3,999,4,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r4,1000,7.117392
0.05,0.3,999,5,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r5,1000,7.186253999999999
0.05,0.3,999,6,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r6,1000,3.7642280000000006
0.05,0.3,999,7,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r7,1000,4.005326
0.05,0.3,999,8,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r8,1000,5.600290000000001
0.05,0.3,999,9,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r9,1000,6.954908
0.05,0.3,999,10,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r10,1000,7.018170000000001
0.05,0.4,1,1,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r1,1000,3.456033999999999
