condition,epsilon_start,metric,mean,std,sem,count
linear,0.2,avg_fitness,7.332098333333332,0.10608422718921677,0.06124775712446772,3
linear,0.3,avg_fitness,7.384753333333333,0.07126125916887331,0.04114270716394069,3
linear,0.5,avg_fitness,7.29961,0.0838156738026955,0.04839100183229611,3
linear,0.7,avg_fitness,5.9703100000000004,1.125035850662102,0.6495397512277443,3
no-epsilon,,avg_fitness,7.420933333333333,0.043030596769431356,0.024843726628221437,3
quadratic,0.2,avg_fitness,7.38135,0.03903613422202581,0.022537522601208965,3
quadratic,0.3,avg_fitness,7.338638333333333,0.057963002495845295,0.03346495509401523,3
quadratic,0.5,avg_fitness,7.130869999999999,0.07584023849514174,0.043786382110575506,3
quadratic,0.7,avg_fitness,5.527471666666667,0.9381062663996727,0.5416159054343258,3
sublinear,0.2,avg_fitness,7.448343333333333,0.08100674452373323,0.04676926575695263,3
sublinear,0.3,avg_fitness,7.447685,0.016848824884840827,0.009727673582791717,3
sublinear,0.5,avg_fitness,7.491535,0.031608149265655694,0.018248973487112186,3
sublinear,0.7,avg_fitness,7.420796666666667,0.08767502841934767,0.050619201259118465,3
linear,0.2,avg_learned_weight_diff,0.0034014666666666664,4.122033276592158e-05,2.3798570218490774e-05,3
linear,0.3,avg_learned_weight_diff,0.0035148999999999996,0.00010531389984232821,6.080300842337748e-05,3
linear,0.5,avg_learned_weight_diff,0.0035549666666666673,9.40217173494189e-06,5.4283463821357905e-06,3
linear,0.7,avg_learned_weight_diff,0.0033475999999999996,0.0003001966522131788,0.00017331861796510324,3
no-epsilon,,avg_learned_weight_diff,0.003709616666666667,0.0001878749340208357,0.00010846964373091267,3
quadratic,0.2,avg_learned_weight_diff,0.003558333333333332,9.305592852329908e-05,5.37258653826173e-05,3
quadratic,0.3,avg_learned_weight_diff,0.0035068333333333327,5.126912651229102e-05,2.96002439929882e-05,3
quadratic,0.5,avg_learned_weight_diff,0.003636966666666667,0.00010155001641227482,5.862992931183778e-05,3
