env,condition,seed,gen_from,gen_to,d_f_off,d_f_on,ratio,lift_from,lift_to,d_lift
baseline,evolution,2001,250,1000,-0.45081066666666914,-0.48978399999999667,0.9204275081804881,0.639005,0.6000316666666666,-0.038973333333333415
baseline,evolution,2002,250,1000,2.096704333333328,1.955096000000001,1.0724303734104754,0.6658636666666666,0.5242553333333333,-0.14160833333333334
baseline,evolution,2003,250,1000,1.843152,1.5653293333333345,1.1774851213418764,0.8445153333333333,0.5666926666666666,-0.27782266666666666
baseline,evolution,2004,250,1000,2.0181673333333308,1.831506000000001,1.1019168560372337,0.8361833333333333,0.6495219999999999,-0.18666133333333335
baseline,evolution,2005,250,1000,1.3096676666666625,0.7078600000000002,1.8501789431055042,1.1271660000000001,0.5253583333333331,-0.601807666666667
baseline,evolution,2006,250,1000,1.604299333333337,1.5123399999999982,1.060805991598013,0.7821470000000001,0.6901876666666666,-0.0919593333333335
baseline,evolution,2007,250,1000,2.1606050000000003,2.0314256666666672,1.0635904800520224,0.5264866666666664,0.3973073333333334,-0.12917933333333304
baseline,evolution,2008,250,1000,1.784075333333334,1.4385846666666673,1.2401601203405013,0.7726563333333333,0.42716566666666667,-0.3454906666666666
baseline,evolution,2009,250,1000,1.628156333333333,1.5738489999999992,1.0345060633728738,0.6762143333333334,0.6219070000000001,-0.05430733333333326
baseline,evolution,2010,250,1000,0.012533666666669774,-0.2328106666666656,-0.053836307614784966,0.9308606666666667,0.6855163333333334,-0.24534433333333328
baseline,learning,2001,250,1000,2.1730729999999987,2.3894249999999992,0.9094543666363244,0.554149,0.7705010000000001,0.2163520000000001
baseline,learning,2002,250,1000,0.3384216666666653,0.13851933333333477,2.4431366981263394,0.832127,0.6322246666666668,-0.19990233333333318
baseline,learning,2003,250,1000,1.4921903333333297,1.5086140000000015,0.9891134069638279,0.6266809999999999,0.6431046666666668,0.016423666666666836
baseline,learning,2004,250,1000,0.34893133333333637,0.1990316666666665,1.7531448094524489,0.8184173333333333,0.6685176666666667,-0.14989966666666665
baseline,learning,2005,250,1000,3.047001333333334,2.9865940000000037,1.0202261617525952,0.6664519999999999,0.6060446666666667,-0.06040733333333326
baseline,learning,2006,250,1000,3.173957333333334,3.412635333333334,0.9300605026066854,0.4887493333333333,0.7274273333333332,0.2386779999999999
baseline,learning,2007,250,1000,2.8986406666666653,2.6835039999999992,1.0801700562647443,0.966767,0.7516303333333333,-0.21513666666666675
baseline,learning,2008,250,1000,4.205161333333333,4.010609333333331,1.0485093370683163,0.7606953333333333,0.5661433333333334,-0.19455199999999984
baseline,learning,2009,250,1000,2.5213500000000018,2.2826463333333322,1.1045732153864116,0.8545576666666667,0.6158539999999999,-0.23870366666666676
baseline,learning,2010,250,1000,1.9733073333333309,1.7223533333333343,1.1457041334917708,1.00115,0.7501959999999999,-0.2509540000000001
hard,evolution,2001,250,1000,2.560077333333332,2.2835053333333324,1.1211172997771262,1.1547966666666665,0.8782246666666664,-0.27657200000000004
hard,evolution,2002,250,1000,2.085489333333335,1.3610969999999991,1.5322121298726956,1.6049113333333334,0.8805189999999999,-0.7243923333333334
hard,evolution,2003,250,1000,7.552038666666666,6.913609000000001,1.092343907019715,1.4467906666666666,0.8083610000000001,-0.6384296666666665
hard,evolution,2004,250,1000,11.654439666666669,12.15361,0.9589282251665693,0.26817399999999997,0.7673443333333333,0.4991703333333333
hard,evolution,2005,250,1000,10.139307333333331,11.014730999999998,0.920522465172625,0.5066986666666667,1.3821223333333332,0.8754236666666665
hard,evolution,2006,250,1000,12.149218999999999,12.503697666666667,0.9716500929471715,0.7000989999999999,1.0545776666666666,0.3544786666666667
hard,evolution,2007,250,1000,13.30150766666667,13.924051666666667,0.9552900251375589,0.23862500000000003,0.8611689999999999,0.6225439999999998
hard,evolution,2008,250,1000,11.381520333333334,11.579504666666669,0.9829021759537555,0.63546,0.8334443333333331,0.1979843333333331
hard,evolution,2009,250,1000,11.120453666666666,11.626317666666669,0.9564897489898849,0.21850366666666668,0.7243676666666667,0.5058640000000001
hard,evolution,2010,250,1000,5.583242666666667,4.823741333333334,1.1574506759068892,1.4408236666666667,0.6813223333333335,-0.7595013333333333
hard,learning,2001,250,1000,2.059676333333334,1.7468309999999985,1.1790930738768293,1.6096693333333334,1.2968240000000002,-0.3128453333333332
hard,learning,2002,250,1000,2.1774613333333352,1.3427926666666679,1.6215916182642245,2.063679666666667,1.2290109999999999,-0.834668666666667
hard,learning,2003,250,1000,4.499593333333333,3.3538609999999984,1.3416159266389798,1.9441053333333331,0.7983730000000001,-1.1457323333333331
hard,learning,2004,250,1000,0.6889016666666663,0.5344183333333348,1.289068176927559,1.2321116666666665,1.0776283333333334,-0.15448333333333308
hard,learning,2005,250,1000,1.8136186666666685,1.2952826666666652,1.4001721117243937,1.5529186666666666,1.0345826666666669,-0.5183359999999997
hard,learning,2006,250,1000,-0.5209699999999984,-0.1943116666666711,2.6811050974807817,1.2565096666666666,1.583168,0.3266583333333333
hard,learning,2007,250,1000,-0.01306099999999688,0.2669646666666665,-0.04892407734355691,1.0228143333333333,1.30284,0.28002566666666673
hard,learning,2008,250,1000,1.710687666666665,1.4956603333333334,1.1437674908808384,1.4940183333333334,1.2789910000000002,-0.21502733333333324
hard,learning,2009,250,1000,2.1850873333333336,0.9778453333333346,2.2345940189586875,2.439000666666667,1.2317586666666667,-1.2072420000000001
hard,learning,2010,250,1000,2.2328049999999973,1.7880106666666684,1.2487649216112031,2.1111923333333333,1.6663980000000003,-0.44479433333333307
