condition,label,n_runs,metric,metric_label,mean,std,median,q25,q75,min,max,n_below_replacement
evolution,Evolution (GA only),100,avg_fitness,Average fitness,6.6537054,1.0174127454389474,7.06008,6.930917,7.138202999999999,3.599614,7.245498000000001,10
evolution,Evolution (GA only),100,top20percent_fitness,Top-20% fitness,19.009061159999998,2.2021576615455882,19.947269,19.329316000000002,20.191877499999997,12.369540000000002,20.619104000000004,0
evolution,Evolution (GA only),100,best_fitness,Best fitness,53.128624,8.730734508320117,56.331199999999995,54.2834,58.134299999999996,27.598000000000003,62.2334,0
evolution,Evolution (GA only),100,total_agents,Total agents,1130.9766,365.96754631248353,1295.81,1210.6000000000001,1332.725,203.88,1367.16,
evolution,Evolution (GA only),100,peak_population,Peak population,427.8213999999999,102.95311826086845,476.84000000000003,443.685,490.03499999999997,185.82,502.96,
evolution,Evolution (GA only),100,genome_variance,Genome variance,0.04053861560000001,0.007548528496304418,0.04389933,0.03926225999999999,0.045218935,0.01752202,0.04878686,
evolution,Evolution (GA only),100,avg_lifetime,Average lifetime,1540.22248,224.69378521668014,1619.243,1555.477,1656.092,836.8760000000001,1747.9460000000001,
evolution,Evolution (GA only),100,avg_energy_end,Average end energy,0.27622599999999997,1.102764872023813,0.5778599999999999,-0.10795,1.0486499999999999,-2.1379,2.10834,
evolution,Evolution (GA only),100,avg_learned_weight_diff,In-life weight change (MAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
evolution,Evolution (GA only),100,avg_network_weight_mag,Genome weight magnitude (RMS),0.59986434,0.015095116644448134,0.60592,0.5961075,0.6101525,0.5563319999999999,0.6138800000000001,
evolution,Evolution (GA only),100,inter_gen_weight_change,Δ magnitude per generation,4.6187599999999984e-05,7.016454005443565e-05,4.3349999999999997e-05,-1.1504999999999992e-05,8.458e-05,-7.986e-05,0.0002476,
learning,Learning (GA + in-life RL),100,avg_fitness,Average fitness,7.187158060000001,0.061370721934354264,7.193741,7.154438,7.2274495000000005,6.9796580000000015,7.383282,0
learning,Learning (GA + in-life RL),100,top20percent_fitness,Top-20% fitness,19.98938574,0.1985626931321475,19.985883,19.875039,20.142601499999998,19.381458,20.501206000000003,0
learning,Learning (GA + in-life RL),100,best_fitness,Best fitness,55.97116000000001,1.3742825448688896,55.896,54.96465,56.7439,52.6192,59.65879999999999,0
learning,Learning (GA + in-life RL),100,total_agents,Total agents,1328.3346,22.9800740836249,1328.65,1313.635,1346.73,1269.16,1368.74,
learning,Learning (GA + in-life RL),100,peak_population,Peak population,487.10699999999997,10.851139818172806,488.12,478.22,494.565,464.3,512.5,
learning,Learning (GA + in-life RL),100,genome_variance,Genome variance,0.04614276159999999,0.0014946718684868256,0.046173790000000006,0.045071795000000005,0.04704532000000001,0.04316291999999999,0.05135727999999999,
learning,Learning (GA + in-life RL),100,avg_lifetime,Average lifetime,1684.0554199999997,31.985874819729933,1683.271,1663.5135,1704.2389999999998,1616.014,1755.2479999999996,
learning,Learning (GA + in-life RL),100,avg_energy_end,Average end energy,1.3935467999999998,0.3780152029353616,1.39447,1.160075,1.566125,0.49112,2.54632,
learning,Learning (GA + in-life RL),100,avg_learned_weight_diff,In-life weight change (MAD),0.0066761812,0.00033913263894014246,0.00671161,0.0064252400000000005,0.00690562,0.00596496,0.00745934,
learning,Learning (GA + in-life RL),100,avg_network_weight_mag,Genome weight magnitude (RMS),0.6100298599999999,0.0023707257424380773,0.6099479999999999,0.608528,0.6114655,0.603844,0.616666,
learning,Learning (GA + in-life RL),100,inter_gen_weight_change,Δ magnitude per generation,2.7023999999999993e-06,3.431566362376508e-05,1.0700000000000012e-06,-1.9325000000000002e-05,2.3675e-05,-7.949999999999998e-05,9.19e-05,
pure_rl,Pure RL (no GA),100,avg_fitness,Average fitness,6.1649478,0.4912995507877474,6.317877999999999,5.946518,6.4713414999999985,3.580374,6.80939,2
pure_rl,Pure RL (no GA),100,top20percent_fitness,Top-20% fitness,17.300183399999998,1.301702401433964,17.511343,16.9716065,17.9986305,9.946258000000002,19.504724,0
pure_rl,Pure RL (no GA),100,best_fitness,Best fitness,47.97795400000001,4.992660344732317,48.5102,46.4774,50.77815000000001,21.149,55.185599999999994,0
pure_rl,Pure RL (no GA),100,total_agents,Total agents,738.4551999999999,181.66337291692997,782.4,591.8249999999999,888.4449999999999,216.52,1068.04,
pure_rl,Pure RL (no GA),100,peak_population,Peak population,288.04580000000004,57.34478034387147,295.82,235.715,332.77,177.82,411.9,
pure_rl,Pure RL (no GA),100,genome_variance,Genome variance,0.021798121199999992,0.019216049269286415,0.016723540000000002,0.012355540000000002,0.02450712,0.00808514,0.15510996000000002,
pure_rl,Pure RL (no GA),100,avg_lifetime,Average lifetime,1591.5335400000001,79.68645808929246,1597.7540000000004,1554.6875,1641.707,1244.886,1754.1099999999997,
pure_rl,Pure RL (no GA),100,avg_energy_end,Average end energy,0.014131599999999975,0.718410892946707,0.07469999999999999,-0.513555,0.5755349999999999,-1.8167600000000004,1.31382,
pure_rl,Pure RL (no GA),100,avg_learned_weight_diff,In-life weight change (MAD),0.0055516718,0.0008181524206076898,0.00565615,0.005197605,0.006040014999999999,0.0013331999999999997,0.0071220400000000005,
pure_rl,Pure RL (no GA),100,avg_network_weight_mag,Genome weight magnitude (RMS),0.6065201600000001,0.003783687621163446,0.606908,0.605328,0.6082719999999999,0.583668,0.613854,
pure_rl,Pure RL (no GA),100,inter_gen_weight_change,Δ magnitude per generation,7.1075999999999995e-06,5.836381359726386e-05,2.1599999999999937e-06,-3.254500000000001e-05,4.588e-05,-0.0001367,0.00014869999999999998,
