env,group,lr,metric,mean,std,sem,n_seeds
baseline,lr=0.01,0.01,avg_fitness,10.100190333333332,0.04029432874901117,0.023263941550056875,3
baseline,lr=0.02,0.02,avg_fitness,9.857484999999999,0.20283923168115245,0.11710928501333022,3
baseline,lr=0.03,0.03,avg_fitness,10.081411333333334,0.041502054916995906,0.02396122257825022,3
baseline,lr=0.01,0.01,top20percent_fitness,30.483768666666663,0.057045705687046686,0.03293535353452857,3
baseline,lr=0.02,0.02,top20percent_fitness,29.583952,0.511496241946118,0.2953124929770731,3
baseline,lr=0.03,0.03,top20percent_fitness,29.771748000000002,0.17438942766979548,0.10068378300898119,3
baseline,lr=0.01,0.01,peak_population,1337.11,26.02255367945272,15.024128371833514,3
baseline,lr=0.02,0.02,peak_population,1272.76,44.26268970589129,25.555075816753217,3
baseline,lr=0.03,0.03,peak_population,1324.9433333333334,10.081926072598149,5.820802731964449,3
baseline,lr=0.01,0.01,total_agents,3401.5166666666664,64.26864424689037,37.10551905639445,3
baseline,lr=0.02,0.02,total_agents,3239.1733333333336,95.43194975129279,55.09766187819974,3
baseline,lr=0.03,0.03,total_agents,3395.39,33.105034360350814,19.113200499480353,3
