count,drain,total_agents,peak_population,avg_fitness,avg_lifetime,gen_min,gen_max,n_seeds
2,1.0,1380.95,575.9166666666666,7.459481666666666,2047.9233333333332,485,485,3
2,3.0,1375.1166666666668,563.6666666666666,7.442098333333334,2000.2816666666665,485,485,3
2,5.0,1386.25,564.8833333333333,7.446186666666666,1983.8166666666666,485,485,3
2,10.0,1375.8999999999999,553.9666666666667,7.446614999999999,1978.0650000000003,485,485,3
4,1.0,1373.0333333333335,568.6833333333333,7.448100000000001,2022.7883333333332,485,485,3
4,3.0,1376.3166666666666,558.3333333333334,7.410868333333333,1971.8133333333333,485,485,3
4,5.0,1366.3999999999999,551.5833333333334,7.390355,1973.9650000000001,485,485,3
4,10.0,1367.9666666666665,542.1666666666666,7.3281116666666675,1940.2183333333332,485,485,3
8,1.0,1366.4666666666665,560.2166666666667,7.410851666666666,2000.5166666666667,485,485,3
8,3.0,1361.6833333333332,542.1,7.368028333333334,1935.4433333333334,485,485,3
8,5.0,1362.1666666666667,537.75,7.338754999999999,1933.1683333333337,485,485,3
8,10.0,1342.8833333333334,519.4666666666667,7.218046666666667,1882.948333333333,485,485,3
12,1.0,1369.6000000000001,556.5666666666666,7.303285,1994.5983333333334,485,485,3
12,3.0,1371.8833333333332,546.8333333333334,7.207506666666667,1920.9216666666664,485,485,3
12,5.0,1356.8666666666666,529.0666666666666,7.222854999999999,1891.78,485,485,3
12,10.0,1361.0,513.5666666666666,7.218608333333333,1836.7016666666666,485,485,3
