figure,comparison,metric,unit,n,estimate,ci_lo,ci_hi,effect_size,effect_type,p,p_adjusted,p_floor,test,verdict,source,note,norm_span,estimate_norm,ci_lo_norm,ci_hi_norm
fitness_avg_normalised / compare_fitness_avg_normalised,baseline: evolution vs learning,converged avg_fitness,map seed,10,-0.0125668800000001,-0.0262131393909539,0.0010793793909536,-0.6587742572654214,Cohen's dz,0.0669142067571363,0.0669142067571363,,paired t (Holm over 6); Wilcoxon p=0.06445,not significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,-0.0015282783446229553,-0.00318782174062118,0.0001312650513752569
fitness_avg_normalised / compare_fitness_avg_normalised,baseline: evolution vs pure_rl,converged avg_fitness,map seed,10,0.3747400400000004,0.3387342303633066,0.4107458496366942,7.445267257402585,Cohen's dz,2.1445225290944828e-09,1.0722612645472413e-08,,paired t (Holm over 6); Wilcoxon p=0.001953,significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,0.045572734679979125,0.04119401067303585,0.04995145868692239
fitness_avg_normalised / compare_fitness_avg_normalised,baseline: learning vs pure_rl,converged avg_fitness,map seed,10,0.3873069200000005,0.3578191388269426,0.4167947011730583,9.39584698940381,Cohen's dz,2.7066087562532103e-10,1.623965253751926e-09,,paired t (Holm over 6); Wilcoxon p=0.001953,significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,0.04710101302460208,0.04351495686764312,0.05068706918156103
fitness_avg_normalised / compare_fitness_avg_normalised,hard: evolution vs learning,converged avg_fitness,map seed,10,-0.5334526599999998,-0.836555430019484,-0.2303498899805157,-1.2590087656550255,Cohen's dz,0.0031993357739215,0.0095980073217645,,paired t (Holm over 6); Wilcoxon p=0.001953,significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,-0.06487402984348584,-0.10173484172487612,-0.02801321796209557
fitness_avg_normalised / compare_fitness_avg_normalised,hard: evolution vs pure_rl,converged avg_fitness,map seed,10,0.4887576000000001,0.1237761695214313,0.8537390304785689,0.9579559268421928,Cohen's dz,0.0142623234680813,0.0285246469361627,,paired t (Holm over 6); Wilcoxon p=0.02734,significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,0.059438592224154506,0.015052617631423378,0.10382456681688562
fitness_avg_normalised / compare_fitness_avg_normalised,hard: learning vs pure_rl,converged avg_fitness,map seed,10,1.02221026,0.9172420948733548,1.1271784251266452,6.966351826583627,Cohen's dz,3.8651937391225046e-09,1.5460774956490018e-08,,paired t (Holm over 6); Wilcoxon p=0.001953,significant,paired_by_seed.csv,terrain differenced out by pairing on seed,8.222900000000001,0.12431262206764036,0.11154727588482831,0.1370779682504524
strip_final_fitness / compare_strip_final_fitness,evolution: baseline vs hard,converged avg_fitness,map seed,10,0.8211274600000001,0.5159787373214046,1.1262761826785956,1.9249603735892256,Cohen's dz,0.0001820389301276,0.0001820389301276,,paired t (Holm over 3); Wilcoxon p=0.001953,significant,paired_by_environment.csv,10/10 seeds favour baseline; same terrain both sides,8.222900000000001,0.09985862165416094,0.06274899820275141,0.13696824510557049
strip_final_fitness / compare_strip_final_fitness,learning: baseline vs hard,converged avg_fitness,map seed,10,0.3002416800000004,0.2862308675607368,0.3142524924392639,15.32958635943533,Cohen's dz,3.3908250469260845e-12,1.0172475140778254e-11,,paired t (Holm over 3); Wilcoxon p=0.001953,significant,paired_by_environment.csv,10/10 seeds favour baseline; same terrain both sides,8.222900000000001,0.036512870155298055,0.034808992880946715,0.038216747429649374
strip_final_fitness / compare_strip_final_fitness,pure_rl: baseline vs hard,converged avg_fitness,map seed,10,0.93514502,0.8099412388775793,1.0603488011224205,5.342989182599148,Cohen's dz,3.996256371331832e-08,7.992512742663663e-08,,paired t (Holm over 3); Wilcoxon p=0.001953,significant,paired_by_environment.csv,10/10 seeds favour baseline; same terrain both sides,8.222900000000001,0.11372447919833634,0.09849824744038954,0.1289507109562831
strip_final_fitness (collapsed runs),baseline/evolution: share below viability,P(converged < 4.375),map seed (clustered),10,0.0,0.0,0.0,,,,,,seed-clustered bootstrap interval (10k),interval includes 0,collapse_rate.csv,"0/100 runs, 0/10 seeds affected",,,,
