run,takeoff_generation,censored,time_on_test,final_level
roam60d5_g1k_evolution_lscape_seed999_rerun1,,1,1000.0,3.7145838274170275
roam60d5_g1k_evolution_lscape_seed999_rerun2,701.0,0,701.0,6.909443242568542
roam60d5_g1k_evolution_lscape_seed999_rerun3,678.0,0,678.0,7.051413247546898
roam60d5_g1k_evolution_lscape_seed999_rerun4,260.0,0,260.0,6.969686287950938
roam60d5_g1k_evolution_lscape_seed999_rerun5,386.0,0,386.0,7.066745577344878
roam60d5_g1k_evolution_lscape_seed999_rerun6,,1,1000.0,3.8160106108946605
roam60d5_g1k_evolution_lscape_seed999_rerun7,623.0,0,623.0,6.744416677777777
roam60d5_g1k_evolution_lscape_seed999_rerun8,494.0,0,494.0,7.071248852236652
roam60d5_g1k_evolution_lscape_seed999_rerun9,136.0,0,136.0,7.089486035281385
roam60d5_g1k_evolution_lscape_seed999_rerun10,923.0,0,923.0,6.574798314574314
